cog_measure,protein,rho,pval,n,fdr
gcsvd_score,eno3,0.267016084725039,1.4711858275287e-07,376,1.00258589727882e-06
gcsvd_score,rgmb,0.257238206576583,2.41796048336854e-07,392,1.58894546049933e-06
gcsvd_score,c4bpb,0.255528110669245,2.72441564999533e-07,394,1.72859475723842e-06
gcsvd_score,spock1,0.258608714961486,2.96995674412577e-07,382,1.82157346973047e-06
gcsvd_score,lgals9,0.250322538097472,5.51266078106017e-07,390,3.2720309152099e-06
gcsvd_score,col15a1,0.248200678584237,7.14752835933033e-07,389,4.10982880661494e-06
gcsvd_score,mmp1,0.250709389336379,9.69781341640661e-07,372,5.40726566248126e-06
gcsvd_score,comp,0.242799860188834,1.96025752663309e-06,375,1.06084524970732e-05
gcsvd_score,ret,0.240227494387525,2.03874818836169e-06,382,1.07179904759586e-05
gcsvd_score,pla2g15,0.230543066702564,3.76326895388796e-06,394,1.92344857643162e-05
gcsvd_score,pdia3,0.234784026796949,3.94494927493329e-06,378,1.96181261239926e-05
gcsvd_score,epha1,0.228606856459965,4.55848717496935e-06,394,2.20726747419568e-05
gcsvd_score,thy1,0.22792057584021,5.15642724116247e-06,392,2.43277592916383e-05
gcsvd_score,gsr,0.227913498528969,5.30574943314742e-06,391,2.44064473924781e-05
gcsvd_score,ada,0.226707666904534,5.4926480742576e-06,394,2.46499328210585e-05
gcsvd_score,tgfa,0.228108620489896,5.98527403702405e-06,386,2.6221200543153e-05
gcsvd_score,eps8l2,0.225067047463119,6.62156241800178e-06,393,2.83341275561006e-05
gcsvd_score,ptprf,0.224341314811836,7.49657351465344e-06,391,3.0766581624222e-05
gcsvd_score,ctsl,0.226587387830074,7.52443572331516e-06,383,3.0766581624222e-05
gcsvd_score,cbln4,0.222306304128682,8.40903439196253e-06,394,3.36361375678501e-05
gcsvd_score,penk,0.220378580407901,1.53411877343831e-05,378,6.00591179388616e-05
gcsvd_score,egfr,0.215909658368318,1.6580629155449e-05,391,6.3559078429221e-05
gcsvd_score,mia,0.211770786879279,2.25177803886794e-05,394,8.45565630921837e-05
gcsvd_score,ctsc,0.212007914032432,2.54741709083538e-05,388,9.37449489427418e-05
gcsvd_score,got1,0.210491627122203,2.84958815471518e-05,389,0.00010280867067992
gcsvd_score,robo1,0.205523859423635,3.94744502338228e-05,394,0.000139678823904296
gcsvd_score,cxcl16,0.206337721335757,4.11846929541779e-05,389,0.000142980820822052
gcsvd_score,adgre2,0.198649801844524,7.18139538968748e-05,394,0.000244699398463425
