endophenotype,n,pct_pre_onset,pct_female,mean_age_dx,mean_years_dx,pct_hla,mean_prs
1,296,22.6,95.9,45.1,-10.4,49.7,0.184
2,203,28.6,33,45.1,-8.8,51.2,0.401
