logFC,AveExpr,t,P.Value,adj.P.Val,B,protein,fdr
0.0985783342422117,-0.0214362804878048,3.51629617612334,0.000447613387290164,0.626959019477323,-0.280016926985814,celsr2,0.626959019477323
0.0990439885990206,-0.00871839904420554,3.49175547843603,0.000490538396195579,0.626959019477323,-0.353411033235826,gipc2,0.626959019477323
0.234429666913348,0.0364158587987354,3.41700799036283,0.000646127467685321,0.626959019477323,-0.573836041027134,lbp,0.626959019477323
0.123992658634784,0.021960155279503,3.23707779169331,0.00122785809385162,0.84605259655604,-1.0851326522929,elob,0.84605259655604
0.130256360188975,0.0584415217391303,3.11452603530828,0.00186919240183303,0.84605259655604,-1.41774096992743,igf2bp3,0.84605259655604
0.161759007613474,0.0241908576051779,3.05521811295487,0.00227942939608616,0.84605259655604,-1.57414743840411,gfap,0.84605259655604
0.159112813657769,0.0286948878455921,3.03950846111996,0.0024011377601838,0.84605259655604,-1.61507859467632,tnfrsf8,0.84605259655604
0.127174454955038,-0.0125605487804878,3.02450854652862,0.00252287513854502,0.84605259655604,-1.65396573760256,tnfrsf17,0.84605259655604
-0.178714876648003,-0.0432791710945804,-3.00539138360895,0.00268621220925289,0.84605259655604,-1.70325093150695,ccl2,0.84605259655604
0.154274402604262,-0.0078151168969182,2.93970492786433,0.00332388301705446,0.84605259655604,-1.87023753243767,bmp4,0.84605259655604
0.121548269325724,-0.0051669056152927,2.88589418831005,0.00394594164478358,0.84605259655604,-2.00431182536615,dusp13,0.84605259655604
-0.368070255059999,0.325520026954178,-2.8634134970084,0.00423581418650349,0.84605259655604,-2.05959808207303,ruvbl1,0.84605259655604
-0.214118114943424,-0.0949861140443506,-2.8317201645582,0.00467734555354038,0.84605259655604,-2.136813316278,vmo1,0.84605259655604
0.157354984141537,-0.0318672737011248,2.78665903433334,0.0053770120572331,0.84605259655604,-2.24513095195259,muc13,0.84605259655604
0.10290167477017,0.0286549326145553,2.78051210300786,0.00547945618496431,0.84605259655604,-2.25977345579192,adcyap1r1,0.84605259655604
0.175884356137276,0.0197970726607423,2.77804056541661,0.00552114116115546,0.84605259655604,-2.26565183269895,lefty2,0.84605259655604
0.192804410517669,0.175814665057332,2.77703680278715,0.00553815225648988,0.84605259655604,-2.26803773173752,gtf2ird1,0.84605259655604
-0.154399059387487,0.094127534318902,-2.77286355791179,0.00560938626593929,0.84605259655604,-2.27794818732006,il1rn,0.84605259655604
0.106767466603908,0.0120993479394888,2.75271100180985,0.00596515366894496,0.84605259655604,-2.32559777769993,lgals8,0.84605259655604
-0.111158163083542,-0.00927008324661809,-2.73499074726439,0.00629465830223204,0.84605259655604,-2.36721168035383,flt3lg,0.84605259655604
0.0807753923558196,-0.000357833859095693,2.71846510583618,0.0066166302283823,0.84605259655604,-2.40578009906716,b4gat1,0.84605259655604
0.116167565522165,0.0353113038277515,2.71374786789515,0.00671121708019177,0.84605259655604,-2.41674692445073,btn1a1,0.84605259655604
0.140898130771448,0.0281619254658384,2.69806683477268,0.00703444758428168,0.84605259655604,-2.45306709952544,extl1,0.84605259655604
0.10429925661463,-0.0423614634146345,2.69187185681235,0.00716595204792165,0.84605259655604,-2.46735830629594,spink2,0.84605259655604
0.260622073542307,-0.0381386268656718,2.67468466564127,0.00754243428514324,0.84605259655604,-2.50683691420223,insl5,0.84605259655604
0.0809596619149308,-0.0264434238551651,2.66324587441072,0.00780274002040483,0.84605259655604,-2.53297258628838,thop1,0.84605259655604
0.153457380391351,0.10494240390482,2.66132317953582,0.00784727588698491,0.84605259655604,-2.53735470843445,espl1,0.84605259655604
0.081200141518153,-0.0128613708820403,2.63426059378838,0.00849876476762474,0.866652997155581,-2.59870155143901,tgfbi,0.866652997155581
0.150982677699897,-0.0989744479495268,2.62888547235342,0.00863378114651729,0.866652997155581,-2.61081211948379,myoc,0.866652997155581
-0.128125504901789,0.0292035921817222,-2.59936946578567,0.00940995057381659,0.913078870679336,-2.67687663969052,ager,0.913078870679336
-0.134962197431302,0.0543530465949821,-2.57848295908196,0.00999623349778378,0.931122825715865,-2.72317894777795,prnd,0.931122825715865
-0.300631005450498,0.0485645690111052,-2.57026708170315,0.0102356339480961,0.931122825715865,-2.74129076260239,ntprobnp,0.931122825715865
0.2403861146703,0.279392618900555,2.51729783441693,0.0119054486452558,0.982508055085963,-2.85668376108614,txnl1,0.982508055085963
0.0656715624175172,-0.0284420521945431,2.51604003558664,0.0119478804286951,0.982508055085963,-2.859394875782,pros1,0.982508055085963
-0.334547369875415,-0.125692895299145,-2.48677822595622,0.0129736391627787,0.982508055085963,-2.92208741624639,vim,0.982508055085963
-0.15191418867639,-0.0760052050473186,-2.4802457947256,0.0132130055337564,0.982508055085963,-2.93598354142379,slc39a5,0.982508055085963
0.0621836842872334,-0.0244995825879548,2.45644467709401,0.014118528429468,0.982508055085963,-2.98630750630571,tpk1,0.982508055085963
0.200014654466764,-0.0457976077812829,2.44877768299032,0.014421673212947,0.982508055085963,-3.00241563443486,fcrl6,0.982508055085963
0.167157523678974,0.00956809930592631,2.44039179080888,0.0147598072297036,0.982508055085963,-3.01997689024597,was,0.982508055085963
-0.0797144985552446,-0.0128752861602497,-2.43458273896574,0.0149981196640038,0.982508055085963,-3.0321068004751,dffa,0.982508055085963
0.0722043476736242,-0.01693310488677,2.4264140297548,0.0153389725069713,0.982508055085963,-3.04911535351529,f10,0.982508055085963
0.251049893896169,0.174520807453415,2.41863478374165,0.0156698997680001,0.982508055085963,-3.06526020545404,csde1,0.982508055085963
0.0662776331383407,-0.0165006874669487,2.41248906988825,0.0159357651776476,0.982508055085963,-3.07797845803455,ctsl,0.982508055085963
0.146051000832811,0.039003259532595,2.41174292982518,0.015968312115145,0.982508055085963,-3.07952037043136,tfap2a,0.982508055085963
-0.145788541920498,0.0199132674297607,-2.40948275291183,0.0160672591755154,0.982508055085963,-3.08418817739643,cxcl17,0.982508055085963
-0.0763672691930969,-0.0268696139801774,-2.40188604447231,0.0164037956968881,0.982508055085963,-3.09984534166208,adm,0.982508055085963
0.100083697327955,0.0380583070452156,2.38926716111148,0.0169765242321284,0.982508055085963,-3.12574489503914,dpp10,0.982508055085963
0.119322891003196,0.00952629107981218,2.38774673531409,0.0170467030921965,0.982508055085963,-3.12885633627824,stc1,0.982508055085963
0.141196510057507,-0.124751762820513,2.36252579737067,0.0182485608628078,0.982508055085963,-3.18018213616964,mstn,0.982508055085963
-0.0539016184353674,0.000360282574568292,-2.35791582402629,0.0184760914554837,0.982508055085963,-3.18950512030593,pcdh1,0.982508055085963
0.0671945426593512,-0.0162817204301076,2.34620802115849,0.01906514593503,0.982508055085963,-3.21310108741751,nt5c1a,0.982508055085963
-0.0962305839873953,-0.0291841976815133,-2.34150961817668,0.0193061178178124,0.982508055085963,-3.22253746063695,ankmy2,0.982508055085963
-0.200275495940405,0.028482641509434,-2.33947259739744,0.0194114176968484,0.982508055085963,-3.2266228161001,kir2dl3,0.982508055085963
-0.107148776362578,-0.0327032440476188,-2.33291205185957,0.0197539732858667,0.982508055085963,-3.23975633290338,snapin,0.982508055085963
