logFC,AveExpr,t,P.Value,adj.P.Val,B,protein
0.201582507806396,-0.0848457471264368,3.46504000363594,0.000583001848447977,0.766981406023427,-0.549356349956006,cilp
0.312719062380709,0.179493427230047,3.34303479014498,0.000902207732824192,0.766981406023427,-0.89970391429716,afap1
0.11212971993039,-0.0492893592677345,3.30973387523415,0.00101153393448987,0.766981406023427,-0.980013655007252,tctn3
0.0902157053696653,0.000425578947368419,3.2956491789139,0.00105572113699026,0.766981406023427,-0.991591449260928,ggt5
-0.0967673712544986,0.0152274004683841,-3.14291339989863,0.00178986670406751,0.981479508014637,-1.4204670899758,zp4
0.163737777788716,-0.110151954022989,3.05494993729978,0.00238997877791,0.981479508014637,-1.63782427862099,prap1
-0.0771676192040238,-0.0188515909090909,-3.04282359080768,0.00248463041786777,0.981479508014637,-1.66672640285861,apof
0.0385861549637928,-0.00497968421052632,2.93216576764569,0.00352922111922644,0.981479508014637,-1.9262676444555,ngf
-0.181142614136932,0.0787735362997658,-2.9211547796455,0.00367312939321432,0.981479508014637,-1.96825671296284,creb3
0.44731566376312,-0.129523243801653,2.89078208492674,0.00401624559010498,0.981479508014637,-2.02458053385297,hao1
-0.151062440140459,0.00499894957983192,-2.86209872172766,0.00439463406471977,0.981479508014637,-2.09594685540389,tbc1d17
-0.215614763777653,-0.00827663551401871,-2.71940453772515,0.00680721843924391,0.981479508014637,-2.43548030666271,col28a1
0.232633697795647,-0.111431263157895,2.67365771660831,0.00776234380265577,0.981479508014637,-2.52729219170147,mdga1
-0.103988616256502,-0.0205449462365592,-2.64862360422237,0.0083580299064089,0.981479508014637,-2.58403343203306,chek2
0.265051296828314,-0.00908329519450797,2.61710438135356,0.00917676015093794,0.981479508014637,-2.65619965439201,upb1
0.10009559776231,0.0460431865828092,2.61425280353612,0.00922620664927193,0.981479508014637,-2.65771134139122,thbs2
0.267812431404407,0.0471494791666667,2.60777178417476,0.00939833956803873,0.981479508014637,-2.67131052851453,ces1
0.368378921782093,0.0232233333333333,2.53047918598195,0.0117208660123654,0.981479508014637,-2.83756223315332,nppb
-0.0991436669431611,0.00292032710280373,-2.52424488539273,0.0119569580605015,0.981479508014637,-2.85344824143636,mslnl
0.123180884988102,0.0086962441314554,2.51383684618723,0.0123119585874318,0.981479508014637,-2.87475142533882,pdzk1
0.106316804913882,0.0250011820330969,2.50633618432648,0.0125749518524646,0.981479508014637,-2.89098628243712,eif2s2
-0.079965932303375,-0.00522337962962963,-2.48132741718014,0.0134705001468932,0.981479508014637,-2.9408647693278,eri1
0.180797140583683,0.110176525821596,2.45288132803029,0.0145733826562283,0.981479508014637,-2.99880061538238,esr1
-0.127614417158709,-0.0196402083333333,-2.41782917771368,0.0159862610435257,0.981479508014637,-3.06946504996212,pla2g1b
-0.163949843468831,0.0864709490740741,-2.41164778756134,0.0162985654876735,0.981479508014637,-3.08102395359645,rgl2
0.198060451596239,0.0963775175644028,2.40412931018359,0.0166379918303413,0.981479508014637,-3.09604203632276,tprkb
0.146683163353521,-0.0120095011876484,2.39879409713823,0.0168851839927201,0.981479508014637,-3.10658592105832,fdx1
-0.105456590049719,0.0416651869158879,-2.38771273275418,0.0173884106148315,0.981479508014637,-3.12798784041182,dipk1c
-0.0594709137230134,-0.0295294724770642,-2.38326661047586,0.0175889021923576,0.981479508014637,-3.13717512728412,selenop
-0.1839493497176,0.000533539094650207,-2.37974850507437,0.017710794134435,0.981479508014637,-3.14674440316515,ccl13
0.14767849761845,0.00405556722689077,2.37565203800417,0.0179144858176668,0.981479508014637,-3.15295159809565,nos3
0.0738305258162495,0.0516323877068558,2.37479205953139,0.0180059296310338,0.981479508014637,-3.15309909011066,sil1
-0.120788959159127,0.00182283057851239,-2.36735037120149,0.0183098542494659,0.981479508014637,-3.1712209300939,spp1
0.263108224045424,0.275377464788732,2.36838554700989,0.0183133140487936,0.981479508014637,-3.16588166863846,cd3g
-0.118417857292243,0.0733893617021277,-2.36665709953901,0.0184011104115065,0.981479508014637,-3.16926170059873,defb103a_defb103b
0.159884120025625,-0.0309704225352113,2.35866144120019,0.0187936901947818,0.981479508014637,-3.18474587754193,akr7l
-0.151929225660563,0.14260611814346,-2.34825297930626,0.0192733343434406,0.981479508014637,-3.20829309243052,il17rb
0.0690061626722361,-0.0325809917355372,2.34473787517132,0.0194452120023891,0.981479508014637,-3.21471360458387,prtg
0.165472455067103,-0.0287962441314554,2.33647451675382,0.0199313445948965,0.981479508014637,-3.22741444077305,fuom
0.0935633306670785,-0.0438780462184874,2.3353951626119,0.0199389559415545,0.981479508014637,-3.23287957643432,cdh2
0.0581852310552099,-0.0439346638655462,2.32224761572316,0.0206421993566823,0.981479508014637,-3.2585976591645,smad5
-0.146942505247048,0.0258077731092437,-2.32058470791914,0.0207326735465478,0.981479508014637,-3.260600842972,carhsp1
0.243180550274669,-0.102731464530892,2.31555346431565,0.0210468224108623,0.981479508014637,-3.26804443960252,igsf9
0.0777827443066772,-0.0669710344827586,2.31308712316467,0.0211854779796754,0.981479508014637,-3.27330641455771,cthrc1
0.20626490815153,0.144384259259259,2.31164548981817,0.0212689040539518,0.981479508014637,-3.2754125941897,sprr1b
0.162543674839801,-0.132279564315353,2.29909300684981,0.0219281159976449,0.981479508014637,-3.30282744509249,acp6
-0.072030337933567,0.0808335051546392,-2.28362277116833,0.0228268959305919,0.981479508014637,-3.33440827425336,enpp2
0.179706893084237,-0.123551154734411,2.28070627741396,0.0230529877384518,0.981479508014637,-3.33414231796013,gpihbp1
-0.0900340041294143,0.0450306818181818,-2.28013129359579,0.0230795528113829,0.981479508014637,-3.33567188911499,nrn1
0.118377967893921,-0.00977773109243697,2.27268092836101,0.0234921651756762,0.981479508014637,-3.35323160886501,ssc5d
-0.0936961432854663,0.058755,-2.25327518134901,0.0247355420879927,0.981479508014637,-3.38596789871464,ppp1r14d
-0.0809709641643787,-0.0237886266094421,-2.2525574201484,0.0247534304941451,0.981479508014637,-3.39059715788034,vtcn1
-0.152689034788325,-0.0961976359338061,-2.25058294840801,0.0249271550230371,0.981479508014637,-3.38802099790508,dmp1
0.152637355578611,-0.023776559139785,2.24442685386218,0.0252763401536144,0.981479508014637,-3.40578543361921,agr3
0.0858439180212109,0.0465141666666667,2.24296041287772,0.0253566333921064,0.981479508014637,-3.40992745314874,dcbld2
0.148917784006416,0.0864367768595041,2.22883015373275,0.0262853545788773,0.981479508014637,-3.43628710382744,klk4
-0.151469927944492,0.117242580645161,-2.22052642957435,0.0268661959751532,0.981479508014637,-3.44929338229175,cnpy2
-0.0828981450861094,0.0580736342042755,-2.20876278470964,0.027731485519498,0.981479508014637,-3.46624648995777,procr
0.121087398676513,-0.0677648421052632,2.19449993572857,0.0286848054530385,0.981479508014637,-3.49915217139596,bmp4
-0.158133857745005,0.0365405154639176,-2.19193186133499,0.0288608695579428,0.981479508014637,-3.50651539575306,ca3
0.143192789370952,0.0518639412997903,2.19197568653893,0.0288657229043423,0.981479508014637,-3.50392440322418,padi2
-0.11988566823478,0.0500395833333334,-2.18503380164368,0.0294252367671759,0.981479508014637,-3.51004524828177,il9
-0.327614343097453,-0.209449579831933,-2.17069442835686,0.0304497635848191,0.981479508014637,-3.54241696908596,cd177
-0.0828601241939173,0.0177846982758621,-2.16158445898522,0.0311629516196791,0.981479508014637,-3.55674343849213,tnf
0.182928717089043,-0.168997387173397,2.15544988125426,0.0316953084048643,0.981479508014637,-3.56196561879058,ass1
0.08889184070828,-0.00427556468172485,2.14732717314641,0.0322620693945995,0.981479508014637,-3.58826478188263,flt3lg
-0.119408580162559,0.0441271867612293,-2.13841897107399,0.0330575308015798,0.981479508014637,-3.59224791868047,scn2a
-0.0491960293542499,0.00778365591397849,-2.13012515001044,0.0336877169938304,0.981479508014637,-3.61305500507096,entpd5
0.126536389437842,-0.0569453488372093,2.12622206156963,0.0340040388822864,0.981479508014637,-3.62139340119309,thbs4
0.133551444385362,0.0848745302713987,2.12165640778897,0.0343813808398633,0.981479508014637,-3.63066990779456,trem2
0.0553250104263795,-0.0292791404612159,2.11768490868466,0.0347204999776469,0.981479508014637,-3.63787339280587,igf2r
-0.108034143960984,0.0220752336448598,-2.11633552834165,0.0348954489246686,0.981479508014637,-3.62964548455697,pms1
-0.0837229756210365,0.025693853427896,-2.10920834862643,0.0355162569803719,0.981479508014637,-3.64046921295734,prrt3
-0.110531027752057,-0.00742193181818182,-2.10631510531865,0.0357451270740535,0.981479508014637,-3.65090726414449,inpp5j
0.219997969298206,0.294740236051502,2.08780034656752,0.0373604842943786,0.981479508014637,-3.68891034768651,lhb
-0.0843078097660713,0.0059459090909091,-2.08223655683192,0.0379005086199838,0.981479508014637,-3.69265371422747,gpr158
0.156297416921593,-0.0110388429752067,2.07936415917158,0.0381117952469254,0.981479508014637,-3.70580858045191,havcr1
0.0648989050272142,-0.0418736111111111,2.07410406050344,0.0386639831786563,0.981479508014637,-3.70455847609404,bche
0.0558404760934462,-0.000431249999999993,2.06648316685658,0.0393207338204085,0.981479508014637,-3.72943648972751,plxnb2
0.146353858719719,0.109333177570093,2.06690264439242,0.0393467080771473,0.981479508014637,-3.71468146010821,erc2
-0.108420881642347,-0.0894712058212059,-2.06449305610398,0.0395085670442282,0.981479508014637,-3.73253946142413,omd
0.193321878451026,-0.03858830472103,2.06288302611327,0.0396794196337963,0.981479508014637,-3.73209836130314,acaa1
0.128488941002174,-0.0148172043010753,2.06266482335432,0.0397014577106932,0.981479508014637,-3.73092386425315,ace2
0.0913227077937585,0.0137971631205674,2.0630098654375,0.0397241243194835,0.981479508014637,-3.72347582490195,ifi30
-0.105698870836136,0.004315756302521,-2.06105544379596,0.0398424747209621,0.981479508014637,-3.73475920503295,ifnl1
-0.100149114006075,0.0398544724770642,-2.06094456602717,0.0399033625548856,0.981479508014637,-3.72798388757208,calcb
0.0871581528172978,0.0387838028169014,2.05774241931014,0.0402254749143298,0.981479508014637,-3.73117208285514,fgf6
0.141618457877843,0.0529113849765258,2.05373352894333,0.0406140015934749,0.981479508014637,-3.73796149159148,csnk1d
-0.0693657318983298,-0.0127539915966387,-2.04938807950828,0.0409738612408917,0.981479508014637,-3.75478477212576,pten
0.105780953626995,-0.0456551470588236,2.04018853827059,0.0418850915384679,0.981479508014637,-3.77049610145821,brk1
-0.121030311922669,-0.0958582135523614,-2.03950639387661,0.0419407676119255,0.981479508014637,-3.77800534578062,gmpr
-0.0563972699057675,-0.0236110983981693,-2.03090187625935,0.0428723625459811,0.981479508014637,-3.77880351351399,ngfr
