logFC,AveExpr,t,P.Value,adj.P.Val,B,protein,fdr,direction,label_protein
0.260492014332003,-0.05123125,4.1821330874279,5.40432300208877e-05,0.154555725780249,1.43133255783884,epha1,0.154555725780249,NS,
0.164056477205615,-0.0165165289256198,3.96231217157236,0.000124240969693189,0.154555725780249,0.76200473959746,bsg,0.154555725780249,NS,
0.318793904656827,0.0361012605042017,3.81612436863066,0.000212486146322701,0.154555725780249,0.331719699136111,vwc2,0.154555725780249,NS,
0.188766107307123,-0.0305113445378151,3.76740370369086,0.000253319518009562,0.154555725780249,0.191032400980705,ggt5,0.154555725780249,NS,
0.4399814599703,-0.0144956896551724,3.75434624428382,0.000265468440021038,0.154555725780249,0.153561447518693,agr3,0.154555725780249,NS,
0.322370577712859,-0.0434663636363636,3.58668168624341,0.00047959755978899,0.232684749424292,-0.31864590944635,prap1,0.232684749424292,NS,
0.178772418009095,-0.0819563025210084,3.52415166235381,0.000595077306066714,0.247467148280029,-0.490436260458985,phospho1,0.247467148280029,NS,
0.261437986639357,-0.0385403361344538,3.42579005426775,0.000831024245547337,0.258857958674914,-0.755814717195155,crip2,0.258857958674914,NS,
0.219385260938704,0.0331966386554622,3.40894516162202,0.000879351038913439,0.258857958674914,-0.80066000517178,cdh3,0.258857958674914,NS,
0.229849456406213,0.0355292372881356,3.40560537545409,0.000889240668756147,0.258857958674914,-0.809530272662939,fstl3,0.258857958674914,NS,
0.229841292621709,0.0170411764705882,3.37521971456475,0.000984134732874742,0.260437837036216,-0.889911357400219,tnfrsf10b,0.260437837036216,NS,
0.212136505075913,-0.0401344537815126,3.34576858832458,0.00108509818523255,0.263226734767663,-0.967265400513276,thy1,0.263226734767663,NS,
0.254358453253794,-0.0698565573770492,3.2921574522042,0.00129419949343021,0.289801132721179,-1.10666417968118,eda2r,0.289801132721179,NS,
0.574841996086504,-0.0925142857142857,3.23390900532718,0.0015637130294737,0.316083076922012,-1.25603657936415,igsf9,0.316083076922012,NS,
0.179222017846404,0.0211416666666667,3.19246564550724,0.00178638221501403,0.316083076922012,-1.36097999173587,crlf1,0.316083076922012,NS,
0.513450052218001,0.0637267543859649,3.16343017399323,0.00195958835198015,0.316083076922012,-1.43383813392078,chi3l1,0.316083076922012,NS,
0.24037410375362,-0.0639739495798319,3.15665564119958,0.00200218585659933,0.316083076922012,-1.4507580384847,tnfrsf12a,0.316083076922012,NS,
0.137641389081929,0.0197077868852459,3.1384002640569,0.00212129273723047,0.316083076922012,-1.49620237961999,ambp,0.316083076922012,NS,
0.229798032382176,0.00490247933884298,3.10702369787087,0.00234148851587234,0.316083076922012,-1.57379783847013,col6a3,0.316083076922012,NS,
0.212856144456513,-0.00523193277310924,3.10334880198614,0.00236862027215063,0.316083076922012,-1.5828434878239,cd74,0.316083076922012,NS,
0.31419326882811,0.0707848739495798,3.06815779087118,0.00264358941016176,0.316083076922012,-1.66901192713244,rarres2,0.316083076922012,NS,
0.141839460696026,0.0124774590163934,3.06005857082447,0.00271092050779096,0.316083076922012,-1.68872712135402,clmp,0.316083076922012,NS,
0.211580635070028,0.0100261261261261,3.03667625368127,0.00291430351757045,0.316083076922012,-1.74539906151927,creld1,0.316083076922012,NS,
0.47358307060204,-0.162571186440678,3.02695054329188,0.00300297765758592,0.316083076922012,-1.76886371317026,krt18,0.316083076922012,NS,
