logFC,AveExpr,t,P.Value,adj.P.Val,B,protein,fdr,sex_group,analysis
0.127983606229175,0.0576739970282318,3.26841364389116,0.0011083965039264,0.987566951449528,-1.11865054349294,tcn2,0.987566951449528,Female,hla_ms_interaction
0.297697362291471,-0.0784972138554217,3.22244142680906,0.00130099152806437,0.987566951449528,-1.23834052501912,clpp,0.987566951449528,Female,hla_ms_interaction
-0.537319307202429,-0.145949317147193,-3.2188072274357,0.00131746509747284,0.987566951449528,-1.2477312628145,vim,0.987566951449528,Female,hla_ms_interaction
0.15813357545577,0.0651732651245554,3.17696443818353,0.00152152802014494,0.987566951449528,-1.35510279868322,igf2bp3,0.987566951449528,Female,hla_ms_interaction
-0.121557598268354,-0.0197936901653612,-3.09192824455531,0.00202882169322846,0.987566951449528,-1.56905695233665,vti1a,0.987566951449528,Female,hla_ms_interaction
-0.130346686377956,-0.0838317460317462,-3.04532720993307,0.00236871256248563,0.987566951449528,-1.68388548265089,dnajb6,0.987566951449528,Female,hla_ms_interaction
0.139607280033719,0.0129409361069836,3.01173390894441,0.00264528110379781,0.987566951449528,-1.76559764765113,lgals8,0.987566951449528,Female,hla_ms_interaction
-0.11983107705001,-0.094535109170306,-2.98922676661117,0.00284678576929737,0.987566951449528,-1.81984479193142,mars1,0.987566951449528,Female,hla_ms_interaction
0.209597401476543,0.0895852889667253,2.95864965093593,0.00314303390581277,0.987566951449528,-1.89290044052292,cacnb1,0.987566951449528,Female,hla_ms_interaction
0.243769061453284,0.059566504854369,2.88143771199826,0.00402045460964397,0.987566951449528,-2.0740837472027,lbp,0.987566951449528,Female,hla_ms_interaction
0.135433184452969,0.0430398576512455,2.87674759477044,0.00408032295683129,0.987566951449528,-2.08493734246989,nxpe4,0.987566951449528,Female,hla_ms_interaction
0.150684720691244,0.0382441602728047,2.81926859108946,0.0048827325087966,0.987566951449528,-2.2165359882892,btn1a1,0.987566951449528,Female,hla_ms_interaction
-0.128577051072158,-0.00929212358572673,-2.78061622204046,0.00550000334392012,0.987566951449528,-2.30355788136412,dtd1,0.987566951449528,Female,hla_ms_interaction
0.100902165150289,-0.0804598490566038,2.77818941965678,0.00554101556900955,0.987566951449528,-2.30898204137236,thop1,0.987566951449528,Female,hla_ms_interaction
0.0905571868401531,-0.0444925894378197,2.77640676084668,0.00557131775970879,0.987566951449528,-2.31296349547481,gipc2,0.987566951449528,Female,hla_ms_interaction
-0.106762137894,-0.0292017964071856,-2.72626281751186,0.00648741015423243,0.987566951449528,-2.42392356307278,cd302,0.987566951449528,Female,hla_ms_interaction
-0.13980809974733,0.0578792598967301,-2.71981214913633,0.0066146178692859,0.987566951449528,-2.43805289655739,cd82,0.987566951449528,Female,hla_ms_interaction
0.312313419683498,-0.201827914893616,2.69256944402929,0.00717696909156805,0.987566951449528,-2.4973599509065,insl5,0.987566951449528,Female,hla_ms_interaction
-0.100440049896626,-0.0306624891209748,-2.68487953150345,0.00734329863983746,0.987566951449528,-2.51399411411455,ywhaq,0.987566951449528,Female,hla_ms_interaction
0.181790331061072,0.0972262898330802,2.67721881775606,0.00751243087345759,0.987566951449528,-2.53051840341177,milr1,0.987566951449528,Female,hla_ms_interaction
0.124478654491321,0.0841846182634732,2.66161703592068,0.00786773864624419,0.987566951449528,-2.56402751901777,fetub,0.987566951449528,Female,hla_ms_interaction
0.370249709406171,0.410130127659574,2.6520882880867,0.00809208438820446,0.987566951449528,-2.58439797329544,nenf,0.987566951449528,Female,hla_ms_interaction
-0.105664433582901,-0.0325802436901652,-2.64536361954192,0.00825384376860184,0.987566951449528,-2.59873046044004,lztfl1,0.987566951449528,Female,hla_ms_interaction
-0.122835410380459,-0.0943661572052404,-2.62399865568237,0.00878716364827322,0.987566951449528,-2.6440277047928,cacybp,0.987566951449528,Female,hla_ms_interaction
0.163920951235623,0.0431207652303121,2.6163466448409,0.00898554591212993,0.987566951449528,-2.66016295834308,tnfrsf8,0.987566951449528,Female,hla_ms_interaction
-0.424114323388468,0.38129367859863,-2.60618638861546,0.00925514029421715,0.987566951449528,-2.68151521164053,ruvbl1,0.987566951449528,Female,hla_ms_interaction
0.265742208262443,0.0618825531914895,2.59567104789662,0.00954174369365434,0.987566951449528,-2.70352723402208,fam3d,0.987566951449528,Female,hla_ms_interaction
0.227495902842206,-0.199632578397211,2.58671557742305,0.00979205102074119,0.987566951449528,-2.72220459054693,pomc,0.987566951449528,Female,hla_ms_interaction
0.126351604554772,-0.0300157528285466,2.53956037575078,0.0112091525425707,0.987566951449528,-2.81949791662644,tnfrsf17,0.987566951449528,Female,hla_ms_interaction
