logFC,AveExpr,t,P.Value,adj.P.Val,B,protein,fdr
-0.177377930095081,-0.0327481012658228,-3.7299264901731,0.000237560210146246,0.691537771735723,0.0682683345115658,ifnlr1,0.691537771735723
-0.212102589233567,0.0205722972972973,-3.4263409411295,0.00071624551500714,0.998266391800672,-0.76815577270338,lcn15,0.998266391800672
-0.191054143770872,0.0460495238095238,-2.94195827349623,0.00357107962488071,0.998266391800672,-1.97023812991371,zcchc8,0.998266391800672
-0.101854206564002,-0.0567734439834025,-2.82671637273023,0.00508735565011422,0.998266391800672,-2.23156413151166,cd244,0.998266391800672
0.158092565941257,-0.13848912037037,2.80677607469643,0.00540258207663229,0.998266391800672,-2.27580174799296,gipc3,0.998266391800672
0.185390652490727,0.136198723404255,2.77111400834043,0.00601089994691136,0.998266391800672,-2.35419417754871,il1rn,0.998266391800672
0.259022660004666,-0.350571397379913,2.66942078718985,0.00810138251093777,0.998266391800672,-2.57261502474289,obp2b,0.998266391800672
-0.228345011982603,-0.0338121621621622,-2.65443807193244,0.00845942526903671,0.998266391800672,-2.60415199264629,pga4,0.998266391800672
0.152783544909605,0.018471129707113,2.64630765972146,0.00865962058428859,0.998266391800672,-2.62119621573416,ctsv,0.998266391800672
0.0759772805142064,-0.000373529411764707,2.64414046941781,0.00871369760714185,0.998266391800672,-2.62573116687142,nme3,0.998266391800672
-0.203568575481156,0.179707582938389,-2.62612754209986,0.00917504785892523,0.998266391800672,-2.66328966456721,kirrel1,0.998266391800672
0.120837988629673,-0.0423643478260869,2.61574088560886,0.00945093407911267,0.998266391800672,-2.6848375622505,ly96,0.998266391800672
-0.301066376007573,0.280098139534884,-2.60546728971901,0.00973111709012191,0.998266391800672,-2.70607227436324,myl6b,0.998266391800672
0.115031479675473,0.0278261410788382,2.59296009508365,0.010082254206836,0.998266391800672,-2.73181801677463,folr2,0.998266391800672
0.101085796660417,-0.0339930555555556,2.59231052649764,0.0101007969996272,0.998266391800672,-2.73315196663704,dnajb14,0.998266391800672
-0.128153874916335,-0.0581291139240507,-2.57703321362047,0.0105458092643321,0.998266391800672,-2.76443502433023,scrn1,0.998266391800672
-0.157656235551858,0.0254140909090909,-2.56911434346795,0.0107833138704968,0.998266391800672,-2.78058210610198,gabarap,0.998266391800672
-0.338951215680656,0.396171990740741,-2.56171954120878,0.0110094081975596,0.998266391800672,-2.79561848168289,lsm8,0.998266391800672
-0.148244901279203,0.0880245454545455,-2.53024765940353,0.0120197646256172,0.998266391800672,-2.85915722940338,bcl7b,0.998266391800672
-0.138577809437021,-0.083946261682243,-2.48450026949331,0.0136359257781582,0.998266391800672,-2.95019937937387,itgal,0.998266391800672
-0.171939294533668,0.0610453051643192,-2.48403841288431,0.0136531825523622,0.998266391800672,-2.95111054830564,smc3,0.998266391800672
0.155496013921528,-0.0545991525423729,2.4819432098612,0.0137317115186433,0.998266391800672,-2.95524204323683,iqgap2,0.998266391800672
0.204442312827302,0.0737997685185185,2.47857330799777,0.013858858700084,0.998266391800672,-2.96188020439124,magea3,0.998266391800672
-0.159717358024395,-0.0479534042553192,-2.47239930429968,0.0140945208557306,0.998266391800672,-2.97401993996776,ythdf3,0.998266391800672
