k,sil_mean,gap,gap_se
1,,0.455336334211729,0.0120341814560143
2,0.110707157947916,0.441340561281709,0.0111870732417106
3,0.0846393479243115,0.442680414061534,0.0107830503128492
4,0.0510635211352655,0.43818844380135,0.0102834251261268
5,0.0495934575267725,0.438661963543031,0.0107010564791311
6,0.0560668535268166,0.437948994230122,0.0108604416758295
