cluster_label,prs_score,drb1_1501_carrier,drb1_1501_dosage,wmh_vol,age_at_sampling,age_at_diagnosis,years_to_diagnosis,n,pct_female
C1,0.327448809843519,0.311111111111111,0.353333333333333,12261.5,56.5555555555556,64.8,8.24444444444444,45,57.7777777777778
C2,0.311208505425981,0.5125,0.59725,10460.5714285714,51.425,57.8,6.375,80,75
