protein,mean_imp,protein_f
nefl,88.3471359348788,nefl
bag3,69.351522226765,bag3
cd248,55.9369821549122,cd248
lilrb4,51.1576773340073,lilrb4
arl13b,49.5268865532691,arl13b
klk6,39.9288500993516,klk6
age_at_sampling,39.3302163042679,age_at_sampling
galnt7,36.1504189021093,galnt7
omg,32.9777823527077,omg
cd302,25.0610562418879,cd302
bcan,22.7067226974053,bcan
sex_num,22.1985750033494,sex_num
