config,sex_lbl,stage,curve_key,fpr,tpr,auc
female_combined,Female,Combined,Female Combined,1,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.997361477572559,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.994722955145119,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.992084432717678,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.989445910290237,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.986807387862797,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.984168865435356,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.981530343007915,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.978891820580475,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.976253298153034,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.973614775725594,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.970976253298153,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.968337730870712,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.965699208443272,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.963060686015831,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.96042216358839,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.95778364116095,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.955145118733509,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.952506596306069,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.949868073878628,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.947229551451187,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.944591029023747,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.941952506596306,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.939313984168865,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.936675461741425,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.934036939313984,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.931398416886544,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.928759894459103,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.926121372031662,1,0.752444513425422
female_combined,Female,Combined,Female Combined,0.926121372031662,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.923482849604222,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.920844327176781,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.91820580474934,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.9155672823219,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.912928759894459,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.910290237467018,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.907651715039578,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.905013192612137,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.902374670184697,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.899736147757256,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.897097625329815,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.894459102902375,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.891820580474934,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.889182058047494,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.886543535620053,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.883905013192612,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.881266490765172,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.878627968337731,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.87598944591029,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.87335092348285,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.870712401055409,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.868073878627968,0.970588235294118,0.752444513425422
female_combined,Female,Combined,Female Combined,0.865435356200528,0.970588235294118,0.752444513425422
