time_bin,mean_prob,se_prob,sd_prob,n,hc_mean,hc_sd,hc_n
> 10,0.549873187845538,0.0287358934580714,0.172415360748428,36,0.447490302246918,0.18587946094987,47801
"[5,10)",0.585484367473322,0.0254642853027454,0.190557262403873,56,0.447490302246918,0.18587946094987,47801
"[2,5)",0.565723063107124,0.0394992054211415,0.197496027105708,25,0.447490302246918,0.18587946094987,47801
"[0,2)",0.595807104031075,0.0950042387275123,0.268712565782758,8,0.447490302246918,0.18587946094987,47801
