feature,coef,cluster
galnt7,0.468562421132874,C1
cd302,-0.404835757167577,C1
arl13b,-0.354452379303135,C1
bcan,-0.167431773308277,C1
bag3,0.145400579074322,C1
nefl,-0.0487807440598593,C1
