feature,coef,cluster
arl13b,-0.44864957626199,C2
bcan,0.27301095799953,C2
cd302,-0.251570901056792,C2
lilrb4,-0.232608841816224,C2
bag3,0.213074780052811,C2
galnt7,0.188251718195679,C2
nefl,-0.180752346237431,C2
cd248,0.115283108642594,C2
omg,-0.0901360907776876,C2
klk6,-0.075459943030886,C2
age_at_sampling,0.0377572195277605,C2
