cluster,n_cases,auc,auc_lo,auc_hi
All pre-onset,125,0.5691,,
C0,11,0.570247933884297,0.369491423507873,0.771004444260722
C1,9,0.548148148148148,0.338442887689955,0.757853408606341
C2,21,0.671201814058957,0.540759175418035,0.801644452699879
