feature,coef,cluster
nefl,-1.35438925062621,C0
cd302,-1.25339466230237,C0
cd248,1.10539516346709,C0
bag3,-0.691672632049425,C0
lilrb4,0.599989285412346,C0
bcan,0.597428358981099,C0
age_at_sampling,0.496378793241602,C0
galnt7,0.405947274869332,C0
arl13b,0.319020653401622,C0
omg,0.297389147672803,C0
klk6,-0.0458922011979299,C0
