logFC,AveExpr,t,P.Value,adj.P.Val,B,protein,contrast,sig
-0.762177815542731,-0.0853803571428571,-3.65617189724281,0.000330222163627608,0.63707204398795,-1.24068610782276,cdhr5,C2_vs_C1,FALSE
-0.648920594160152,0.0192133333333333,-3.44007060724582,0.000725738972405193,0.63707204398795,-1.74029787174512,hjv,C2_vs_C1,FALSE
-0.50651636030429,-0.0471843575418995,-3.35300140510301,0.000979146665579288,0.63707204398795,-1.89813342750155,nt5c1a,C2_vs_C1,FALSE
-1.1207807278123,-0.00622102272727272,-3.29554344050102,0.00119232206476112,0.63707204398795,-2.00395468402431,fcamr,C2_vs_C1,FALSE
0.385663051828047,-0.0296067039106145,3.29052644162476,0.0012085357122733,0.63707204398795,-2.02450243109534,apof,C2_vs_C1,FALSE
-0.392867047430392,-0.00862011173184357,-3.22503530711258,0.00150214873023943,0.63707204398795,-2.12297624608015,lmnb2,C2_vs_C1,FALSE
0.587877948079181,0.0698783333333333,3.19208842077217,0.00167233492788609,0.63707204398795,-2.17918684476014,grik2,C2_vs_C1,FALSE
0.592062270421579,0.0778070351758794,3.17369490974492,0.00174839669018991,0.63707204398795,-2.13955458479258,hsd11b1,C2_vs_C1,FALSE
0.910203283548991,0.175595226130653,3.135692558927,0.00197894110796237,0.640957036634478,-2.19915895545802,il17f,C2_vs_C1,FALSE
-0.584028674429932,0.0113708333333333,-3.07061040377609,0.00247410475565721,0.721201536274078,-2.38408830748799,rbfox3,C2_vs_C1,FALSE
-0.587909022215736,-0.0382234636871508,-2.99026823533296,0.00318780333615256,0.737388132740198,-2.51628854772704,palm2,C2_vs_C1,FALSE
-1.21504229387203,0.0131988826815643,-2.98950375915365,0.00319539849822667,0.737388132740198,-2.51752759608807,ftcd,C2_vs_C1,FALSE
-0.748176852935264,-0.032896875,-2.97741276724477,0.00328852340501632,0.737388132740198,-2.50845979036213,agr3,C2_vs_C1,FALSE
-0.950341439623617,0.342454748603352,-2.92280830824451,0.00392552503982547,0.817350392220804,-2.62453806595797,insl3,C2_vs_C1,FALSE
0.680378291666858,0.0227076530612245,2.88724567710083,0.00433064798985774,0.841589259362354,-2.63073872356747,clul1,C2_vs_C1,FALSE
-0.511469229732659,-0.00141333333333333,-2.85050265172279,0.00488491122981022,0.88996976468105,-2.73791012375413,ern1,C2_vs_C1,FALSE
0.599859288557099,-0.0976417085427136,2.77968566449116,0.00597235076892557,0.999378178229377,-2.7816080369385,adamts8,C2_vs_C1,FALSE
0.874252710316188,0.021164824120603,2.71012838121696,0.00732345768602181,0.999378178229377,-2.90678015483187,ccl3,C2_vs_C1,FALSE
0.238352441388704,-0.0193683673469388,2.70539470952184,0.00743399749306489,0.999378178229377,-2.91195588552035,icoslg,C2_vs_C1,FALSE
-1.1483133527911,0.102325568181818,-2.70567621682997,0.00750066684891857,0.999378178229377,-2.96044326110507,upb1,C2_vs_C1,FALSE
-0.268420267690852,-0.0123139664804469,-2.67659869141396,0.00814165811657226,0.999378178229377,-3.00139252093361,zhx2,C2_vs_C1,FALSE
0.540361624029154,0.0579656976744186,2.64727729608335,0.00888380710078044,0.999378178229377,-3.0893372344592,relb,C2_vs_C1,FALSE
-0.782966917681267,0.0523009852216749,-2.59473464305653,0.0101690371820409,0.999378178229377,-3.06224347451868,fabp4,C2_vs_C1,FALSE
0.42896976932793,0.0678083743842364,2.5793757150456,0.0106167730882193,0.999378178229377,-3.08526131356775,serpina11,C2_vs_C1,FALSE
-0.849692953545396,-0.0603252551020408,-2.57916027013427,0.0106498102264375,0.999378178229377,-3.10709246980625,ccl27,C2_vs_C1,FALSE
-0.64543514355192,0.155258055555556,-2.58005593989749,0.0106917378580877,0.999378178229377,-3.14094471588587,kiaa2013,C2_vs_C1,FALSE
-0.381394084252849,-0.00422222222222222,-2.56633952056035,0.0110298694310587,0.999378178229377,-3.11220255902813,lrig1,C2_vs_C1,FALSE
-0.681212154513787,-0.0237223618090452,-2.5445968874704,0.0117125795274416,0.999378178229377,-3.15247928107699,ldlr,C2_vs_C1,FALSE
0.808785337089161,0.0143389162561577,2.54230913872491,0.0117712703479211,0.999378178229377,-3.1403158618022,vwf,C2_vs_C1,FALSE
-0.337283928221753,-0.00836051136363636,-2.54431735984682,0.0118258668401951,0.999378178229377,-3.19333475594051,tcof1,C2_vs_C1,FALSE
-0.336660893009982,0.04713125,-2.51490346827466,0.0128202893345439,0.999378178229377,-3.28268880035696,serpind1,C2_vs_C1,FALSE
0.379077508578179,-0.0132747448979592,2.50702391401087,0.0130024511515966,0.999378178229377,-3.20709491654529,flt1,C2_vs_C1,FALSE
-0.283740438733294,-0.0166367231638418,-2.50926348250624,0.0130139450271362,0.999378178229377,-3.2847312652854,cfi,C2_vs_C1,FALSE
0.548631491660717,0.113904522613065,2.50627853276803,0.0130161489674359,0.999378178229377,-3.20607210343722,il13,C2_vs_C1,FALSE
-0.351093924183674,-0.0221378172588833,-2.50519108649535,0.0130633789235097,0.999378178229377,-3.20771068819743,pamr1,C2_vs_C1,FALSE
-0.376362203997593,0.00453918128654971,-2.49672911849091,0.0135004725058036,0.999378178229377,-3.27217958669652,tpr,C2_vs_C1,FALSE
-1.03434174947308,-0.129115051020408,-2.48537881461817,0.0137935748826586,0.999378178229377,-3.24246611035082,gsta1,C2_vs_C1,FALSE
-0.633108953921134,-0.0266170854271357,-2.47878867554212,0.0140294643604441,0.999378178229377,-3.23725755371371,dcxr,C2_vs_C1,FALSE
-0.955831978830507,0.0688449494949495,-2.47767096696986,0.0140765178410274,0.999378178229377,-3.25360523171055,cst7,C2_vs_C1,FALSE
-0.422471676543449,-0.0144891428571428,-2.48031815002631,0.0140910222060188,0.999378178229377,-3.2999167292921,cdc25a,C2_vs_C1,FALSE
-0.598579857921293,0.0426774011299435,-2.46581011863791,0.0146423688751783,0.999378178229377,-3.30906988115351,cacnb1,C2_vs_C1,FALSE
-0.295770818511387,-0.0632964912280702,-2.45954695658717,0.0149262952392269,0.999378178229377,-3.33889818675597,rnase4,C2_vs_C1,FALSE
0.392667462068309,-0.130751734104046,2.44830765176376,0.0153707828879987,0.999378178229377,-3.33446539266271,mxra8,C2_vs_C1,FALSE
0.54841369854392,0.0190020408163265,2.43022031990009,0.0160064818696996,0.999378178229377,-3.3199511951364,lpl,C2_vs_C1,FALSE
-0.537520759538771,-0.0141610169491526,-2.39714728583805,0.0175850938739186,0.999378178229377,-3.39921563279246,mtus1,C2_vs_C1,FALSE
-0.607262552928846,-0.0467649717514124,-2.39616017315221,0.0176309633405222,0.999378178229377,-3.43227212781126,cilp,C2_vs_C1,FALSE
-0.191970813682092,-0.0160223463687151,-2.39467149890667,0.0176874780832576,0.999378178229377,-3.39653908378277,ngrn,C2_vs_C1,FALSE
-0.293475221206514,-0.0591826815642458,-2.38980558640568,0.0179158533159929,0.999378178229377,-3.40301023771256,yap1,C2_vs_C1,FALSE
-0.440986668440351,-0.0613413888888889,-2.37413414636085,0.0186636199285736,0.999378178229377,-3.42363218630799,dtnb,C2_vs_C1,FALSE
-0.52402865785783,0.0231136363636364,-2.3597764013637,0.0192761908124577,0.999378178229377,-3.40631658258576,vwa1,C2_vs_C1,FALSE
0.757427474622366,-0.03942675,2.35006223172547,0.0197617228279776,0.999378178229377,-3.42224993874207,gal,C2_vs_C1,FALSE
0.767824054533099,0.112941573033708,2.3311085108734,0.020890159379109,0.999378178229377,-3.48654920545348,epb41l5,C2_vs_C1,FALSE
