logFC,AveExpr,t,P.Value,adj.P.Val,B,protein,contrast,sig
0.781743956372959,0.0440766081871345,6.44076621229664,1.20689554377011e-09,3.51810051008987e-06,8.89483865723816,edem2,C0_vs_None,TRUE
0.767743936957725,0.0849050279329609,4.79256082522724,3.4927050759765e-06,0.00509061764823575,3.23753439552674,gpha2,C0_vs_None,TRUE
0.689685432587942,0.0684701754385965,3.9303695792939,0.000123862596611763,0.12035315637443,0.521274857027162,coq7,C0_vs_None,FALSE
-1.97140113863266,-0.305226649746193,-3.81568197832915,0.000182631057595669,0.129675579438426,0.321347739529609,cd177,C0_vs_None,FALSE
0.868700855903125,0.0963385964912281,3.77427840759609,0.00022242809509164,0.129675579438426,-0.0174161474627335,snu13,C0_vs_None,FALSE
-0.614215230443925,-0.0907519801980198,-3.69209930545607,0.000287355511228198,0.1396068858717,-0.00955730957925738,bst1,C0_vs_None,FALSE
0.726857122277183,0.115009356725146,3.58599056456503,0.00044026269155706,0.183337963698404,-0.514455067173214,lama1,C0_vs_None,FALSE
1.30929648290467,0.329889142857143,3.44492140225997,0.000718099448978165,0.261657486721419,-0.7978965839312,iglon5,C0_vs_None,FALSE
0.581044220023868,0.0432748571428571,3.30275601075223,0.00116514099580023,0.37737622252863,-1.15738935657478,pdxdc1,C0_vs_None,FALSE
0.627678564740253,0.0968862857142857,3.12260165757589,0.00210442788219445,0.5642129273366,-1.59422780919445,izumo1,C0_vs_None,FALSE
0.768721467274667,0.0307832369942197,3.11953754820313,0.00212910538617585,0.5642129273366,-1.60259922274208,fuom,C0_vs_None,FALSE
0.890039290394615,0.0453614795918367,3.00096676335183,0.00304749976790168,0.728181674620042,-1.82877781572455,mme,C0_vs_None,FALSE
0.641890076089308,0.11130790960452,2.98478639149312,0.00324746544427463,0.728181674620042,-1.90948267407096,alms1,C0_vs_None,FALSE
-0.451481311976752,0.0258676966292135,-2.94000597934698,0.00372668622451494,0.775949310318647,-2.00911330694896,sowaha,C0_vs_None,FALSE
0.696012842677583,0.0660254237288135,2.89649627519711,0.004259493930938,0.815000166463472,-2.11108718723537,bloc1s2,C0_vs_None,FALSE
-0.632994871958977,-0.059933918128655,-2.85660690102604,0.0048245042172222,0.815000166463472,-2.2005521798795,tmem132a,C0_vs_None,FALSE
