from,to,combined_score
9606.ENSP00000278222,9606.ENSP00000381250,758
9606.ENSP00000278222,9606.ENSP00000381250,758
9606.ENSP00000381133,9606.ENSP00000381250,644
9606.ENSP00000381133,9606.ENSP00000381250,644
9606.ENSP00000376911,9606.ENSP00000420384,672
9606.ENSP00000376911,9606.ENSP00000420384,672
9606.ENSP00000270642,9606.ENSP00000429344,804
9606.ENSP00000270642,9606.ENSP00000429344,804
9606.ENSP00000361359,9606.ENSP00000431445,421
9606.ENSP00000361359,9606.ENSP00000431445,421
9606.ENSP00000261405,9606.ENSP00000444271,475
9606.ENSP00000261405,9606.ENSP00000444271,475
9606.ENSP00000397566,9606.ENSP00000455215,545
9606.ENSP00000397566,9606.ENSP00000455215,545
9606.ENSP00000219235,9606.ENSP00000455897,636
9606.ENSP00000219235,9606.ENSP00000455897,636
9606.ENSP00000227752,9606.ENSP00000455897,413
9606.ENSP00000227752,9606.ENSP00000455897,413
9606.ENSP00000261405,9606.ENSP00000455897,410
9606.ENSP00000261405,9606.ENSP00000455897,410
9606.ENSP00000361359,9606.ENSP00000455897,629
9606.ENSP00000361359,9606.ENSP00000455897,629
9606.ENSP00000368450,9606.ENSP00000455897,553
9606.ENSP00000368450,9606.ENSP00000455897,553
9606.ENSP00000376911,9606.ENSP00000455897,423
9606.ENSP00000376911,9606.ENSP00000455897,423
9606.ENSP00000379111,9606.ENSP00000455897,598
9606.ENSP00000379111,9606.ENSP00000455897,598
9606.ENSP00000296444,9606.ENSP00000468308,400
9606.ENSP00000296444,9606.ENSP00000468308,400
9606.ENSP00000335024,9606.ENSP00000468308,470
9606.ENSP00000335024,9606.ENSP00000468308,470
9606.ENSP00000361112,9606.ENSP00000468308,511
9606.ENSP00000361112,9606.ENSP00000468308,511
9606.ENSP00000368244,9606.ENSP00000468308,492
9606.ENSP00000368244,9606.ENSP00000468308,492
9606.ENSP00000219235,9606.ENSP00000477908,524
9606.ENSP00000219235,9606.ENSP00000477908,524
9606.ENSP00000227752,9606.ENSP00000477908,506
9606.ENSP00000227752,9606.ENSP00000477908,506
9606.ENSP00000249075,9606.ENSP00000477908,668
9606.ENSP00000249075,9606.ENSP00000477908,668
9606.ENSP00000299855,9606.ENSP00000477908,506
9606.ENSP00000299855,9606.ENSP00000477908,506
9606.ENSP00000311697,9606.ENSP00000477908,479
9606.ENSP00000311697,9606.ENSP00000477908,479
9606.ENSP00000339328,9606.ENSP00000477908,598
9606.ENSP00000339328,9606.ENSP00000477908,598
9606.ENSP00000361359,9606.ENSP00000477908,842
9606.ENSP00000361359,9606.ENSP00000477908,842
9606.ENSP00000368450,9606.ENSP00000477908,823
9606.ENSP00000368450,9606.ENSP00000477908,823
9606.ENSP00000379111,9606.ENSP00000477908,419
9606.ENSP00000379111,9606.ENSP00000477908,419
9606.ENSP00000420384,9606.ENSP00000477908,436
9606.ENSP00000420384,9606.ENSP00000477908,436
9606.ENSP00000455897,9606.ENSP00000477908,602
9606.ENSP00000455897,9606.ENSP00000477908,602
9606.ENSP00000339328,9606.ENSP00000479536,750
9606.ENSP00000339328,9606.ENSP00000479536,750
9606.ENSP00000219235,9606.ENSP00000482259,772
9606.ENSP00000219235,9606.ENSP00000482259,772
9606.ENSP00000227752,9606.ENSP00000482259,700
9606.ENSP00000227752,9606.ENSP00000482259,700
9606.ENSP00000249075,9606.ENSP00000482259,647
9606.ENSP00000249075,9606.ENSP00000482259,647
9606.ENSP00000259607,9606.ENSP00000482259,574
9606.ENSP00000259607,9606.ENSP00000482259,574
9606.ENSP00000299855,9606.ENSP00000482259,420
9606.ENSP00000299855,9606.ENSP00000482259,420
9606.ENSP00000311697,9606.ENSP00000482259,447
9606.ENSP00000311697,9606.ENSP00000482259,447
9606.ENSP00000339328,9606.ENSP00000482259,443
9606.ENSP00000339328,9606.ENSP00000482259,443
9606.ENSP00000361359,9606.ENSP00000482259,739
9606.ENSP00000361359,9606.ENSP00000482259,739
9606.ENSP00000368450,9606.ENSP00000482259,632
9606.ENSP00000368450,9606.ENSP00000482259,632
9606.ENSP00000420384,9606.ENSP00000482259,477
9606.ENSP00000420384,9606.ENSP00000482259,477
9606.ENSP00000455897,9606.ENSP00000482259,534
9606.ENSP00000455897,9606.ENSP00000482259,534
9606.ENSP00000477908,9606.ENSP00000482259,997
9606.ENSP00000477908,9606.ENSP00000482259,997
9606.ENSP00000261405,9606.ENSP00000494061,649
9606.ENSP00000261405,9606.ENSP00000494061,649
9606.ENSP00000274024,9606.ENSP00000494061,405
9606.ENSP00000274024,9606.ENSP00000494061,405
