logFC,AveExpr,t,P.Value,adj.P.Val,B,protein,sex
0.855366933875503,0.316696212121212,4.09753106704826,5.07305743397451e-05,0.147676701902998,0.740350315679721,crx,Pre-onset Male
-0.389370885883866,-0.0444096534653466,-3.84019389968951,0.000142809151559586,0.207858720094977,0.0582186701612173,bank1,Pre-onset Male
-0.778155448422681,0.0671031806615777,-3.2317101241013,0.00133495344279585,0.54986234564073,-1.49455209663306,kir3dl1,Pre-onset Male
0.203499962953479,0.0951681564245809,3.17846388192022,0.00161044699921766,0.54986234564073,-1.62596449212199,gmpr2,Pre-onset Male
0.301672731004896,0.0214118421052632,3.15885773626968,0.00172614689685217,0.54986234564073,-1.70717930321674,top1mt,Pre-onset Male
0.236554811089891,0.101006703910614,3.14158847408554,0.00182135023343772,0.54986234564073,-1.71658761480075,letm1,Pre-onset Male
-0.189091353359848,0.0308174647887324,-3.13912389064426,0.00183755143631661,0.54986234564073,-1.72559790718818,cmip,Pre-onset Male
-0.163555283414433,0.101112569832402,-3.10768678748779,0.00203744905089774,0.54986234564073,-1.7909325408569,tsc22d1,Pre-onset Male
0.335338056940083,0.0972371428571428,3.10189054188557,0.00208029707180017,0.54986234564073,-1.80582659242358,fgf12,Pre-onset Male
0.248218655522407,0.0879529329608938,3.07065052540716,0.002300361657768,0.54986234564073,-1.86331219511051,tbca,Pre-onset Male
0.235695785870407,0.0105696793002916,3.03903056158847,0.0025570465891416,0.54986234564073,-1.94931233930527,gask1a,Pre-onset Male
-0.211769037810273,-0.042518,-3.03393744317876,0.00257236928891562,0.54986234564073,-1.91895163638936,tbc1d23,Pre-onset Male
0.192528335972081,-0.0135857541899441,3.03298546743641,0.00259943733883666,0.54986234564073,-1.95209189285732,gpr158,Pre-onset Male
0.250857661694762,0.00230606435643565,3.02520014761454,0.00264447710029894,0.54986234564073,-1.92866890826769,il1rap,Pre-onset Male
-0.234866427429124,0.110278212290503,-2.9419486934977,0.00347544216844438,0.570713563630283,-2.14252028786593,cda,Pre-onset Male
-0.237929957120068,0.0890488549618321,-2.93979095686094,0.00347960767303378,0.570713563630283,-2.13310655738591,cep85,Pre-onset Male
0.258361528196598,-0.073202736318408,2.91995835547452,0.00369912012213766,0.570713563630283,-2.15521536554242,nefl,Pre-onset Male
-0.2860356311953,0.0415916666666667,-2.90133815322729,0.0039244925997539,0.570713563630283,-2.20785200700092,wasf1,Pre-onset Male
-0.486695114452124,0.363323142857143,-2.82207497001422,0.00504591847178127,0.570713563630283,-2.38880231788342,per3,Pre-onset Male
0.250001806023832,0.0777109649122807,2.81490499969668,0.00516390689448246,0.570713563630283,-2.42088069602516,mucl3,Pre-onset Male
-0.156927590141375,0.0328152811735942,-2.79782030338533,0.00538954032872253,0.570713563630283,-2.41133758021469,nrp1,Pre-onset Male
0.274110842230225,0.0676637005649719,2.78838555949086,0.00558537915385151,0.570713563630283,-2.45379602651959,dmd,Pre-onset Male
0.233019743058992,0.0560553672316384,2.7165651871634,0.00692255211661156,0.570713563630283,-2.59362146334698,aif1l,Pre-onset Male
-0.237673813325957,0.039943567251462,-2.71590760112387,0.00694770260118675,0.570713563630283,-2.61198691604732,unc79,Pre-onset Male
0.468474614836618,0.216461516034986,2.71359755012866,0.00699426631804532,0.570713563630283,-2.60616643914332,pyy,Pre-onset Male
