logFC,AveExpr,t,P.Value,adj.P.Val,B,protein,sex
-0.116633940137317,-0.0614563586459287,-6.06706145192463,1.79435666932749e-09,5.22337226441231e-06,11.0513983035342,itgav,Post-onset Male
-0.255326073934445,0.164904208600183,-5.93627009920246,3.91392428931554e-09,5.69671680309876e-06,10.3346768977797,ca14,Post-onset Male
-0.288057036422747,0.122253992571959,-5.70229173124923,1.52671790514272e-08,1.48142527395682e-05,9.08069466182187,enpp5,Post-onset Male
-0.329059877057608,0.0458613488372093,-5.15972836055729,2.9448812471461e-07,0.000214313732761057,6.37567100180554,cst5,Post-onset Male
0.169753685497508,-0.0763017066420664,4.84870972344784,1.42444375238113e-06,0.000829311152636293,4.94437149713859,rspo1,Post-onset Male
0.261673411526242,-0.00900968955785513,4.69104123782151,3.07300581226841e-06,0.00149091998658556,4.24676167012371,nefl,Post-onset Male
-0.139640624190007,0.0551905722326454,-4.47759389825613,8.36357205840742e-06,0.00331342258264179,3.34152307551311,dner,Post-onset Male
-0.13794577979622,-0.00352901364113328,-4.46164497290291,9.10593633154735e-06,0.00331342258264179,3.2538080558631,pepd,Post-onset Male
-0.346491570447236,0.234412871747212,-4.41991623081717,1.08760000531089e-05,0.00351778179495555,3.10471768627943,ca6,Post-onset Male
-0.166330663855791,-0.0440580719557195,-4.38032118399821,1.30019558655186e-05,0.00378486935245248,2.94445174840028,itga11,Post-onset Male
-0.131660708709629,-0.0365782039289055,-4.34967478923819,1.49411072236543e-05,0.00395396028436889,2.8189940623284,dpp4,Post-onset Male
-0.138421303965076,-0.119712620320856,-4.30073250383823,1.88166875667306e-05,0.0045646147922294,2.60477963608177,mxra8,Post-onset Male
-0.149664083361307,0.0695854280510017,-3.97788846301676,7.4096653679118e-05,0.0165919506815317,1.382241398739,ada,Post-onset Male
0.117781565493132,-0.0417981768459434,3.94527731990678,8.47829312674549e-05,0.0176287937799687,1.26183173104646,st6gal1,Post-onset Male
-0.144332815316564,-0.0890882298424468,-3.87994122039794,0.000110824327185599,0.0215073077624852,1.0246337280368,itgam,Post-onset Male
0.135181060786481,0.0748214153561518,3.84087111368885,0.000129742032156064,0.0236049409753939,0.883853895608624,nid1,Post-onset Male
-0.154601512078414,-0.0693761992619927,-3.81756412391808,0.000142425023731577,0.0243881908283895,0.800444413454218,clec4a,Post-onset Male
-0.105575280509718,0.112547998137803,-3.74007920672987,0.000193703089544283,0.0313260940924115,0.52780379474259,thop1,Post-onset Male
-0.300268938377173,-0.115661556169429,-3.69681401650486,0.000229253542033146,0.0350567476189582,0.378154040358032,omg,Post-onset Male
0.20423345244919,-0.00394104967197751,3.66873696894572,0.000255820455426613,0.0350567476189582,0.283045716854994,il1rn,Post-onset Male
0.125635283847742,0.0335277322404372,3.65861510331784,0.000265648442565862,0.0350567476189582,0.24578466318809,hgf,Post-onset Male
-0.14250046112343,0.0246089609151573,-3.65874615835358,0.00026608816720658,0.0350567476189582,0.249421205686529,arhgap1,Post-onset Male
-0.0845155554349106,-9.39409905163265e-05,-3.64962583873198,0.00027698563903677,0.0350567476189582,0.224782756516057,gsr,Post-onset Male
-0.160989375739759,0.0809261554621849,-3.62457049723596,0.000304810536197114,0.0369709779529083,0.141201711187692,got1,Post-onset Male
0.182968809224625,0.016115036900369,3.58647275469747,0.000350158344599094,0.0407724376451185,0.00285680801659716,tgfa,Post-onset Male
0.208618383160527,0.0800541512915129,3.55408498869835,0.000395670413437077,0.0442998682121281,-0.104673848154752,tnfrsf6b,Post-onset Male
0.115488975569463,-0.0350144339622641,3.54197486348066,0.000414456018953599,0.0446844989323677,-0.143171935743603,plaur,Post-onset Male
0.139842446832728,-0.00798235294117646,3.50761319433294,0.000470942397187243,0.0489611899361451,-0.257627454213961,il2rb,Post-onset Male
0.214773729217598,0.0227292016806723,3.48628676373359,0.000512200161013118,0.0509633319770165,-0.313301070394283,serpine2,Post-onset Male
-0.112476582994739,0.00626210865561695,-3.45782364771456,0.000565702747623587,0.0509633319770165,-0.41944206378736,rp2,Post-onset Male
-0.116579035006496,-0.0695013130252101,-3.45655578723804,0.000571375991690921,0.0509633319770165,-0.408683902462029,meltf,Post-onset Male
0.138092999085056,-0.0521006475485661,3.45373990115041,0.000574342720203351,0.0509633319770165,-0.431745415661772,dcbld2,Post-onset Male
-0.33621612533483,0.356646525821596,-3.4522882020664,0.00057773615776075,0.0509633319770165,-0.434732051876646,ca5a,Post-onset Male
0.0936460994042673,-0.0554231473010064,3.42540943006245,0.00063672783909815,0.0537125493608826,-0.524628352474458,rspo3,Post-onset Male
0.203224715981499,0.0363832570905763,3.41463864845222,0.000662163342178588,0.0537125493608826,-0.560272906394094,plat,Post-onset Male
-0.118957688742539,0.111902240896358,-3.41353776115205,0.000665306404355902,0.0537125493608826,-0.561502441446958,itgb6,Post-onset Male
0.18798936830301,0.600740867158672,3.40629804089198,0.00068270845975701,0.0537125493608826,-0.585298502588265,prok1,Post-onset Male
0.117200523518142,0.0633250461254613,3.37937250671837,0.000752434537159137,0.0573460994707378,-0.670649512272457,ifnlr1,Post-onset Male
0.0830368317300977,0.0860918943533698,3.37345107615747,0.000768291954434481,0.0573460994707378,-0.6908972659585,pgf,Post-onset Male
0.101246111831954,-0.0285354224698236,3.36391911001841,0.000795564703300437,0.0578972212826893,-0.717859856362317,tnfsf13,Post-onset Male
-0.177716749838754,0.0894924210526316,-3.33657566491794,0.000881143946832869,0.0610413661613639,-0.785095330473294,cda,Post-onset Male
0.346628860284903,-1.00091827458256,3.32894344440413,0.000901319411815203,0.0610413661613639,-0.828049941105129,lep,Post-onset Male
0.171094074368138,-0.0160983856088561,3.32878043007276,0.000901675968718189,0.0610413661613639,-0.828740876128231,tnfsf14,Post-onset Male
0.124158532240329,0.0453112299465241,3.27405695709556,0.00109916196059201,0.0727195560746216,-0.976282703235208,ifit3,Post-onset Male
0.281218087575674,0.0870683538315989,3.26457722790395,0.00113151912964215,0.0731967152530735,-1.02408855577344,chi3l1,Post-onset Male
0.0679929640447858,0.00146769870609983,3.25128107818664,0.00118438691552435,0.0740878525377546,-1.06675073173467,f9,Post-onset Male
-0.148448990464536,-0.00736830065359478,-3.24737812489317,0.00120096209341184,0.0740878525377546,-1.07736781902346,megf10,Post-onset Male
-0.101507008038706,-0.00377402005469462,-3.24225962459947,0.00122164786046452,0.0740878525377546,-1.09704840082817,fap,Post-onset Male
-0.139627797310741,-0.0251215443279314,-3.20715932416117,0.00138117094794232,0.0820528291726548,-1.19543298650975,hpgds,Post-onset Male
-0.193266165917966,-0.0268014187866928,-3.19234336484952,0.00145441345544337,0.0846759513759127,-1.23393643390646,amy2b,Post-onset Male
0.084606365690197,0.0472849789915966,3.16740233235257,0.00158717844478018,0.0905936559363747,-1.29477916232151,adgrf5,Post-onset Male
0.136896968970356,0.100456419868791,3.15863079685778,0.00162975538718836,0.0912349602327943,-1.34399096334188,gdnf,Post-onset Male
0.0837805768457353,0.0301001376146789,3.14028338665358,0.00173336261784894,0.0952041241614768,-1.39857984309585,rnaset2,Post-onset Male
-0.243017876323736,-0.169215913284133,-3.12681643202896,0.00181426577198607,0.096380121109748,-1.43892957438978,fcrl6,Post-onset Male
-0.112892473478682,-0.0480561517113784,-3.12573995560802,0.0018209916389681,0.096380121109748,-1.4398895782472,itgb5,Post-onset Male
-0.157947140496641,-0.0398183438155135,-3.09643552421692,0.00201598530426738,0.100207969358916,-1.50145167772607,klrk1,Post-onset Male
0.138291751696528,-0.0260331788693234,3.08627117505831,0.00207862245876755,0.100207969358916,-1.55346965376875,mdk,Post-onset Male
-0.125875373728193,-0.0622764458464774,-3.08382539016836,0.00210271339163127,0.100207969358916,-1.53526062340256,hrg,Post-onset Male
0.11158788359132,-0.0352193339500463,3.07796880432724,0.00213678926015996,0.100207969358916,-1.57849867887833,furin,Post-onset Male
-0.110656927736681,-0.133742114858706,-3.07685661756986,0.00214393087957518,0.100207969358916,-1.58640197719313,crtac1,Post-onset Male
0.0840755328819083,0.0325690346083789,3.07278618709038,0.0021730843763139,0.100207969358916,-1.59792459306852,mertk,Post-onset Male
-0.109668538434262,0.0622616942909761,-3.07256386736274,0.00217527406336113,0.100207969358916,-1.5954036136454,ubac1,Post-onset Male
0.209257343770867,0.0114358516483516,3.0704681642963,0.00219016842079109,0.100207969358916,-1.60296982785508,hbegf,Post-onset Male
-0.126411260629028,0.137939415041783,-3.06879242637338,0.00220312952214725,0.100207969358916,-1.60516587524607,smoc2,Post-onset Male
0.0731847672024311,-0.00852629899726527,3.05024253272834,0.00234157884976415,0.104866708179437,-1.66202547440037,sema4d,Post-onset Male
0.339416336625313,-0.0841351763584366,3.03068746967732,0.00249995012522948,0.108630399049326,-1.70948603327011,lhb,Post-onset Male
0.127742743096016,0.0502771210676835,3.03065055192258,0.00250025308701643,0.108630399049326,-1.70959058738101,egfl7,Post-onset Male
-0.0933322747189647,-0.142370315398887,-3.02383538453398,0.00255511010987045,0.10938125779166,-1.73445937317766,adgrg2,Post-onset Male
0.0999632182768615,-0.105877939835916,3.01646772868756,0.00261643757473739,0.109631497702389,-1.75879821142681,ltbp2,Post-onset Male
-0.19060069697933,-0.019023027027027,-3.01544948434478,0.00263627785612067,0.109631497702389,-1.72533049833663,grp,Post-onset Male
0.10016493374324,0.000602048417132178,3.007445207828,0.00269600288423717,0.109805369175251,-1.7794385544256,f2r,Post-onset Male
-0.140293535757656,0.013736090573013,-3.00513833478388,0.00271590057733358,0.109805369175251,-1.78733235313499,bag3,Post-onset Male
0.166353892302701,-0.187348591549296,2.99958285812154,0.00276649898756996,0.110318884285153,-1.79842229825774,ptn,Post-onset Male
-0.160446979694839,0.0829121072088724,-2.98687215344411,0.00288211595659355,0.112076875479943,-1.83857572086402,bmp4,Post-onset Male
0.236228390635171,-0.0596035283194058,2.9856817660023,0.00289356287742463,0.112076875479943,-1.84062326862435,pdgfb,Post-onset Male
-0.109336733683823,0.0278257387988561,-2.98241609762181,0.00292608812658045,0.112076875479943,-1.84512634910997,plxdc1,Post-onset Male
0.15005397035094,-0.0805288043478261,2.97274401389989,0.00302863929427643,0.114454379120563,-1.84375660531813,c1ql2,Post-onset Male
-0.0848927212356906,0.0698328167730173,-2.96201832570767,0.00312229771793537,0.114454379120563,-1.91054570552386,rgmb,Post-onset Male
-0.15276594134731,0.0406243970315399,-2.95491520213512,0.00319568739291019,0.114454379120563,-1.92737206286851,chrdl2,Post-onset Male
0.149546231905181,-0.0154077922077922,2.95065659147944,0.00323971187980132,0.114454379120563,-1.9391488369621,sdc4,Post-onset Male
-0.121478657861878,0.019692652495379,-2.94917448811805,0.00325490606054512,0.114454379120563,-1.94318638513707,dars1,Post-onset Male
-0.070736039427628,-0.0228987569060773,-2.94903824141609,0.00325607478898787,0.114454379120563,-1.94362346869558,galnt7,Post-onset Male
0.17964792341526,0.226514232209738,2.94845062613312,0.00326338490793773,0.114454379120563,-1.94133778289008,pi3,Post-onset Male
-0.117685667321167,-0.0959832103321032,-2.93877452302557,0.00336509521117813,0.116616573330233,-1.97227248098854,bcan,Post-onset Male
0.0940967542035669,0.00313158627087198,2.92809290689377,0.0034823398917109,0.119259899114946,-2.0012678898675,pdgfra,Post-onset Male
0.15499387229519,-0.103844555873925,2.90976777596289,0.00369367423758861,0.125026577972331,-2.04513178089475,gfap,Post-onset Male
-0.0835561712869945,-0.0125850787766451,-2.87923710510564,0.00406529233208606,0.134642654281405,-2.13242466144912,tnxb,Post-onset Male
-0.0795491349476778,-0.0170587294332724,-2.87876309189571,0.00407026917786453,0.134642654281405,-2.13792811942886,cd34,Post-onset Male
0.0662801364423852,0.0209952247191011,2.87346088355014,0.00414061896187556,0.135430806719323,-2.14786895973449,timp1,Post-onset Male
0.0873262647402319,0.000498093422306964,2.86243787947688,0.0042877592248503,0.138685190039325,-2.17298937214459,pdgfc,Post-onset Male
-0.156003369821504,0.362290221402213,-2.84541887229291,0.00451900652723383,0.144558549459095,-2.22595916115511,nppc,Post-onset Male
-0.135012677280909,0.0887711578947368,-2.84178239328575,0.00458245714499785,0.144994921185747,-2.2031665807635,reep4,Post-onset Male
-0.0967900049471183,-0.102871706864564,-2.83190643384947,0.00471344062844214,0.146675990442613,-2.26235789409107,itgb2,Post-onset Male
0.102325675191904,0.121329776328052,2.82937595624167,0.00475099928476616,0.146675990442613,-2.26384605421513,epha1,Post-onset Male
0.0880953056267336,-0.0180293327154773,2.82486335273732,0.00481742321268561,0.146675990442613,-2.27768689603051,pamr1,Post-onset Male
0.0790929316587215,0.00263195732838585,2.82044010997813,0.00488391965216101,0.146675990442613,-2.29118329167146,ppp1r2,Post-onset Male
0.112840623238255,0.105491323210412,2.82119599284835,0.00488752012124131,0.146675990442613,-2.24904843592938,scpep1,Post-onset Male
0.107173963405626,0.0268316081330869,2.81368934374997,0.00498655010433855,0.148120891364587,-2.30914879474851,matn3,Post-onset Male
0.15547144031362,-0.0475564721969007,2.80703050023208,0.00508878997169405,0.149630985935367,-2.32975807846825,dkk1,Post-onset Male
0.0908730132825273,-0.0440017391304348,2.79994546403309,0.00521843065252399,0.151908516294973,-2.30562374500552,vegfb,Post-onset Male
0.128810117186425,0.0511718954248366,2.79602257026393,0.00528188180559909,0.152233246892069,-2.31480623615813,elob,Post-onset Male
0.117734124398183,0.0213354891304348,2.79108049905088,0.00536226749300499,0.153034908550368,-2.32858677774143,ssbp1,Post-onset Male
0.0843912152269233,-0.0160234782608695,2.78733847762482,0.00542405200944216,0.153295295140642,-2.33825832013681,unc5d,Post-onset Male
-0.107151173955228,0.0965396791443849,-2.78184146994442,0.00551418968930983,0.153360833507019,-2.35732365479278,ache,Post-onset Male
0.0790928713806378,0.00908695652173913,2.77985825725661,0.00553282040416845,0.153360833507019,-2.39605880352092,pla2g15,Post-onset Male
0.137272089334537,0.0147723622782446,2.77687264364558,0.00558442059489662,0.153360833507019,-2.40502258687948,lto1,Post-onset Male
-0.205100947190235,-0.0129489005235603,-2.76601282842535,0.00578440328166634,0.156272464887901,-2.40016252079872,arf6,Post-onset Male
0.143367320260486,0.0568745283018868,2.7652581837922,0.00579781044585822,0.156272464887901,-2.40217993346586,prnd,Post-onset Male
0.100339590147937,0.0247537795992714,2.75794932724736,0.00591326758394515,0.157549285699822,-2.45856824108242,il18r1,Post-onset Male
-0.164136399666183,-0.0491541944709247,-2.75597307612692,0.00595342543008602,0.157549285699822,-2.45255505330294,amy2a,Post-onset Male
-0.101607894615568,0.0173614224137931,-2.75210843722584,0.00603705940771174,0.158323242665305,-2.43282981898342,clns1a,Post-onset Male
0.211337181896167,0.129980711206897,2.74410436834039,0.00618500957360167,0.160755025613879,-2.44723746361016,crym,Post-onset Male
-0.0965910972596857,-0.0342861829944548,-2.73860696001842,0.00627154384456343,0.161561629482515,-2.50436855635202,ptprn2,Post-onset Male
-0.0757677120900209,-0.0592711578947368,-2.721226844337,0.00662324124687969,0.169125046225147,-2.51465259622988,lrtm2,Post-onset Male
0.106677753248463,0.161017173913044,2.70759859526861,0.00690320567340969,0.16946280354517,-2.541321678514,hs6st2,Post-onset Male
0.102874438540274,0.05098145087236,2.70601028546037,0.00691632175494585,0.16946280354517,-2.58953039044868,acp5,Post-onset Male
-0.116092954851719,0.0466110993657505,-2.70624066945539,0.00692777631991306,0.16946280354517,-2.55250299878427,lamtor5,Post-onset Male
0.0853566966050279,-0.102509252506837,2.70334423692303,0.00697088177652109,0.16946280354517,-2.59782266114732,folr2,Post-onset Male
-0.0797028054118677,0.0622630555555555,-2.70342223056891,0.00697094014613118,0.16946280354517,-2.59333697632247,setmar,Post-onset Male
0.164826691782259,0.156204385128694,2.70286564877882,0.00698575624370333,0.16946280354517,-2.58852550870529,ltbp3,Post-onset Male
0.0894207628651776,0.0095526710402999,2.68180045752927,0.00743602357575073,0.178894749000086,-2.64788037412138,metap1,Post-onset Male
0.172276654570153,0.00336530612244898,2.67039512861308,0.00769046900671789,0.183499633430785,-2.67511449685509,app,Post-onset Male
0.101408797237058,0.0166553990610329,2.66632976561905,0.00778488028429467,0.184242166728307,-2.68209000577236,mtpn,Post-onset Male
-0.069823893561223,-0.0165990585774059,-2.66391517307934,0.00785400940190287,0.18437920458822,-2.65769224034868,tf,Post-onset Male
0.201839435811297,-0.238208184679958,2.660969090316,0.00792295518007845,0.184509780233667,-2.66514177443385,fgl1,Post-onset Male
-0.102968486618498,0.106516911764706,-2.64693262614138,0.00825704113062993,0.190763862946537,-2.69710660125374,ddt,Post-onset Male
0.251996846240165,-0.333825974025974,2.64083852448465,0.00838995701226352,0.192308384745662,-2.75105030946338,ghrl,Post-onset Male
0.168753703559543,-0.0300377848678213,2.62945249101809,0.00867215155484182,0.197223696688629,-2.78376544794874,serpine1,Post-onset Male
-0.115259835036688,0.0641697145877378,-2.62063406236566,0.00891774107579077,0.200635731514741,-2.76035765684916,slurp1,Post-onset Male
0.114022611998572,-0.0609422294172062,2.61832746364225,0.0089600292328809,0.200635731514741,-2.80481279834902,c4bpb,Post-onset Male
-0.0861965870470626,0.0222681901279707,-2.60883511821138,0.00920927641298499,0.202764340225366,-2.83395126105622,dnaja2,Post-onset Male
-0.0797942885737501,0.0142535294117647,-2.6086297077364,0.00923601953108972,0.202764340225366,-2.79085051572139,gnpda2,Post-onset Male
-0.0942655826709576,-0.0129558661778185,-2.60558641386616,0.00929686060689331,0.202764340225366,-2.83991061063266,scg2,Post-onset Male
0.0915815000478992,-0.0276946146703806,2.60417519170371,0.00933662591900808,0.202764340225366,-2.84120305369381,sort1,Post-onset Male
0.1507948808984,-0.101951020408163,2.60171323670546,0.00940336170746286,0.202764340225366,-2.84727340738957,icam5,Post-onset Male
-0.0962954873674927,-0.0724271857923497,-2.59695535056987,0.00953142500212905,0.204014545449983,-2.86327115756517,gzma,Post-onset Male
-0.0797893065900397,0.0989551214361138,-2.59345602016855,0.00964867381224726,0.205016711441254,-2.82591301021959,taldo1,Post-onset Male
-0.150654046595946,0.153079584120983,-2.58944432416993,0.00974540724864281,0.205571597831878,-2.87141740357081,ca1,Post-onset Male
0.119780046195925,-0.0425542790697675,2.58339893625031,0.00991462299905421,0.207250018974086,-2.89126685012401,ada2,Post-onset Male
-0.153231985381928,0.0110470588235294,-2.58125074870849,0.00999599816386623,0.207250018974086,-2.85686678408383,ctse,Post-onset Male
-0.102592994208575,0.0362549163179916,-2.57965657830113,0.0100385615511323,0.207250018974086,-2.86308463217286,apoa4,Post-onset Male
0.346759265435423,0.0159305580969807,2.56631186727131,0.0104112403903798,0.213282553498047,-2.93532984763271,fgf21,Post-onset Male
