cell_type,n_universe,n_markers,n_DEPs,n_DEP_markers,odds_ratio,p_overrep,p_twosided,overlap_genes,p_adj,direction,contrast,cluster
Smooth muscle,2915,724,55,15,1.13762176721182,0.386695571144043,0.639346357342248,"ARAF,CASQ2,COQ7,GAMT,HMOX2,MRPL28,PDXDC1,SART1,SDHB,SNU13,SOD3,TSPAN8,TXNDC15,VAMP5,VEGFB",0.822016745154319,up,C0_vs_None,C0
Pericytes,2915,321,55,6,0.989313443663714,0.574766034806112,1,"CD83,FUOM,LRCH4,SOD3,TSPAN8,VAMP5",1,up,C0_vs_None,C0
B-cells,2915,1205,55,22,0.945064857090934,0.630929127592804,0.890705225208399,"ARAF,ASS1,BLOC1S2,CD83,COQ7,EDEM2,FUOM,GAMT,HMOX2,LCP1,LRCH4,MRPL28,PDXDC1,RBM19,SART1,SDHB,SEPTIN7,SNU13,TCL1A,TXNDC15,VAMP5,VEGFB",0.943099650220658,up,C0_vs_None,C0
dendritic cells,2915,1115,55,20,0.921084588936348,0.663293325807632,0.8887702355907,"ALMS1,ARAF,BLOC1S2,CD83,COQ7,EDEM2,FUOM,GAMT,HMOX2,LCP1,MRPL28,PDXDC1,SART1,SDHB,SEPTIN7,SNU13,TCL1A,TXNDC15,VAMP5,VEGFB",0.943099650220658,up,C0_vs_None,C0
Plasma cells,2915,1224,55,22,0.919586901818717,0.667647285544213,0.784782799465135,"ALMS1,ARAF,ASS1,BLOC1S2,CD83,COQ7,EDEM2,FUOM,GAMT,HMOX2,LCP1,MRPL28,PDXDC1,PGLYRP2,RBM19,SART1,SDHB,SEPTIN7,SNU13,TXNDC15,VAMP5,VEGFB",0.941739359358161,up,C0_vs_None,C0
NK-cells,2915,1142,55,19,0.816409848505192,0.80141581924547,0.577339236057809,"ARAF,BLOC1S2,CD83,COQ7,EDEM2,FUOM,HMOX2,LCP1,MRPL28,PDXDC1,RBM19,SART1,SDHB,SEPTIN7,SNU13,TXK,TXNDC15,VAMP5,VEGFB",0.799392788387736,up,C0_vs_None,C0
T-cells,2915,1271,55,21,0.795591362472788,0.83020930038334,0.492918290854877,"ARAF,BLOC1S2,CD83,COQ7,EDEM2,FUOM,GAMT,HMOX2,LCP1,LRCH4,MRPL28,PDXDC1,RBM19,SART1,SDHB,SEPTIN7,SNU13,TXK,TXNDC15,VAMP5,VEGFB",0.739377436282316,up,C0_vs_None,C0
granulocytes,2915,1277,55,21,0.788842308341853,0.837928373735276,0.414206646680334,"ARAF,BLOC1S2,CD83,COQ7,CXADR,EDEM2,FUOM,GAMT,HMOX2,LCP1,MRPL28,PDXDC1,RBKS,RBM19,SART1,SDHB,SEPTIN7,SNU13,TXNDC15,VAMP5,VEGFB",0.739377436282316,up,C0_vs_None,C0
Oligodendrocytes,2915,1062,55,17,0.777069688786757,0.84155925641808,0.47966829417178,"ALMS1,BLOC1S2,CXADR,ERBB4,GAMT,HMOX2,NMNAT1,PDXDC1,RBM19,SDHB,SEPTIN7,SNU13,TAGLN3,TSPAN8,TXNDC15,VEGFB,VSNL1",0.739377436282316,up,C0_vs_None,C0
monocytes,2915,1227,55,19,0.721841278828623,0.901188169573641,0.272676460949154,"ARAF,BLOC1S2,CD83,COQ7,EDEM2,FUOM,HMOX2,LCP1,LRCH4,MRPL28,PDXDC1,RBKS,RBM19,SART1,SDHB,SEPTIN7,SNU13,TXNDC15,VAMP5",0.545352921898308,up,C0_vs_None,C0
Macrophages,2915,1416,55,22,0.701186921298834,0.922827153408273,0.221434957865676,"ARAF,BLOC1S2,CD83,COQ7,EDEM2,FOLR3,FUOM,GAMT,HMOX2,LCP1,LRCH4,MRPL28,PDXDC1,RBKS,RBM19,SART1,SDHB,SEPTIN7,SNU13,TXNDC15,VAMP5,VEGFB",0.545352921898308,up,C0_vs_None,C0
Inhibitory neurons,2915,1145,55,17,0.687001513074513,0.924402180015806,0.212718101808972,"ALMS1,BLOC1S2,CXADR,ERBB4,HMOX2,IGLON5,NMNAT1,PDXDC1,RBKS,RBM19,SDHB,SEPTIN7,SNU13,TAGLN3,TXNDC15,VEGFB,VSNL1",0.545352921898308,up,C0_vs_None,C0
Excitatory neurons,2915,1114,55,16,0.658442652995175,0.941242175458197,0.206868797167131,"ALMS1,BLOC1S2,CXADR,ERBB4,HMOX2,NMNAT1,PDXDC1,RBKS,RBM19,SDHB,SEPTIN7,SNU13,TAGLN3,TXK,TXNDC15,VSNL1",0.545352921898308,up,C0_vs_None,C0
Microglial cells,2915,1150,55,16,0.624524720073637,0.960091070720453,0.126216550094618,"ALMS1,BLOC1S2,CD83,CXADR,ERBB4,LAMA1,LCP1,PDXDC1,RBM19,SDHB,SEPTIN7,SNU13,TAGLN3,TXNDC15,VEGFB,VSNL1",0.545352921898308,up,C0_vs_None,C0
Fibroblasts,2915,173,55,1,0.289480336402423,0.966546002337856,0.256386723073725,SOD3,0.545352921898308,up,C0_vs_None,C0
Oligodendrocyte precursor cells,2915,1015,55,13,0.574046715489265,0.974357886826176,0.0868756722821432,"ALMS1,BLOC1S2,CXADR,ERBB4,PDXDC1,RBKS,RBM19,SDHB,SEPTIN7,TAGLN3,TXNDC15,VEGFB,VSNL1",0.521254033692859,up,C0_vs_None,C0
Endothelial,2915,1019,55,13,0.570534354928269,0.975580719798159,0.0865512595152381,"ASS1,BLOC1S2,CD83,COQ7,FUOM,MRPL28,PDXDC1,SART1,SDHB,SEPTIN7,SNU13,TXNDC15,VAMP5",0.521254033692859,up,C0_vs_None,C0
Astrocytes,2915,1116,55,13,0.493157940378884,0.993261450623088,0.0248741920952375,"ALMS1,ERBB4,LAMA1,PDXDC1,RBKS,RBM19,SDHB,SEPTIN7,SNU13,TAGLN3,TXNDC15,VEGFB,VSNL1",0.447735457714275,up,C0_vs_None,C0
