cell_type,NGenes,direction,pval,padj,contrast,cluster
Macrophages,247,Up,0.00122379980840843,0.0220283965513517,C1_vs_None,C1
Fibroblasts,79,Up,0.00270150264515989,0.024313523806439,C1_vs_None,C1
Plasma cells,118,Up,0.0068631681609549,0.0327800592361665,C1_vs_None,C1
Pericytes,91,Up,0.00728445760803701,0.0327800592361665,C1_vs_None,C1
monocytes,193,Up,0.0286222532946456,0.103040111860724,C1_vs_None,C1
Astrocytes,195,Up,0.0630937998732577,0.189281399619773,C1_vs_None,C1
Oligodendrocyte precursor cells,223,Up,0.0972538691619467,0.250081377845006,C1_vs_None,C1
Smooth muscle,138,Up,0.128048638410674,0.288109436424016,C1_vs_None,C1
dendritic cells,128,Up,0.145349461462081,0.290698922924162,C1_vs_None,C1
Microglial cells,197,Up,0.180091408991601,0.311957898626472,C1_vs_None,C1
Oligodendrocytes,168,Up,0.190640938049511,0.311957898626472,C1_vs_None,C1
NK-cells,145,Up,0.309490677801762,0.424964181552871,C1_vs_None,C1
Endothelial,260,Up,0.342718220453898,0.424964181552871,C1_vs_None,C1
Excitatory neurons,251,Up,0.360730919743595,0.424964181552871,C1_vs_None,C1
granulocytes,121,Up,0.371036098041399,0.424964181552871,C1_vs_None,C1
B-cells,122,Up,0.377745939158108,0.424964181552871,C1_vs_None,C1
Inhibitory neurons,257,Up,0.466482693987858,0.493922852457732,C1_vs_None,C1
T-cells,156,Up,0.513684456835941,0.513684456835941,C1_vs_None,C1
