cell_type,size,NES,ES,pval,padj,leading_edge,log2err,contrast,cluster
Astrocytes,195,1.41514815891246,0.240038260899474,0.00221281077025602,0.00995764846615207,"NTRK2,PAMR1,STX1B,LRIG1,HGF,FUT8,PLIN1,SERPINI2,KLKB1,CACNB1,PON1,SPON1,WFIKKN1,NRCAM,LRP2BP,THBS4,COL28A1,ENPP6,SORBS1,ROBO1,CRYBB2,PNMA2,GASK1A,ADAMTSL2,IGDCC4,ITIH4,AMOT,CNTN1,MDGA1,ANGPT1,LEPR,LCAT,ERC2,GFRA1,GAS2,SERPINE2,PDGFRB,CADPS,PTPRM,ADCYAP1R1,PXDNL,ZHX2,IL17D,BMPER,LAMA1,TMEM132A,CDH2",0.431707695803346,C1_vs_None,C1
B-cells,122,0.888736916279952,0.164144480502724,0.761904761904762,0.914285714285714,"A1BG,LCP1,CCL17,ITGB2,CD72,LY9,COCH,SOST,SIGLEC10,DPEP2,CD70,SLAMF1,BLNK,IL5RA,CR2,LILRB1,ORM1,FCRL5,TNFRSF17,IGLC2",0.155241966228839,C1_vs_None,C1
Endothelial,260,-0.735866242290172,-0.157678187734446,0.955578512396694,0.955578512396694,"APOF,SCT,BHMT2,EPPK1,NPR1,PROCR,ISM1,ITGB6,CEACAM1,LAYN,PLSCR3,PON3,IL32,ADAMTS8,ICA1,MATN3,GMPR,PODXL,CLIC5,FAM3B,EPHA2,SYTL4,MIA,ACE,S100A3,LGALS4,TPK1,CLEC14A,GIPC3,CHRM1,RLN1,SNED1,GGACT,TACSTD2,CGREF1,PGR,GBP4,IL4R",0.0130773356900516,C1_vs_None,C1
Excitatory neurons,251,1.08482653383169,0.178181628915633,0.237236298508299,0.533781671643673,"NTRK2,PAMR1,STX1B,FUT8,EXTL1,APLP1,SERPINI2,KLKB1,CACNB1,CHGA,NRCAM,LRP2BP,SEPTIN3,COL28A1,GHR,SORBS1,BDNF,RBFOX3,ROBO1,CRYBB2,PNMA2,GASK1A,ADAMTSL2,ITIH4,CNTN1,ELAVL4,ERC2,PDIA2,FGF12,GAS2,CLSTN2,IL1RL2,MAMDC2,FAP,ADAMTS16,CRTAC1,SLITRK1,CADPS,PDZD2,ADCYAP1R1,PXDNL,LYPD8,GRIN2B,HAVCR1,CIT,IGSF21,CLEC2L,TYRO3,IL17D,BMPER",0.249246554383295,C1_vs_None,C1
Fibroblasts,79,1.58927518163389,0.316959823273332,0.00335773710204636,0.0100732113061391,"CCL21,ITGBL1,PAMR1,SERPIND1,C1QTNF5,ENPP6,DCDC2C,FABP4,CPXM1,ANGPT1,LEFTY2,GFRA1,MFAP4,FAP,C7,CILP,SCARA5,ADH1B,CD177,LAMA1,C1S,SERPINA3,ENTPD2",0.431707695803346,C1_vs_None,C1
Inhibitory neurons,257,-0.816110029270082,-0.175197073600472,0.871369294605809,0.955578512396694,"SUSD4,DNM1,GLP1R,SCG2,CDH22,ROR1,TUBB3,DDX25,ISM1,CALB1,SUSD5,GPR158,MAP1LC3B2,CACNA1C,KIT,CSPG5,SCN2A,CNTN5,NPTX1,PDE5A,DPP10,PTPRN2,DNM3,SNAP25,OSTN,PRKG1,ADAM22,SEZ6,LRRC37A2,CHRM1,AMIGO1,MEPE,SNED1,NLGN1,SH3GL3,SV2A,CGREF1,THTPA,L1CAM,SCN2B,JAM2,ROBO2,KAZN,NPY,DSCAM,ADAM23,RASGRF1,MTSS2,DNAJC6,RAB11FIP3,LRFN2,ENO2,CLIP2,NEFL",0.019974159565129,C1_vs_None,C1
Macrophages,247,1.82127015082529,0.300177316422759,6.61171558091013e-08,1.19010880456382e-06,"KRT6C,LCP1,LILRA5,FBP1,IL18R1,HGF,CST7,FCAR,PRTN3,CCL17,FCN1,MMP8,ITGAL,CSF1R,ITGB2,OSM,LY96,CD163,CD72,SIGLEC10,MRC1,CCL7,DPEP2,LILRA2,FABP4,PDGFB,CSF3R,VNN2,CSF2RB,CLEC5A,VMO1,FCGR2A,CCL4,MMP9,VSTM1,CXCL5,ADGRE1,LILRB1,EREG,IL1RL2,ITGAX,SPRR3,TNFSF14,CCL3,LILRB5,IGLC2,ICAM4,IL1RN,CD300E,ADGRE2,MARCO,OLR1,ITGAM,IGSF21,IL1R2,GIMAP7,GPNMB,MMP12,LILRA6,HPGDS,SIGLEC8,PPBP,CLEC4A,CD5L,CCL22,SLAMF8,FCGR3B,MSR1,ITGA5,PTPRC,COLEC12,IL1B,CD209",0.704975715167238,C1_vs_None,C1
Microglial cells,197,-0.895694035949574,-0.197027642457736,0.718249733191035,0.914285714285714,"HSD11B1,HCG22,HSD17B3,ARHGEF10,CDH22,ROR1,RYR1,ISM1,PAG1,IRAG2,MATN3,CACNA1C,PODXL,FGF5,SCN2A,CNTN5,THSD1,PLCB2,PDE5A,DPP10,FNDC1,DNM3,SNAP25,PRKG1,GIPC3,LRRC37A2,PIK3AP1,CD33,FGF20,SNED1,NLGN1,FYB1",0.0318534652552707,C1_vs_None,C1
NK-cells,145,0.963785016082307,0.174147180135322,0.571428571428571,0.857142857142857,"CD3G,LCP1,IL18R1,CST7,KLRD1,ITGAL,ITGB2,CCL5,TNFSF11,CD72,LY9,DPEP2,IFNG,VNN2,CCL4,LILRB1,ITGAX,TNFSF14,LAG3,CCL3,KIR3DL2,ITGAM,CD226,B3GNT7,GIMAP7,KLRC1,PPBP,KIR3DL1,FCGR3B,GZMA,PF4,PTPRC,KLRB1",0.204294756516886,C1_vs_None,C1
Oligodendrocyte precursor cells,223,1.2506153025839,0.207522370858972,0.0381247818619796,0.0980351533593762,"PZP,NTRK2,STX1B,FUT8,EXTL1,SPON1,MEGF11,NRCAM,LRP2BP,THBS2,THBS4,CPB2,SMOC1,ST6GAL1,COL28A1,GHR,ANGPTL2,ENPP6,SORBS1,ROBO1,PNMA2,GASK1A,IGDCC4,CNTN1,COL4A4,ELAVL4,ERC2,GFRA1,FGF12,CLSTN2,SERPINE2,ADGRG2,CRTAC1,SLITRK1,CADPS,PTPRM,PDZD2,ADCYAP1R1,PXDNL,GRIN2B,ZHX2,CIT,IGSF21,CLEC2L,TYRO3,IL17D,BMPER,CDH2",0.321775918075361,C1_vs_None,C1
Oligodendrocytes,168,1.08943359228062,0.188021778454643,0.281363092835287,0.562726185670574,"PZP,A1BG,LRIG1,FUT8,APLP1,LRP2BP,MYH7B,ENPP2,THBS2,THBS4,CPB2,SMOC1,ANGPTL2,ENPP6,ROBO1,GASK1A,ADAMTSL2,ERC2,PDIA2,GAS2,CLSTN2,ADGRG2,ADAMTS16,SLITRK1,PDZD2,PXDNL,TF,ZHX2,HAVCR1,CD226,TYRO3,IL17D",0.203508959461977,C1_vs_None,C1
Pericytes,91,1.58900885444132,0.304573838525406,0.00301597657694557,0.0100732113061391,"PAMR1,UPB1,SERPIND1,PLIN1,KLKB1,DKKL1,GHR,DCDC2C,ADGRF5,FABP4,C1QTNF1,CXCL5,CR2,ABO,ADGRD1,ASAH2,C7,ADGRG2,ADAMTS16,PXDNL,ADH1B,PRELP,TSPAN8,TIMP4,ECM1,NID2,F10,CLEC4M,SFRP4,HBZ,SSC5D,CSPG4,DKK1,ANPEP",0.431707695803346,C1_vs_None,C1
