cell_type,n_universe,n_markers,n_DEPs,n_DEP_markers,odds_ratio,p_overrep,p_twosided,overlap_genes,p_adj,direction,contrast,cluster
Oligodendrocyte precursor cells,2915,1015,98,45,1.6164867508306,0.0136869051168938,0.0231412414455751,"ADAM9,ARFIP1,ARHGEF10,ATG16L1,ATP1B2,CDH22,COPB2,COX6B1,CPQ,CSNK2A1,CTNNA1,CTSB,CX3CL1,DDX25,DENND2B,DNM1,EIF5,EPB41L5,GLB1,GLO1,GOLGA3,HNRNPK,INPP1,ITGB1BP1,MAP1LC3A,MICALL2,MMUT,MORC3,NECAP2,NUMB,PIBF1,PMS1,RAB2B,RAD23B,RANBP2,RYR1,SAT2,SCG2,SMPDL3A,STAT2,SUSD4,TERF1,TNPO1,TUBB3,UHRF2",0.254280640397558,down,C1_vs_None,C1
Astrocytes,2915,1116,98,47,1.50665169452481,0.0298509417483492,0.056506808977235,"ADAM9,ARFIP1,ARHGEF10,ATP1B2,CASP7,COPB2,COX6B1,CPQ,CRELD2,CSNK2A1,CTNNA1,CTSB,DDA1,DDX25,DENND2B,DNM1,EFNB2,EIF5,EPB41L5,GLB1,GLO1,GOLGA3,HNRNPK,HSD17B3,INPP1,ITGB1BP1,MAP1LC3A,MAPKAPK2,MICALL2,MMUT,MORC3,NUMB,PIBF1,PMS1,RAB2B,RAD23B,RANBP2,ROR1,RYR1,SAT2,SCG2,STAT2,TERF1,TNPO1,TUBB3,UHRF2,UNG",0.254280640397558,down,C1_vs_None,C1
Oligodendrocytes,2915,1062,98,45,1.50246928804743,0.0314393013281905,0.0543165380120097,"ADAM9,ARFIP1,ARHGEF10,ATG16L1,ATOX1,COPB2,COX6B1,CPQ,CRELD2,CSNK2A1,CTNNA1,CTSB,DDA1,DNM1,EFNB2,EIF5,EPB41L5,GLB1,GLO1,GOLGA3,HNRNPK,HSD11B1,HSD17B3,INPP1,ITGB1BP1,MAP1LC3A,MAPKAPK2,MMUT,MORC3,NECAP2,NUMB,PIBF1,PMS1,PPIF,RAB2B,RAD23B,RANBP2,ROR1,SAT2,SMPDL3A,STAT2,TERF1,TNPO1,UHRF2,ZBTB17",0.254280640397558,down,C1_vs_None,C1
Excitatory neurons,2915,1114,98,45,1.38815659190862,0.0690678485998965,0.113718817055206,"ADAM9,ARFIP1,ARHGEF10,ATG16L1,CDH22,COPB2,COX6B1,CPQ,CSNK2A1,CTNNA1,CTSB,CX3CL1,DDA1,DDX25,DENND2B,DNM1,EFNB2,EIF5,EPB41L5,GLB1,GLO1,GOLGA3,HNRNPK,INPP1,ITGB1BP1,MAP1LC3A,MICALL2,MMUT,MORC3,NUMB,PIBF1,PMS1,RAB2B,RAD23B,RANBP2,ROR1,RTKN2,SAT2,SCG2,STAT2,SUSD4,TERF1,TNPO1,TUBB3,UHRF2",0.347615516285047,down,C1_vs_None,C1
Inhibitory neurons,2915,1145,98,46,1.38267637962203,0.0711213618944793,0.115871838761682,"ADAM9,ARFIP1,ARHGEF10,ATG16L1,ATP1B2,COPB2,COX6B1,CPQ,CRELD2,CSNK2A1,CTNNA1,CTSB,CX3CL1,DDX25,DENND2B,DNM1,EFNB2,EIF5,EPB41L5,GLB1,GLO1,GOLGA3,HNRNPK,INPP1,ITGB1BP1,MAP1LC3A,MAPKAPK2,MMUT,MORC3,NUMB,PIBF1,PMS1,RAB2B,RAD23B,RANBP2,ROR1,RYR1,SAT2,SCG2,SMPDL3A,STAT2,SUSD4,TERF1,TNPO1,TUBB3,UHRF2",0.347615516285047,down,C1_vs_None,C1
granulocytes,2915,1277,98,49,1.2938478040863,0.124608385283879,0.215371603818388,"ADAM9,APRT,ARFIP1,ATOX1,CASP7,CD58,COPB2,COX6B1,CPQ,CRELD2,CSNK2A1,CTNNA1,CTSB,DDA1,EFNB2,EIF5,GLB1,GLO1,GOLGA3,HNRNPK,INPP1,ITGB1BP1,MAP1LC3A,MAPKAPK2,MMP7,MMUT,MORC3,MRPL58,NECAP2,NUMB,PIBF1,PPIF,PROCR,RAB2B,RAD23B,RANBP2,RGS10,RPS10,RYR1,SAT2,SCG2,SERPINB5,SMPDL3A,SPINK5,STAT2,TERF1,TNPO1,UHRF2,ZBTB17",0.504283356543492,down,C1_vs_None,C1
dendritic cells,2915,1115,98,43,1.27251536163216,0.14468219014673,0.246539467800304,"ADAM9,APRT,ATOX1,CD3D,COPB2,COX6B1,CPQ,CRELD2,CSNK2A1,CTNNA1,CTSB,DDA1,DSG2,EIF5,GLB1,GLO1,GOLGA3,HNRNPK,ICOSLG,IL13RA1,ITGB1BP1,LILRA4,MAP1LC3A,MAPKAPK2,MORC3,MRPL58,NECAP2,NUMB,PIBF1,PMS1,PPIF,RAB2B,RAD23B,RANBP2,RGS10,RPS10,SAT2,SCT,SLA2,STAT2,TERF1,TNPO1,UHRF2",0.504283356543492,down,C1_vs_None,C1
Microglial cells,2915,1150,98,44,1.2604145703247,0.154571026145212,0.293138302670498,"ADAM9,ARFIP1,ARHGEF10,BHMT2,CD58,COPB2,COX6B1,CPQ,CSNK2A1,CTNNA1,CTSB,CX3CL1,DENND2B,DNM1,EFNB2,EIF5,EPB41L5,GLB1,GLO1,GOLGA3,HNRNPK,HSD11B1,IL13RA1,INPP1,ITGB1BP1,MAP1LC3A,MAPKAPK2,MMUT,MORC3,NUMB,PIBF1,PMS1,RAB2B,RAD23B,RANBP2,RGS10,ROR1,RYR1,SAT2,SMPDL3A,STAT2,TERF1,TNPO1,UHRF2",0.524071542596698,down,C1_vs_None,C1
Endothelial,2915,1019,98,39,1.23895336886171,0.179883319417422,0.332321005933377,"APRT,ARFIP1,ARHGEF10,ATOX1,CASP7,CD58,COPB2,COX6B1,CRELD2,CSNK2A1,CTNNA1,CTSB,CX3CL1,DDA1,EFNB2,EIF5,GLO1,GOLGA3,HNRNPK,IL13RA1,INPP1,ITGB1BP1,MAPKAPK2,MORC3,NECAP2,NUMB,PIBF1,PROCR,RAB2B,RAD23B,RANBP2,RGS10,RPS10,SAT2,STAT2,TERF1,TNPO1,UHRF2,UNG",0.524071542596698,down,C1_vs_None,C1
monocytes,2915,1227,98,46,1.22533392249204,0.187970510377483,0.349381028397799,"ADAM9,APRT,ARFIP1,ATOX1,CASP7,CD3D,CD58,COPB2,COX6B1,CPQ,CRELD2,CSNK2A1,CTNNA1,CTSB,DDA1,EIF5,GLB1,GLO1,GOLGA3,HNRNPK,ICOSLG,IL13RA1,INPP1,ITGB1BP1,MAP1LC3A,MAPKAPK2,MMUT,MORC3,MRPL58,NECAP2,NUMB,PPIF,PRND,RAB2B,RAD23B,RANBP2,RGS10,RPS10,RYR1,SAT2,SMPDL3A,STAT2,TERF1,TNPO1,UHRF2,ZBTB17",0.524071542596698,down,C1_vs_None,C1
NK-cells,2915,1142,98,41,1.12103901379134,0.326740540195598,0.599592333094217,"APRT,ARFIP1,ATG16L1,ATOX1,CASP7,CD3D,CD58,COPB2,COX6B1,CPQ,CRELD2,CSNK2A1,CTSB,DDA1,EIF5,GLO1,GOLGA3,HNRNPK,INPP1,ITGB1BP1,MAP1LC3A,MAPKAPK2,MORC3,MRPL58,NECAP2,NUMB,PIBF1,PMS1,PPIF,RAB2B,RAD23B,RANBP2,RGS10,RPS10,SAT2,SLA2,STAT2,TERF1,TNPO1,UHRF2,UNG",0.776029180973625,down,C1_vs_None,C1
