logFC,AveExpr,t,P.Value,adj.P.Val,B,protein,contrast,sig
-0.698775018768978,0.113471096345515,-3.86640313760867,0.000135660495440044,0.322878270792102,0.0965163731606902,snu13,C2_vs_C0,FALSE
0.468981484333458,-0.12550549132948,3.66749583649247,0.000283836957250972,0.322878270792102,-0.243000581082664,chgb,C2_vs_C0,FALSE
0.320877012847013,-0.0320395588235294,3.61165428246385,0.000350564169666603,0.322878270792102,-0.411829233857664,gfra3,C2_vs_C0,FALSE
0.605789579242218,0.0191370919881305,3.54844284206401,0.000443057661464292,0.322878270792102,-0.589556746334116,akr1c4,C2_vs_C0,FALSE
-0.768315214914966,0.193375967741935,-3.36706740082289,0.000856532034576877,0.45718025645829,-1.13388365755212,gtf2ird1,C2_vs_C0,FALSE
0.24374384272758,-0.0134834285714286,3.22972359876946,0.00135759308003214,0.45718025645829,-1.36246745039661,pear1,C2_vs_C0,FALSE
0.514305695677272,-0.0217605263157895,3.2192717353564,0.00142571380462768,0.45718025645829,-1.49120454537267,pnma2,C2_vs_C0,FALSE
0.35132604949047,0.0209328034682081,3.18793132937744,0.00156492549191218,0.45718025645829,-1.47299415097561,scg3,C2_vs_C0,FALSE
0.424542277682242,-0.00132835820895522,3.17860519577423,0.00161922921407682,0.45718025645829,-1.50646352918321,cd207,C2_vs_C0,FALSE
0.247003640196642,-0.0141702875399361,3.16701826326193,0.00169354614104219,0.45718025645829,-1.5982934046751,lrtm2,C2_vs_C0,FALSE
0.377875552081075,-0.110269331395349,3.12512711330418,0.00192994773912065,0.45718025645829,-1.62104533995006,itgb5,C2_vs_C0,FALSE
0.297653701259933,-0.0144814332247557,3.11119400697705,0.00204038655053937,0.45718025645829,-1.73160047488115,bmp10,C2_vs_C0,FALSE
0.268344445342427,-0.0552771986970684,3.09195737085277,0.00217290850850463,0.45718025645829,-1.77446345638058,penk,C2_vs_C0,FALSE
-0.619203889259774,0.0701669407894737,-3.0145482166187,0.00279290701351315,0.45718025645829,-1.94859221974754,bloc1s2,C2_vs_C0,FALSE
0.357048181046589,0.0387892441860465,2.97646605503124,0.00312446604589932,0.45718025645829,-1.96618950576359,gdf2,C2_vs_C0,FALSE
-0.442577730608111,0.0853883116883116,-2.97835213653362,0.00313083802591727,0.45718025645829,-2.03024813790686,gpha2,C2_vs_C0,FALSE
0.742558195675215,0.0600271802325581,2.97199489823697,0.00316914441348022,0.45718025645829,-1.97644444826765,ccl3,C2_vs_C0,FALSE
0.211558620077378,-0.0423112903225806,2.94241245565644,0.00350491085508956,0.45718025645829,-2.09673834322774,ngfr,C2_vs_C0,FALSE
0.36506365042724,-0.0355220289855072,2.93689405092916,0.00354006183904916,0.45718025645829,-2.04914424528693,esm1,C2_vs_C0,FALSE
0.578585818177145,-0.106003768115942,2.92630730273631,0.00365969843136267,0.45718025645829,-2.07149166632924,scgb1a1,C2_vs_C0,FALSE
0.367307535026022,-0.158585549132948,2.92236688523602,0.00370440524458951,0.45718025645829,-2.07991333377634,smoc2,C2_vs_C0,FALSE
0.539378160675266,0.0764727564102564,2.91976070275246,0.00376082038631293,0.45718025645829,-2.16066117816279,pxdnl,C2_vs_C0,FALSE
0.372765379475889,-0.0288714521452145,2.91560417515556,0.00381784831784336,0.45718025645829,-2.17088667155312,il31ra,C2_vs_C0,FALSE
1.14910955266265,-0.180643988269795,2.91288727768227,0.00381949369171036,0.45718025645829,-2.10313897058597,cd177,C2_vs_C0,FALSE
-0.595085145048072,-0.0337900293255132,-2.89741079051194,0.00400820149051699,0.45718025645829,-2.13784482921115,nmnat1,C2_vs_C0,FALSE
0.309495058059901,-0.0529075931232092,2.87097936645114,0.00434417696091065,0.45718025645829,-2.18508664638736,ccn3,C2_vs_C0,FALSE
0.398506669769488,-0.0620038585209004,2.86566436229193,0.00444799682283379,0.45718025645829,-2.2743315195622,dtnb,C2_vs_C0,FALSE
