protein,logFC,AveExpr,t,P.Value,fdr,B,sig_tier,bonferroni_sig,bonferroni_threshold
itgav,-0.0859255530969855,-0.0188320707255928,-9.69545597238121,4.84388914644273e-22,1.41005613052948e-18,39.0181568663109,Bonferroni,TRUE,1.71762281003092e-05
nefl,0.216510674890774,-0.0461388415122376,9.52855067615555,2.38229275628781e-21,3.46742710677691e-18,37.4790746375081,Bonferroni,TRUE,1.71762281003092e-05
itgam,-0.139600622162364,0.0113224364665154,-8.39511937904884,5.93963675154623e-17,5.76342752791703e-14,27.7120619658123,Bonferroni,TRUE,1.71762281003092e-05
omg,-0.278027194452215,-0.010572433494409,-8.05915757684374,9.45601637161795e-16,6.88161591444496e-13,25.0476626418714,Bonferroni,TRUE,1.71762281003092e-05
ca14,-0.14075169949833,-0.0165322054267192,-7.54017376550856,5.50790978360061e-14,3.20670507601228e-11,21.1404511580781,Bonferroni,TRUE,1.71762281003092e-05
itgb2,-0.106692457764653,0.0099935291116395,-7.19198954280833,7.293503199105e-13,3.53856463543244e-10,18.6616425801451,Bonferroni,TRUE,1.71762281003092e-05
ca6,-0.228255747600901,-0.0660491582138186,-6.69643808075272,2.36160382318823e-11,9.60832083048603e-09,15.3318379935878,Bonferroni,TRUE,1.71762281003092e-05
cda,-0.137451979684015,-0.0349910424769265,-6.67857340773497,2.66533773825551e-11,9.60832083048603e-09,15.2161552960721,Bonferroni,TRUE,1.71762281003092e-05
lilrb4,0.138261156601242,-0.0235855426501526,6.66252318505913,2.97062478441684e-11,9.60832083048603e-09,15.1124810218727,Bonferroni,TRUE,1.71762281003092e-05
itga11,-0.117372902102365,-0.0126444351435308,-6.50504276660461,8.4971149235274e-11,2.47351015423883e-08,14.1082638292322,Bonferroni,TRUE,1.71762281003092e-05
cst5,-0.180750433752785,-0.0178307453868809,-6.25898080690003,4.18639923028849e-10,1.10787346903362e-07,12.5864930917425,Bonferroni,TRUE,1.71762281003092e-05
mxra8,-0.0845722225697982,0.00770322104457484,-6.17743282532097,7.01173981908381e-10,1.70093121777941e-07,12.0949041203753,Bonferroni,TRUE,1.71762281003092e-05
fap,-0.0898546953547684,-0.0319621167396232,-6.10630042093595,1.09383070368032e-09,2.44933936801031e-07,11.6712885674302,Bonferroni,TRUE,1.71762281003092e-05
gfap,0.135036684319053,-0.00113481178081556,5.94906683235948,2.87336531671717e-09,5.97454745497406e-07,10.7520725529753,Bonferroni,TRUE,1.71762281003092e-05
itgb5,-0.0927404543086178,-0.0109614960946963,-5.83787318519088,5.6081937779925e-09,1.08836347251574e-06,10.116289058396,Bonferroni,TRUE,1.71762281003092e-05
comp,-0.0976574578234926,-0.0703894840946885,-5.72947222244001,1.06420076363095e-08,1.93618026433105e-06,9.50786809236751,Bonferroni,TRUE,1.71762281003092e-05
ret,-0.118394316298031,-0.00083953890655976,-5.63197045384301,1.87537849924294e-08,3.21130988899776e-06,8.97023768848882,Bonferroni,TRUE,1.71762281003092e-05
il17rb,0.15802016976241,-0.0143403436623876,5.61559448402231,2.06077363750931e-08,3.33272892154978e-06,8.88083339398773,Bonferroni,TRUE,1.71762281003092e-05
mertk,0.0729488830001868,-0.032946661275308,5.5883318256844,2.40958716244963e-08,3.69174117362678e-06,8.73256378846093,Bonferroni,TRUE,1.71762281003092e-05
clec4a,-0.107032487504819,-0.00917193481409823,-5.57169202075741,2.64997380607996e-08,3.85703687474938e-06,8.64241747905983,Bonferroni,TRUE,1.71762281003092e-05
pepd,-0.0663778670979642,-0.0147017140945998,-5.42525514427442,6.04975811398828e-08,8.38611708086661e-06,7.86054905844865,Bonferroni,TRUE,1.71762281003092e-05
bcan,-0.0969432616504965,0.0239716774741525,-5.35818551939962,8.76930365438966e-08,1.16033831536038e-05,7.50931737291951,Bonferroni,TRUE,1.71762281003092e-05
gzma,-0.0919862807733423,-0.00398710269329501,-5.30653495660487,1.16374026216968e-07,1.47289039268519e-05,7.24177704076194,Bonferroni,TRUE,1.71762281003092e-05
itga2,-0.0782898662806045,0.00905754500284458,-5.26438860322623,1.46323764138397e-07,1.77478532252865e-05,7.02536565395218,Bonferroni,TRUE,1.71762281003092e-05
cd302,0.0729902184700658,-0.0257856530483256,5.14552564898982,2.76597954577988e-07,3.2207065831061e-05,6.42422992046787,Bonferroni,TRUE,1.71762281003092e-05
dner,-0.0714174030518261,-0.00268130458024351,-5.09453703836124,3.61976585750147e-07,4.05274554276415e-05,6.17052456265966,Bonferroni,TRUE,1.71762281003092e-05
got1,-0.084824529186156,-0.0268854741257366,-5.0661080230786,4.2010055813083e-07,4.52930638784757e-05,6.03015546623136,Bonferroni,TRUE,1.71762281003092e-05
hpgds,-0.0955891712664857,-0.0194371676849128,-5.02716991072899,5.14505657386485e-07,5.34902131661449e-05,5.83915932441774,Bonferroni,TRUE,1.71762281003092e-05
ache,-0.0730853161170371,-0.0252565054768049,-5.00225987309124,5.85303672014168e-07,5.87523789390773e-05,5.71773785233998,Bonferroni,TRUE,1.71762281003092e-05
klk6,-0.0759842279438862,-0.0344857434225401,-4.97000146529607,6.91047609808763e-07,6.54105430639253e-05,5.56138500009669,Bonferroni,TRUE,1.71762281003092e-05
tf,-0.0504267266905485,0.00879993532897827,-4.9684494628572,6.96573972855268e-07,6.54105430639253e-05,5.5538878760586,Bonferroni,TRUE,1.71762281003092e-05
enpp5,-0.111255074597824,-0.0753936485280935,-4.89610769340315,1.00717497781578e-06,9.16214487631793e-05,5.20700616805863,Bonferroni,TRUE,1.71762281003092e-05
tnxb,-0.065180595817632,0.0135035000013736,-4.84061439653135,1.33192422622396e-06,0.000117491861289028,4.94432953638739,Bonferroni,TRUE,1.71762281003092e-05
chga,0.182211526561266,0.108169317456847,4.82501713241056,1.44000681687018e-06,0.000123289995409091,4.87103421326113,Bonferroni,TRUE,1.71762281003092e-05
lgals9,0.068400001022962,-0.019337126149639,4.78310580794329,1.77385744769866e-06,0.000147534258007166,4.67524392852714,Bonferroni,TRUE,1.71762281003092e-05
igfbp2,0.167674132693511,-0.0407368465440659,4.75015586823052,2.08737812633205e-06,0.000168787714604239,4.52250564508992,Bonferroni,TRUE,1.71762281003092e-05
bag3,-0.0925327405189781,-0.0618388108914333,-4.6703165839357,3.08324513647368e-06,0.000242576394385808,4.15675377340863,Bonferroni,TRUE,1.71762281003092e-05
crtac1,-0.0741532934198361,-0.0394731683667752,-4.65413565592762,3.33442334450615e-06,0.000254006794473229,4.08337634212636,Bonferroni,TRUE,1.71762281003092e-05
nell2,-0.06910305633033,0.0265386920488762,-4.64991840647029,3.40304533990242e-06,0.000254006794473229,4.06429339816737,Bonferroni,TRUE,1.71762281003092e-05
lrrn1,-0.0956269363864248,-0.0156634554273134,-4.64370240545094,3.50666559146109e-06,0.000255197588418581,4.03619742871266,Bonferroni,TRUE,1.71762281003092e-05
il15,0.0828275595431941,0.0025338054590876,4.63444870404676,3.66654825270392e-06,0.000260324925941978,3.99444025989547,Bonferroni,TRUE,1.71762281003092e-05
arl13b,0.112067445406927,0.0637558070447082,4.60035376166921,4.3181217857452e-06,0.00029928696472153,3.84130020957854,Bonferroni,TRUE,1.71762281003092e-05
pla2g15,0.0586643020670337,-0.0103665824936519,4.56209686982604,5.18122870721959e-06,0.00035075713410968,3.67080156615608,Bonferroni,TRUE,1.71762281003092e-05
cd248,-0.0815928635755245,-0.0284704624579801,-4.55415187874366,5.38012024621485e-06,0.000355943864471169,3.63557038362892,Bonferroni,TRUE,1.71762281003092e-05
mstn,-0.12129595956309,-0.0870320777222197,-4.51711471441566,6.40781797732011e-06,0.000414514625155085,3.47213701933441,Bonferroni,TRUE,1.71762281003092e-05
dkk4,-0.104066906286869,-0.0179680312729723,-4.50394693547049,6.81655516089574e-06,0.000431369392899294,3.41435075225906,Bonferroni,TRUE,1.71762281003092e-05
gsr,-0.0422591161592595,-0.0193183757122731,-4.49761747846965,7.02179275517224e-06,0.000434902951283114,3.38663374035316,Bonferroni,TRUE,1.71762281003092e-05
itgb6,-0.0697383014341479,-0.0506875139971296,-4.48356416365549,7.49882549152614e-06,0.000454772520954846,3.32523180901739,Bonferroni,TRUE,1.71762281003092e-05
cd8a,-0.113189359602318,0.0313866560492589,-4.43424791320782,9.43019872453661e-06,0.000560230785451552,3.11126702918391,Bonferroni,TRUE,1.71762281003092e-05
galnt7,-0.046862514314618,0.00110647540720334,-4.37827565720856,1.21973965502411e-05,0.000710132427155036,2.8712694615619,Bonferroni,TRUE,1.71762281003092e-05
dpp6,-0.0786829989019378,0.00744489853691127,-4.37061350832667,1.2631760846579e-05,0.000721001094595912,2.83865117485213,Bonferroni,TRUE,1.71762281003092e-05
lpo,-0.135479436401435,0.0478261393388563,-4.35262549688103,1.37102536292112e-05,0.000758846234102648,2.76229781929622,Bonferroni,TRUE,1.71762281003092e-05
chrdl2,-0.12680603967246,0.00512781531660492,-4.35093252688793,1.38161629706082e-05,0.000758846234102648,2.75512779519695,Bonferroni,TRUE,1.71762281003092e-05
amy2b,-0.107716464204055,0.00791326373524652,-4.33126976996206,1.51048253951626e-05,0.000814261976394786,2.67205539645772,Bonferroni,TRUE,1.71762281003092e-05
rgma,-0.0696528352439688,-0.010060877829161,-4.2934573766458,1.79120257350494e-05,0.000948034671176887,2.51335311361815,FDR<0.05,FALSE,1.71762281003092e-05
ctsf,0.0940199077823509,0.0020691748318258,4.2880194109628,1.83545079921925e-05,0.000954106656522721,2.49064306590608,FDR<0.05,FALSE,1.71762281003092e-05
col15a1,-0.0487413262450436,-0.0380578666856209,-4.22211998751348,2.46154159325971e-05,0.00125711361017176,2.21770521474638,FDR<0.05,FALSE,1.71762281003092e-05
rnaset2,0.0524803913446683,-0.0215900349169404,4.20945562202694,2.60314506082263e-05,0.0013065095296646,2.16573360759698,FDR<0.05,FALSE,1.71762281003092e-05
plaur,0.0546270526587168,0.00461066000000891,4.17907559163654,2.97509454887164e-05,0.00146788139521447,2.0416930993815,FDR<0.05,FALSE,1.71762281003092e-05
cd83,0.065540190229341,0.010718450996807,4.12327627453722,3.79355618167813e-05,0.0018405070074775,1.81619126413641,FDR<0.05,FALSE,1.71762281003092e-05
nptxr,-0.0708617626231403,0.0313310403748743,-4.08993812315738,4.38022340249589e-05,0.00209030005322386,1.68289861476346,FDR<0.05,FALSE,1.71762281003092e-05
cpa2,-0.138090682927263,0.0232372697703061,-4.06456575428141,4.88335855528746e-05,0.00229281560555513,1.5821751611138,FDR<0.05,FALSE,1.71762281003092e-05
megf10,-0.0840950562001864,-0.014767366232596,-4.05846110901009,5.01234534029665e-05,0.00231602179136564,1.5580338239873,FDR<0.05,FALSE,1.71762281003092e-05
igdcc4,-0.0469952316728377,9.57229925554362e-05,-4.0515958203565,5.1612615523403e-05,0.00234756755919728,1.53092752668514,FDR<0.05,FALSE,1.71762281003092e-05
hla_a,0.0601735537420338,-0.0310892963067568,4.03628336039329,5.50865672863365e-05,0.00246703072877732,1.47063343204487,FDR<0.05,FALSE,1.71762281003092e-05
lamp3,0.120282790586993,0.0107260929086845,4.03155973216696,5.62021883225684e-05,0.00247885712434843,1.45207953151219,FDR<0.05,FALSE,1.71762281003092e-05
rgmb,-0.0490333677902209,-0.0297908599336826,-4.00904357593396,6.18206616150237e-05,0.00268596934270648,1.36393521424116,FDR<0.05,FALSE,1.71762281003092e-05
mepe,-0.0532434552433493,-0.0540758720639457,-4.00191041014807,6.37088396281536e-05,0.00272730047290523,1.33611322660607,FDR<0.05,FALSE,1.71762281003092e-05
plxdc1,-0.0682413989656563,0.0123822920705858,-3.9881062024288,6.75190090119426e-05,0.00284851935121398,1.28241154128045,FDR<0.05,FALSE,1.71762281003092e-05
vat1,-0.0411612069813972,-0.000797385180100124,-3.9844588839162,6.85611779891233e-05,0.00285116555894768,1.26825339279356,FDR<0.05,FALSE,1.71762281003092e-05
thy1,-0.0540418986937016,-0.00377563427943061,-3.96953301538741,7.29867813166373e-05,0.00299245803398213,1.21044834489371,FDR<0.05,FALSE,1.71762281003092e-05
cbln4,-0.0681754180532136,-0.021933168337037,-3.95507244309881,7.7531149474425e-05,0.00313462744611182,1.15465092702998,FDR<0.05,FALSE,1.71762281003092e-05
ckb,0.114931789530749,0.00144297151919176,3.92812426609545,8.67226707249247e-05,0.00343924898784794,1.05120897897458,FDR<0.05,FALSE,1.71762281003092e-05
chgb,-0.0813307279153568,-0.0233001057784196,-3.92616804364846,8.74285211613699e-05,0.00343924898784794,1.04372728463416,FDR<0.05,FALSE,1.71762281003092e-05
grp,-0.0939216259196044,-0.0124454760137173,-3.89123999647815,0.000100982743857403,0.00391947689825198,0.910766348182512,FDR<0.05,FALSE,1.71762281003092e-05
il22,0.121776526305158,0.0322116138766547,3.88328413963199,0.000104336174718529,0.00399635006060051,0.880645856513923,FDR<0.05,FALSE,1.71762281003092e-05
folr1,0.0531309630558108,0.0212831670980986,3.85467703108416,0.000117283304774897,0.00443391818441201,0.772847066744147,FDR<0.05,FALSE,1.71762281003092e-05
psap,0.0415532746188521,-0.0166367001088642,3.8473057225202,0.00012085708568337,0.00451044841569604,0.745198515086437,FDR<0.05,FALSE,1.71762281003092e-05
amy2a,-0.0953342324068146,0.00637283546184544,-3.78804747624235,0.000153554022210743,0.00565817416019587,0.524842491069393,FDR<0.05,FALSE,1.71762281003092e-05
ada,-0.0603537840412479,0.00109903678179273,-3.77409476621105,0.000162381781215317,0.00590866706397236,0.473453008758368,FDR<0.05,FALSE,1.71762281003092e-05
ptprf,0.0567676783438823,-0.0502731274816249,3.76696154171952,0.000167077344467621,0.00593998055842072,0.447253345369449,FDR<0.05,FALSE,1.71762281003092e-05
clec4m,-0.0839931800827969,0.0326472828142861,-3.76378064812362,0.000169212152559272,0.00593998055842072,0.435586112169496,FDR<0.05,FALSE,1.71762281003092e-05
fgfbp2,-0.0872719040937961,0.0136257382523432,-3.76355594485154,0.000169363925231508,0.00593998055842072,0.434762291308661,FDR<0.05,FALSE,1.71762281003092e-05
hspa1a,-0.0687351774424419,-0.0113765455062926,-3.74626296864058,0.000181436179761507,0.00625579161838117,0.37150845358509,FDR<0.05,FALSE,1.71762281003092e-05
cd34,-0.046686600551846,0.000359811334482159,-3.7445617762413,0.000182666536435039,0.00625579161838117,0.365301523799876,FDR<0.05,FALSE,1.71762281003092e-05
myoc,-0.0883317634702048,-0.0650674512704341,-3.73913733077691,0.000186642269621479,0.00631762380079216,0.345528745098767,FDR<0.05,FALSE,1.71762281003092e-05
muc13,-0.0931397374306237,-0.026726846199868,-3.72122415268776,0.000200357026662835,0.00670390005305186,0.280435488810999,FDR<0.05,FALSE,1.71762281003092e-05
gpc1,-0.055605152378283,-0.0407090683384421,-3.69897239906723,0.000218713312009568,0.00723493694613469,0.20000959505566,FDR<0.05,FALSE,1.71762281003092e-05
adgre5,-0.0522491850075995,-0.022239066953451,-3.64403883629077,0.000271017016316968,0.0088643880280752,0.00351415019013679,FDR<0.05,FALSE,1.71762281003092e-05
hrg,-0.053423151171986,-0.0143266865942312,-3.63334226241433,0.000282478822420132,0.00911250309848157,-0.034406947301715,FDR<0.05,FALSE,1.71762281003092e-05
igsf3,-0.0572148783561293,0.00479221716055886,-3.6311679746303,0.000284863545847414,0.00911250309848157,-0.0421015898666024,FDR<0.05,FALSE,1.71762281003092e-05
nppc,-0.0764061922490972,-0.0651326812206069,-3.61680086436346,0.000301101672988267,0.00952724967466137,-0.0928305488822403,FDR<0.05,FALSE,1.71762281003092e-05
tnr,-0.0827612782539517,0.0336506225712047,-3.60327245681651,0.000317180955283076,0.00992810495515091,-0.140415224742052,FDR<0.05,FALSE,1.71762281003092e-05
chad,-0.0844929180358098,-0.0181081980244347,-3.59609170697218,0.000326038934514262,0.0100968014720321,-0.165600641985909,FDR<0.05,FALSE,1.71762281003092e-05
oscar,0.0570355212271956,-0.0131064382609867,3.541627748138,0.000401159643466534,0.0122923760224324,-0.354997472884691,FDR<0.05,FALSE,1.71762281003092e-05
klrk1,-0.0713570083925198,-0.0456642963472726,-3.53450480647568,0.000412101955863283,0.0124961332658127,-0.379554632738629,FDR<0.05,FALSE,1.71762281003092e-05
il2ra,0.0674705956995806,-0.00280918386620137,3.52993888337741,0.000419262156324208,0.0125821869799976,-0.395270302055329,FDR<0.05,FALSE,1.71762281003092e-05
arhgap1,-0.0605916240412025,-0.0332381891525859,-3.52113900724396,0.000433390923424865,0.0128734793682631,-0.425501991812872,FDR<0.05,FALSE,1.71762281003092e-05
ifit3,0.0549895775565829,0.0221746256537842,3.51158239973874,0.000449237599302655,0.0132094005209094,-0.458248352183092,FDR<0.05,FALSE,1.71762281003092e-05
il1rn,0.0888815793651472,0.0527832984445165,3.49829471922267,0.000472171489245728,0.0136207989113439,-0.503632303787158,FDR<0.05,FALSE,1.71762281003092e-05
ppp3r1,-0.0552922716108372,-0.049238718381275,-3.4977095880856,0.000473206085883409,0.0136207989113439,-0.505626877803715,FDR<0.05,FALSE,1.71762281003092e-05
dpp4,-0.0538053374423426,-0.0175409549497323,-3.49542488758519,0.00047726605597976,0.0136207989113439,-0.513411703510221,FDR<0.05,FALSE,1.71762281003092e-05
phykpl,-0.0539736202769237,-0.0331474522881048,-3.49151298107753,0.000484293165640359,0.013631241131944,-0.52672927190491,FDR<0.05,FALSE,1.71762281003092e-05
rab6a,-0.0834312855881922,0.0216215559912024,-3.49002172998249,0.000486997278502981,0.013631241131944,-0.531802131913108,FDR<0.05,FALSE,1.71762281003092e-05
epha1,0.0593993738576338,-0.0881625099928709,3.48480477666546,0.000496568503885294,0.013766770617239,-0.549531920616203,FDR<0.05,FALSE,1.71762281003092e-05
tgfa,0.0814226245831697,0.0590141783073851,3.47439153543746,0.000516199875606739,0.0141760173385964,-0.584842339373356,FDR<0.05,FALSE,1.71762281003092e-05
prr4,-0.11238449162558,0.0972463377391957,-3.46520120936282,0.00053412451983412,0.0145311820302535,-0.615918587297568,FDR<0.05,FALSE,1.71762281003092e-05
vgf,-0.0461457739539434,0.0133542446578897,-3.44164532598178,0.000582751145925736,0.0157073017202761,-0.695196562928648,FDR<0.05,FALSE,1.71762281003092e-05
trem2,0.0889732076158945,-0.0121663835944574,3.43729679710873,0.000592166813831977,0.0158110595602968,-0.709772805720328,FDR<0.05,FALSE,1.71762281003092e-05
serpind1,0.0440007260653804,-0.00407303325131386,3.43487874429206,0.000597463604133509,0.0158110595602968,-0.717870168473954,FDR<0.05,FALSE,1.71762281003092e-05
blmh,-0.0518253421782853,-0.0382732996962337,-3.42893668808913,0.000610667756529909,0.0159485459609443,-0.737744309780407,FDR<0.05,FALSE,1.71762281003092e-05
sez6l2,-0.0408489732568579,0.0365426742993744,-3.42762613552354,0.000613616333777314,0.0159485459609443,-0.74212304871285,FDR<0.05,FALSE,1.71762281003092e-05
acp5,0.057033349006585,-0.0559692817836175,3.42366666251072,0.000622605341857293,0.0160389747800582,-0.755342079267462,FDR<0.05,FALSE,1.71762281003092e-05
scrg1,-0.0410470579611376,-0.0512135972675334,-3.41695951794244,0.000638112411997397,0.0162017329684423,-0.777699738707547,FDR<0.05,FALSE,1.71762281003092e-05
igsf21,-0.0570288218417083,-0.0139633794837033,-3.41613014132532,0.000640054720498407,0.0162017329684423,-0.780461358712874,FDR<0.05,FALSE,1.71762281003092e-05
ltbp2,0.0529580124908573,-0.0316476682415867,3.40308912581278,0.000671327690796149,0.0168468526543758,-0.823796989517315,FDR<0.05,FALSE,1.71762281003092e-05
itgb1,-0.0356060395721094,-0.00153796507355907,-3.38732664440042,0.000711022554006194,0.017690484228308,-0.875955884738797,FDR<0.05,FALSE,1.71762281003092e-05
fcrl6,-0.121931120621723,-0.0365667291918407,-3.38444412707462,0.00071851348336723,0.0177253622888306,-0.885468217031948,FDR<0.05,FALSE,1.71762281003092e-05
smoc2,-0.0631775523050574,-0.0772693425708972,-3.37694599138416,0.000738344141593777,0.0180615108922646,-0.910174370154104,FDR<0.05,FALSE,1.71762281003092e-05
ube2l6,0.0466330044789007,-0.00991068393881424,3.34706225143938,0.000822539085758336,0.0199433054780983,-1.00809851281235,FDR<0.05,FALSE,1.71762281003092e-05
tnfsf13,0.0450138996778621,-0.0173100466279495,3.34489712389986,0.000828972848797627,0.0199433054780983,-1.01515961633231,FDR<0.05,FALSE,1.71762281003092e-05
eno3,-0.0855752195193195,0.00669616060187584,-3.33869315040126,0.000847667731481098,0.0202259079208318,-1.03536736548793,FDR<0.05,FALSE,1.71762281003092e-05
setmar,-0.0454165987617811,-0.0527486464721108,-3.3249333164179,0.000890535469602447,0.0210105168627503,-1.08005297837851,FDR<0.05,FALSE,1.71762281003092e-05
robo1,-0.0369150714255748,0.00801606799197844,-3.32354017909554,0.000894985946747177,0.0210105168627503,-1.08456700445686,FDR<0.05,FALSE,1.71762281003092e-05
ptprr,-0.0546655714120833,0.0138031395301479,-3.31269926693378,0.000930329102341232,0.0216655041353226,-1.11962923479755,FDR<0.05,FALSE,1.71762281003092e-05
mog,0.0567463138037313,-0.0119113610580082,3.30657188684449,0.000950873186182254,0.0219681892458456,-1.13939626684309,FDR<0.05,FALSE,1.71762281003092e-05
egfr,-0.0284726166812898,0.00643278471687112,-3.29195397543924,0.00100159398208009,0.0229577959199618,-1.18640673516635,FDR<0.05,FALSE,1.71762281003092e-05
cntn5,-0.0649496409354256,0.0370694854002124,-3.28151583919336,0.00103933274565503,0.0234107605870348,-1.21984833288064,FDR<0.05,FALSE,1.71762281003092e-05
st6gal1,0.0448752218710385,-0.00710128429722395,3.28002070154178,0.00104484488415918,0.0234107605870348,-1.2246297811979,FDR<0.05,FALSE,1.71762281003092e-05
susd2,0.0516344812352748,-0.00524838054993238,3.2798482863505,0.00104548226599606,0.0234107605870348,-1.22518102522567,FDR<0.05,FALSE,1.71762281003092e-05
tnfrsf6b,0.0873462384300704,-0.0254033143525206,3.25448197801616,0.00114327661073497,0.025405177204958,-1.30596750497672,FDR<0.05,FALSE,1.71762281003092e-05
cd160,-0.0768584143286626,-0.00531227740792496,-3.25214286805623,0.00115270795490226,0.0254207034600035,-1.31338563559426,FDR<0.05,FALSE,1.71762281003092e-05
pi3,0.0862992840005297,-0.0387974729468148,3.23281334926494,0.00123344286220532,0.0269966328712759,-1.37448295685506,FDR<0.05,FALSE,1.71762281003092e-05
ctsc,0.0703246935832707,-0.0382662750533094,3.22586460010681,0.0012637205239136,0.0274529137694962,-1.39635813602884,FDR<0.05,FALSE,1.71762281003092e-05
obp2b,-0.110045526505012,-0.151717532937485,-3.20437291902053,0.00136176416972263,0.029363670356019,-1.46371883460432,FDR<0.05,FALSE,1.71762281003092e-05
l1cam,-0.0494157745263438,-0.0242247228631253,-3.20064327619728,0.00137947680874207,0.0295268896341776,-1.475362871764,FDR<0.05,FALSE,1.71762281003092e-05
spock1,-0.0423752856331915,-0.0230157308841906,-3.16777773978107,0.00154500185831078,0.0325091907063706,-1.5773859838896,FDR<0.05,FALSE,1.71762281003092e-05
elob,0.0537835664893737,0.0247498810555141,3.16562440320975,0.00155646127272216,0.0325091907063706,-1.58403388553759,FDR<0.05,FALSE,1.71762281003092e-05
glb1,0.0602566163768585,-0.0363565214371298,3.16520109140229,0.00155872319947809,0.0325091907063706,-1.58534022795071,FDR<0.05,FALSE,1.71762281003092e-05
ptprn2,-0.0501135467748479,0.00367319760247942,-3.16089775531145,0.00158189012854089,0.0325091907063706,-1.59861046924707,FDR<0.05,FALSE,1.71762281003092e-05
tpp1,0.0654825766818268,-0.0148939308563505,3.16044174816755,0.00158436352613047,0.0325091907063706,-1.60001560935256,FDR<0.05,FALSE,1.71762281003092e-05
cx3cl1,0.0552254292777383,0.0106980078582797,3.15828869426253,0.00159608993740852,0.0325091907063706,-1.60664730068316,FDR<0.05,FALSE,1.71762281003092e-05
mansc1,0.0421816599392632,-0.00496133081292961,3.15773257323816,0.00159913175976346,0.0325091907063706,-1.608359495593,FDR<0.05,FALSE,1.71762281003092e-05
il6,0.121117354499868,0.0491910252654583,3.15574785847226,0.00161003115124149,0.0325091907063706,-1.61446762077387,FDR<0.05,FALSE,1.71762281003092e-05
fam3b,-0.0601849002832637,-0.05061415846445,-3.15233452029726,0.00162893616517539,0.0325091907063706,-1.62496350712881,FDR<0.05,FALSE,1.71762281003092e-05
art3,-0.0533829968112972,-0.0431668984965283,-3.15205649329622,0.00163048500279289,0.0325091907063706,-1.6258179313622,FDR<0.05,FALSE,1.71762281003092e-05
adgrg2,-0.045198485479166,0.0449166301453382,-3.14927318268405,0.00164606520794937,0.0325965702063988,-1.63436738069267,FDR<0.05,FALSE,1.71762281003092e-05
cr1,-0.0512433861746509,-0.00767129858199241,-3.14589862259898,0.00166513881892875,0.0327514804182541,-1.6447228712189,FDR<0.05,FALSE,1.71762281003092e-05
sfrp4,-0.0588251210912267,0.0303238601777674,-3.13273968258998,0.00174147472187911,0.0336760039624344,-1.68499798122351,FDR<0.05,FALSE,1.71762281003092e-05
rtbdn,-0.0469455387797326,-0.00840056328403728,-3.13220097426435,0.00174466732983304,0.0336760039624344,-1.68664320390455,FDR<0.05,FALSE,1.71762281003092e-05
mmp1,0.137123782129923,-0.0930588895034653,3.13183341754807,0.00174684871120838,0.0336760039624344,-1.68776556544947,FDR<0.05,FALSE,1.71762281003092e-05
wif1,-0.056368192994257,0.0190051081618705,-3.12579828634683,0.00178302671831986,0.0341473077436126,-1.70617551970293,FDR<0.05,FALSE,1.71762281003092e-05
lrtm2,-0.0389826473420372,0.0320472017923712,-3.12003108330439,0.00181824111335999,0.0345941168692218,-1.7237351151401,FDR<0.05,FALSE,1.71762281003092e-05
neo1,-0.0309524000126854,-0.0110222709259068,-3.11352674359634,0.00185872285537601,0.0350101250860743,-1.74350033409702,FDR<0.05,FALSE,1.71762281003092e-05
magea3,0.120586671333277,-0.0778230980059306,3.11266309736764,0.00186415987232618,0.0350101250860743,-1.74612166968799,FDR<0.05,FALSE,1.71762281003092e-05
robo4,0.0236007990261511,-0.0103368854616809,3.1095968169304,0.00188358166832969,0.0351481169006906,-1.75542257987729,FDR<0.05,FALSE,1.71762281003092e-05
dusp13,-0.0559433820015925,0.00336809061865863,-3.08463101210914,0.00204877096371573,0.0379870845565381,-1.83081116672219,FDR<0.05,FALSE,1.71762281003092e-05
snx18,0.0604536785819962,0.0823771954482675,3.07862522905926,0.00209044427247328,0.0385144511213273,-1.8488563340636,FDR<0.05,FALSE,1.71762281003092e-05
pdia3,0.0321082235743131,-0.0035595534328191,3.06631824619437,0.00217828049178899,0.039756150875116,-1.88572482428182,FDR<0.05,FALSE,1.71762281003092e-05
thpo,0.0513454642613614,0.00543611912661553,3.06059168276092,0.00222029434509575,0.039756150875116,-1.90282994603163,FDR<0.05,FALSE,1.71762281003092e-05
jchain,0.0950822515056003,0.00748102211746786,3.06037029745966,0.0022219333893316,0.039756150875116,-1.90349057957366,FDR<0.05,FALSE,1.71762281003092e-05
ssbp1,0.0512028721131263,0.0200529833846091,3.06032467184755,0.0022222713201097,0.039756150875116,-1.90362672456464,FDR<0.05,FALSE,1.71762281003092e-05
eps8l2,-0.0439467053704875,-0.0237760247500109,-3.05980469201354,0.00222612593357743,0.039756150875116,-1.90517818061357,FDR<0.05,FALSE,1.71762281003092e-05
lto1,0.067917836919677,0.0205710746579375,3.04440304414281,0.00234311520403774,0.0413454675549187,-1.95101273610247,FDR<0.05,FALSE,1.71762281003092e-05
mmp12,0.0815510393481651,-0.0165800664045675,3.04435030556656,0.00234352529940281,0.0413454675549187,-1.95116928764288,FDR<0.05,FALSE,1.71762281003092e-05
penk,-0.038922948428379,-0.000203885154410036,-3.040361177064,0.00237473601405304,0.0416437140777614,-1.963002962439,FDR<0.05,FALSE,1.71762281003092e-05
adgre2,-0.041405751660316,-0.034188692159899,-3.03083279721048,0.00245083204028691,0.0427207908339832,-1.99120615646558,FDR<0.05,FALSE,1.71762281003092e-05
