protein,logFC,AveExpr,t,P.Value,fdr,B,sig_tier,bonferroni_sig,bonferroni_threshold
ceacam16,-0.0660621505138747,-0.00244846471231415,-1.70753922213853,0.0877816947562786,0.388347284856424,-5.05007710320129,NS,FALSE,1.71762281003092e-05
ctrc,-0.057111211537936,0.0424150856642764,-1.7043895917395,0.0883681943286043,0.39034873094168,-5.05532281056091,NS,FALSE,1.71762281003092e-05
bola1,0.0359960912056459,-0.00520520703178928,1.70332812943096,0.0885665619677599,0.390632214982044,-5.05708849589141,NS,FALSE,1.71762281003092e-05
cpe,-0.0350618532369681,-0.0669171500046703,-1.70120517232951,0.0889643803050024,0.391293748719735,-5.06061662434051,NS,FALSE,1.71762281003092e-05
tnfrsf10c,-0.044802108706172,-0.067554280568383,-1.70109328279653,0.0889853870327945,0.391293748719735,-5.06080245089646,NS,FALSE,1.71762281003092e-05
podxl,-0.0135245565797,-0.00590316971713187,-1.6989589005631,0.0893868731156812,0.392007810946879,-5.06434490323158,NS,FALSE,1.71762281003092e-05
kirrel1,0.0468840673429573,0.128569696650591,1.69879850586542,0.0894171028748634,0.392007810946879,-5.06461093220859,NS,FALSE,1.71762281003092e-05
pcsk7,0.0350164808861171,0.0255936689977234,1.69798359372266,0.0895708174702169,0.392091202489927,-5.06596214948291,NS,FALSE,1.71762281003092e-05
gimap8,0.0361282945761343,0.00975915688172478,1.69674084181641,0.0898056439935688,0.392528873371289,-5.06802152703702,NS,FALSE,1.71762281003092e-05
pilrb,0.0490089124445053,-0.117353766920179,1.69547322217842,0.0900456799270888,0.392742366428945,-5.07012056157268,NS,FALSE,1.71762281003092e-05
sele,-0.0431172387382868,-0.0945210367446162,-1.69442508268883,0.0902445450738253,0.392742366428945,-5.07185497834544,NS,FALSE,1.71762281003092e-05
sema7a,-0.0219108943254092,-0.00936496691676474,-1.69434771348176,0.0902592384544707,0.392742366428945,-5.07198296316861,NS,FALSE,1.71762281003092e-05
sord,-0.0506911997482097,-0.0911215494444098,-1.69287479926651,0.0905393307560958,0.392923498141993,-5.0744183574394,NS,FALSE,1.71762281003092e-05
znrd2,-0.0429824474045596,0.0169980994638229,-1.6927094185286,0.0905708235153822,0.392923498141993,-5.07469167458986,NS,FALSE,1.71762281003092e-05
epo,-0.069099680019218,0.117590462410966,-1.69078771955409,0.090937411256506,0.393926791916204,-5.07786562261624,NS,FALSE,1.71762281003092e-05
scgn,0.0391546827126764,0.0304853481612192,1.6899014318509,0.0911068832529632,0.394074497993129,-5.07932823420241,NS,FALSE,1.71762281003092e-05
gimap7,-0.0211480594505679,0.00840031452369592,-1.68693742656731,0.0916754931545918,0.395472559612268,-5.08421407050923,NS,FALSE,1.71762281003092e-05
ifnl2,0.0463738813156556,0.112576917422214,1.68680058666066,0.0917018130327313,0.395472559612268,-5.08443942912911,NS,FALSE,1.71762281003092e-05
foxj3,-0.0251740827910472,0.0215587762432018,-1.68570344090155,0.0919130584215059,0.395709340229972,-5.08624563410475,NS,FALSE,1.71762281003092e-05
plxna4,-0.0393481146403921,-0.0760700897829469,-1.68461565366607,0.0921228878363548,0.395709340229972,-5.08803527346669,NS,FALSE,1.71762281003092e-05
psip1,-0.0389019983391212,-0.00679558704072787,-1.68408619258869,0.0922251577442206,0.395709340229972,-5.08890593105734,NS,FALSE,1.71762281003092e-05
il12a_il12b,-0.066222135278841,0.0375048461823594,-1.68369664182884,0.0923004610155104,0.395709340229972,-5.08954634244284,NS,FALSE,1.71762281003092e-05
hmgcl,0.0257530620446079,0.0249651031540028,1.68148139466897,0.0927296256032014,0.396964617839587,-5.09318533794749,NS,FALSE,1.71762281003092e-05
mif,-0.0305982992222668,-0.0584359502676214,-1.67763362830945,0.0934788694341843,0.399584418389002,-5.09949470401502,NS,FALSE,1.71762281003092e-05
havcr1,0.0538419411334556,-0.0726337285138088,1.67380768989969,0.0942286720667954,0.402198921387744,-5.10575396201777,NS,FALSE,1.71762281003092e-05
ifit1,0.0390416966306693,0.0316410639705273,1.67196448297027,0.0945916189990651,0.403156958867172,-5.10876436427672,NS,FALSE,1.71762281003092e-05
ccar2,0.0411893451790042,0.0834333355399915,1.66921623938617,0.0951348575399663,0.404390684334323,-5.11324675714891,NS,FALSE,1.71762281003092e-05
aarsd1,0.0440686834144608,-0.0443215388623376,1.6690947939699,0.0951589209100004,0.404390684334323,-5.11344466501965,NS,FALSE,1.71762281003092e-05
cntnap4,-0.073975606649159,0.318218844197778,-1.66820648991194,0.0953350790831416,0.404548710220153,-5.11489181100871,NS,FALSE,1.71762281003092e-05
gfod2,-0.1106195914904,0.492183855105591,-1.65974474632989,0.0970262414181756,0.411125747843245,-5.12863835197616,NS,FALSE,1.71762281003092e-05
cspg5,0.0375373664525609,0.054868585613055,1.65820663637471,0.0973362096430021,0.411839689347063,-5.13112959124497,NS,FALSE,1.71762281003092e-05
col18a1,0.0177645342846638,-0.0359802160310592,1.65503943001565,0.0979769759619397,0.412828228182298,-5.13625217135817,NS,FALSE,1.71762281003092e-05
mdk,0.040202409032106,0.0128929409194337,1.6550249066382,0.0979799219722112,0.412828228182298,-5.13627563866244,NS,FALSE,1.71762281003092e-05
osm,0.0606172431869879,-0.0268622328639289,1.65470186863136,0.0980454672676374,0.412828228182298,-5.13679755990374,NS,FALSE,1.71762281003092e-05
enpep,0.0347040640633075,0.0627822256757726,1.65425048806561,0.098137112298918,0.412828228182298,-5.13752666928526,NS,FALSE,1.71762281003092e-05
kyat1,-0.0294656780545646,-0.0373100252332692,-1.64902635160312,0.0992027706987678,0.416054505854713,-5.14595069345011,NS,FALSE,1.71762281003092e-05
