ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set
GO:0002366,leukocyte activation involved in immune response,2/6,325/18860,0.00615384615384615,19.3435897435897,5.95062959925214,0.00424181017910404,0.013907624150807,0.0036280758654279,ITGB2/ITGAM,2,down
GO:0002263,cell activation involved in immune response,2/6,329/18860,0.0060790273556231,19.1084093211753,5.91101454112227,0.00434455378783629,0.013907624150807,0.0036280758654279,ITGB2/ITGAM,2,down
GO:0051047,positive regulation of secretion,2/6,331/18860,0.00604229607250755,18.9929506545821,5.89146903233202,0.00439636408431046,0.013907624150807,0.0036280758654279,ITGB2/ITGAM,2,down
GO:0010745,negative regulation of macrophage derived foam cell differentiation,1/6,14/18860,0.0714285714285714,224.52380952381,14.9248996256129,0.00444620171237065,0.013907624150807,0.0036280758654279,ITGAV,1,down
GO:0050746,regulation of lipoprotein metabolic process,1/6,14/18860,0.0714285714285714,224.52380952381,14.9248996256129,0.00444620171237065,0.013907624150807,0.0036280758654279,ITGAV,1,down
GO:1904951,positive regulation of establishment of protein localization,2/6,334/18860,0.00598802395209581,18.8223552894212,5.86247096389193,0.00447462690069441,0.013907624150807,0.0036280758654279,ITGB2/ITGAM,2,down
GO:0060033,anatomical structure regression,1/6,16/18860,0.0625,196.458333333333,13.9527829651803,0.00508002643503391,0.015578747734104,0.00406402114802713,CD248,1,down
GO:0010989,negative regulation of low-density lipoprotein particle clearance,1/6,17/18860,0.0588235294117647,184.901960784314,13.5322184654186,0.00539681267157555,0.0163231255444701,0.00425820666377481,ITGAV,1,down
GO:0006887,exocytosis,2/6,370/18860,0.00540540540540541,16.990990990991,5.54167419360775,0.00546469855184434,0.0163231255444701,0.00425820666377481,ITGB2/ITGAM,2,down
GO:0002430,complement receptor mediated signaling pathway,1/6,18/18860,0.0555555555555556,174.62962962963,13.1470948371993,0.00571351484872185,0.0166342837367851,0.00433937836611786,ITGAM,1,down
GO:0098883,synapse pruning,1/6,18/18860,0.0555555555555556,174.62962962963,13.1470948371993,0.00571351484872185,0.0166342837367851,0.00433937836611786,ITGAM,1,down
GO:0002523,leukocyte migration involved in inflammatory response,1/6,20/18860,0.05,157.166666666667,12.4651093638877,0.00634666709620679,0.0182466679015945,0.0047600003221551,ITGB2,1,down
GO:0048535,lymph node development,1/6,21/18860,0.0476190476190476,149.68253968254,12.1611291078193,0.00666311720222723,0.0189199624260773,0.00493564237202017,CD248,1,down
GO:0002697,regulation of immune effector process,2/6,421/18860,0.00475059382422803,14.9326999208234,5.1575191989263,0.00702603288762862,0.0197071654165193,0.0051409996738746,ITGB2/ITGAM,2,down
GO:0010888,negative regulation of lipid storage,1/6,23/18860,0.0434782608695652,136.666666666667,11.6135343203423,0.00729576546800659,0.0197414830310767,0.00514995209506347,ITGAV,1,down
GO:0010985,negative regulation of lipoprotein particle clearance,1/6,23/18860,0.0434782608695652,136.666666666667,11.6135343203423,0.00729576546800659,0.0197414830310767,0.00514995209506347,ITGAV,1,down
GO:0045472,response to ether,1/6,23/18860,0.0434782608695652,136.666666666667,11.6135343203423,0.00729576546800659,0.0197414830310767,0.00514995209506347,ITGAM,1,down
GO:0007398,ectoderm development,1/6,24/18860,0.0416666666666667,130.972222222222,11.3656696397312,0.00761196366343009,0.0198949050294195,0.00518997522506597,ITGAM,1,down
GO:0010988,regulation of low-density lipoprotein particle clearance,1/6,24/18860,0.0416666666666667,130.972222222222,11.3656696397312,0.00761196366343009,0.0198949050294195,0.00518997522506597,ITGAV,1,down
GO:1904996,positive regulation of leukocyte adhesion to vascular endothelial cell,1/6,24/18860,0.0416666666666667,130.972222222222,11.3656696397312,0.00761196366343009,0.0198949050294195,0.00518997522506597,ITGB2,1,down
GO:0006869,lipid transport,2/6,461/18860,0.00433839479392625,13.6370209689082,4.9003969759992,0.00837832498534914,0.0216518510857337,0.00564830897888706,ITGAV/RBP2,2,down
GO:0035313,"wound healing, spreading of epidermal cells",1/6,27/18860,0.037037037037037,116.41975308642,10.7062030020803,0.00856005471376431,0.0218756953796199,0.00570670314250954,ITGAV,1,down
GO:0006935,chemotaxis,2/6,474/18860,0.00421940928270042,13.2630098452883,4.82365039677843,0.00884160996575407,0.0220451577877017,0.00575091072722654,ITGAV/ITGB2,2,down
GO:0052372,modulation by symbiont of entry into host,1/6,28/18860,0.0357142857142857,112.261904761905,10.5101880755887,0.00887591727797166,0.0220451577877017,0.00575091072722654,ITGAV,1,down
GO:0042330,taxis,2/6,476/18860,0.00420168067226891,13.2072829131653,4.8121115317887,0.00891391162720114,0.0220451577877017,0.00575091072722654,ITGAV/ITGB2,2,down
GO:0010876,lipid localization,2/6,483/18860,0.0041407867494824,13.015873015873,4.77226763883067,0.00916911688017601,0.022253579738447,0.00580528167089923,ITGAV/RBP2,2,down
GO:2000353,positive regulation of endothelial cell apoptotic process,1/6,29/18860,0.0344827586206897,108.390804597701,10.3243473534637,0.00919169597892378,0.022253579738447,0.00580528167089923,CD248,1,down
GO:0002443,leukocyte mediated immunity,2/6,488/18860,0.00409836065573771,12.8825136612022,4.74431175080181,0.00935344897411849,0.0224093048338255,0.00584590560882406,ITGB2/ITGAM,2,down
GO:0033688,regulation of osteoblast proliferation,1/6,31/18860,0.032258064516129,101.397849462366,9.97986883765222,0.00982300186231533,0.0232916539003353,0.00607608362617443,ITGAV,1,down
GO:0010743,regulation of macrophage derived foam cell differentiation,1/6,35/18860,0.0285714285714286,89.8095238095238,9.38121901619977,0.0110846080536572,0.0260148964524607,0.00678649472672889,ITGAV,1,down
GO:0033687,osteoblast proliferation,1/6,36/18860,0.0277777777777778,87.3148148148148,9.24727643514813,0.0113998002104526,0.0264843843273142,0.00690896982451674,ITGAV,1,down
GO:0010984,regulation of lipoprotein particle clearance,1/6,38/18860,0.0263157894736842,82.719298245614,8.99532266771,0.0120299333793642,0.0270488052778775,0.00705621007248978,ITGAV,1,down
GO:0071404,cellular response to low-density lipoprotein particle stimulus,1/6,39/18860,0.0256410256410256,80.5982905982906,8.87662557825069,0.0123448744270597,0.0270488052778775,0.00705621007248978,ITGB2,1,down
GO:0071604,transforming growth factor beta production,1/6,39/18860,0.0256410256410256,80.5982905982906,8.87662557825069,0.0123448744270597,0.0270488052778775,0.00705621007248978,ITGAV,1,down
GO:0150146,cell junction disassembly,1/6,39/18860,0.0256410256410256,80.5982905982906,8.87662557825069,0.0123448744270597,0.0270488052778775,0.00705621007248978,ITGAM,1,down
GO:1904994,regulation of leukocyte adhesion to vascular endothelial cell,1/6,39/18860,0.0256410256410256,80.5982905982906,8.87662557825069,0.0123448744270597,0.0270488052778775,0.00705621007248978,ITGB2,1,down
GO:0010742,macrophage derived foam cell differentiation,1/6,40/18860,0.025,78.5833333333333,8.76237478921923,0.0126597318072967,0.0270488052778775,0.00705621007248978,ITGAV,1,down
GO:0034383,low-density lipoprotein particle clearance,1/6,40/18860,0.025,78.5833333333333,8.76237478921923,0.0126597318072967,0.0270488052778775,0.00705621007248978,ITGAV,1,down
GO:0055094,response to lipoprotein particle,1/6,40/18860,0.025,78.5833333333333,8.76237478921923,0.0126597318072967,0.0270488052778775,0.00705621007248978,ITGB2,1,down
GO:0044319,"wound healing, spreading of cells",1/6,41/18860,0.024390243902439,76.6666666666667,8.65229789854435,0.0129745055378574,0.0270488052778775,0.00705621007248978,ITGAV,1,down
GO:0090077,foam cell differentiation,1/6,41/18860,0.024390243902439,76.6666666666667,8.65229789854435,0.0129745055378574,0.0270488052778775,0.00705621007248978,ITGAV,1,down
GO:0090505,epiboly involved in wound healing,1/6,41/18860,0.024390243902439,76.6666666666667,8.65229789854435,0.0129745055378574,0.0270488052778775,0.00705621007248978,ITGAV,1,down
GO:0043903,regulation of biological process involved in symbiotic interaction,1/6,42/18860,0.0238095238095238,74.8412698412698,8.54614532832163,0.0132891956365224,0.0270488052778775,0.00705621007248978,ITGAV,1,down
GO:0045429,positive regulation of nitric oxide biosynthetic process,1/6,42/18860,0.0238095238095238,74.8412698412698,8.54614532832163,0.0132891956365224,0.0270488052778775,0.00705621007248978,ITGB2,1,down
GO:0090504,epiboly,1/6,42/18860,0.0238095238095238,74.8412698412698,8.54614532832163,0.0132891956365224,0.0270488052778775,0.00705621007248978,ITGAV,1,down
GO:0043277,apoptotic cell clearance,1/6,44/18860,0.0227272727272727,71.4393939393939,8.3447148483149,0.0139183250092687,0.0280808311590509,0.00732543421540458,ITGAV,1,down
GO:1904407,positive regulation of nitric oxide metabolic process,1/6,45/18860,0.0222222222222222,69.8518518518519,8.24903175130411,0.0142327643188959,0.0284655286377917,0.00742579007942393,ITGB2,1,down
GO:0050919,negative chemotaxis,1/6,46/18860,0.0217391304347826,68.3333333333333,8.15645913774725,0.0145471200677181,0.0288434277204755,0.0075243724488197,ITGAV,1,down
GO:0071402,cellular response to lipoprotein particle stimulus,1/6,47/18860,0.0212765957446809,66.8794326241135,8.06683094323473,0.0148613922735007,0.0292147027598732,0.00762122680692344,ITGB2,1,down
GO:0010883,regulation of lipid storage,1/6,49/18860,0.0204081632653061,64.1496598639456,7.89580325301043,0.0154896861269961,0.0301917610949924,0.00787611158999801,ITGAV,1,down
GO:0032369,negative regulation of lipid transport,1/6,52/18860,0.0192307692307692,60.448717948718,7.65783599588157,0.0164315007784219,0.0317583628490508,0.00828479030844803,ITGAV,1,down
GO:0061756,leukocyte adhesion to vascular endothelial cell,1/6,56/18860,0.0178571428571429,56.1309523809524,7.37051087385385,0.0176860856187014,0.0338983307691778,0.00884304280935072,ITGB2,1,down
GO:0048146,positive regulation of fibroblast proliferation,1/6,57/18860,0.0175438596491228,55.1461988304094,7.30339908216384,0.0179995233705782,0.0342139700432478,0.00892538348954291,CD248,1,down
GO:0010761,fibroblast migration,1/6,58/18860,0.0172413793103448,54.1954022988506,7.23801159248821,0.0183128777746508,0.0345242777718828,0.0090063333317955,CD248,1,down
GO:0002931,response to ischemia,1/6,63/18860,0.0158730158730159,49.8941798941799,6.93451950673278,0.0198784001984629,0.0371709922410281,0.00969678058461604,ITGAM,1,down
GO:0034381,plasma lipoprotein particle clearance,1/6,64/18860,0.015625,49.1145833333333,6.87807967117838,0.0201912548879778,0.0374279846139894,0.00976382207321462,ITGAV,1,down
