ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set,database,category,subcategory
GO:0048708,astrocyte differentiation,3/57,90/18860,0.0333333333333333,11.0292397660819,5.25097943561321,0.00255246479103026,0.0249540969570134,0.0171007238631253,GFAP/TREM2/IL6,3,up_DEPs,GO_BP,,
GO:0051960,regulation of nervous system development,6/57,466/18860,0.0128755364806867,4.26022136887283,3.92360375941727,0.00275504662040898,0.0265906899040944,0.0182222601027488,NEFL/GFAP/TREM2/CTSC/CX3CL1/IL6,6,up_DEPs,GO_BP,,
GO:0010562,positive regulation of phosphorus metabolic process,5/57,320/18860,0.015625,5.16995614035088,4.14223559584501,0.00277343218601861,0.0265906899040944,0.0182222601027488,IL15/PLAUR/TREM2/THPO/IL6,5,up_DEPs,GO_BP,,
GO:0045937,positive regulation of phosphate metabolic process,5/57,320/18860,0.015625,5.16995614035088,4.14223559584501,0.00277343218601861,0.0265906899040944,0.0182222601027488,IL15/PLAUR/TREM2/THPO/IL6,5,up_DEPs,GO_BP,,
GO:0048143,astrocyte activation,2/57,26/18860,0.0769230769230769,25.4520917678813,6.86933336601518,0.0027838628419449,0.0265906899040944,0.0182222601027488,TREM2/IL6,2,up_DEPs,GO_BP,,
GO:0048771,tissue remodeling,4/57,197/18860,0.0203045685279188,6.71831863923769,4.44215718380981,0.00296091027958722,0.0277346740886115,0.0190062178503247,IL15/ACP5/TPP1/IL6,4,up_DEPs,GO_BP,,
GO:0002366,leukocyte activation involved in immune response,5/57,325/18860,0.0153846153846154,5.09041835357625,4.095399743618,0.00296443844394974,0.0277346740886115,0.0190062178503247,CHGA/LGALS9/TNFSF13/TREM2/IL6,5,up_DEPs,GO_BP,,
GO:0050672,negative regulation of lymphocyte proliferation,3/57,95/18860,0.0315789473684211,10.4487534626039,5.08329391026328,0.00297545927592236,0.0277346740886115,0.0190062178503247,LILRB4/LGALS9/IL2RA,3,up_DEPs,GO_BP,,
GO:0043410,positive regulation of MAPK cascade,6/57,474/18860,0.0126582278481013,4.1883188985121,3.87070863600358,0.00299703255359451,0.0277346740886115,0.0190062178503247,LGALS9/TGFA/TREM2/CX3CL1/THPO/IL6,6,up_DEPs,GO_BP,,
GO:0001779,natural killer cell differentiation,2/57,27/18860,0.0740740740740741,24.5094217024042,6.73049893999224,0.00300075483584846,0.0277346740886115,0.0190062178503247,MERTK/IL15,2,up_DEPs,GO_BP,,
GO:0007162,negative regulation of cell adhesion,5/57,326/18860,0.0153374233128834,5.07480357335055,4.08614791907507,0.00300375531645612,0.0277346740886115,0.0190062178503247,LILRB4/LGALS9/IL2RA/CX3CL1/MMP12,5,up_DEPs,GO_BP,,
GO:0002263,cell activation involved in immune response,5/57,329/18860,0.0151975683890578,5.02852876873034,4.05861798388355,0.00312397463064276,0.0281219018134895,0.0192715800634591,CHGA/LGALS9/TNFSF13/TREM2/IL6,5,up_DEPs,GO_BP,,
GO:0032945,negative regulation of mononuclear cell proliferation,3/57,97/18860,0.0309278350515464,10.2333152468801,5.01967473412463,0.00315599936147741,0.0281219018134895,0.0192715800634591,LILRB4/LGALS9/IL2RA,3,up_DEPs,GO_BP,,
GO:0070374,positive regulation of ERK1 and ERK2 cascade,4/57,201/18860,0.0199004975124378,6.58462075586977,4.38258872933064,0.00318231324645724,0.0281219018134895,0.0192715800634591,LGALS9/TREM2/CX3CL1/THPO,4,up_DEPs,GO_BP,,
GO:0032740,positive regulation of interleukin-17 production,2/57,28/18860,0.0714285714285714,23.6340852130326,6.59898170887059,0.00322533105488516,0.0281219018134895,0.0192715800634591,IL15/IL6,2,up_DEPs,GO_BP,,
GO:0042104,positive regulation of activated T cell proliferation,2/57,28/18860,0.0714285714285714,23.6340852130326,6.59898170887059,0.00322533105488516,0.0281219018134895,0.0192715800634591,IGFBP2/IL2RA,2,up_DEPs,GO_BP,,
GO:1905523,positive regulation of macrophage migration,2/57,28/18860,0.0714285714285714,23.6340852130326,6.59898170887059,0.00322533105488516,0.0281219018134895,0.0192715800634591,TREM2/CX3CL1,2,up_DEPs,GO_BP,,
GO:0002700,regulation of production of molecular mediator of immune response,4/57,202/18860,0.0198019801980198,6.55202362341497,4.36794972254143,0.00323938269939494,0.0281219018134895,0.0192715800634591,LILRB4/TNFSF13/ACP5/IL6,4,up_DEPs,GO_BP,,
GO:0002534,cytokine production involved in inflammatory response,3/57,98/18860,0.0306122448979592,10.1288936627283,4.98855546613383,0.0032487395596811,0.0281219018134895,0.0192715800634591,LILRB4/TREM2/IL6,3,up_DEPs,GO_BP,,
GO:0071677,positive regulation of mononuclear cell migration,3/57,98/18860,0.0306122448979592,10.1288936627283,4.98855546613383,0.0032487395596811,0.0281219018134895,0.0192715800634591,LGALS9/TREM2/CX3CL1,3,up_DEPs,GO_BP,,
GO:1900015,regulation of cytokine production involved in inflammatory response,3/57,98/18860,0.0306122448979592,10.1288936627283,4.98855546613383,0.0032487395596811,0.0281219018134895,0.0192715800634591,LILRB4/TREM2/IL6,3,up_DEPs,GO_BP,,
GO:1990868,response to chemokine,3/57,98/18860,0.0306122448979592,10.1288936627283,4.98855546613383,0.0032487395596811,0.0281219018134895,0.0192715800634591,TREM2/CX3CL1/THPO,3,up_DEPs,GO_BP,,
GO:1990869,cellular response to chemokine,3/57,98/18860,0.0306122448979592,10.1288936627283,4.98855546613383,0.0032487395596811,0.0281219018134895,0.0192715800634591,TREM2/CX3CL1/THPO,3,up_DEPs,GO_BP,,
GO:0002275,myeloid cell activation involved in immune response,3/57,102/18860,0.0294117647058824,9.73168214654283,4.8684187142575,0.0036363904564387,0.0313144090082959,0.0214593644606854,CHGA/LGALS9/TREM2,3,up_DEPs,GO_BP,,
GO:0043032,positive regulation of macrophage activation,2/57,30/18860,0.0666666666666667,22.0584795321637,6.35544059093745,0.00369734930003746,0.0315127924957039,0.0215953141303133,TREM2/CTSC,2,up_DEPs,GO_BP,,
GO:0060964,regulation of miRNA-mediated gene silencing,2/57,30/18860,0.0666666666666667,22.0584795321637,6.35544059093745,0.00369734930003746,0.0315127924957039,0.0215953141303133,ELOB/IL6,2,up_DEPs,GO_BP,,
GO:0048545,response to steroid hormone,5/57,343/18860,0.0145772594752187,4.82328269653726,3.93442565322354,0.00373148031694395,0.0315317854569351,0.0216083297640153,NEFL/IGFBP2/IL22/GLB1/IL6,5,up_DEPs,GO_BP,,
GO:0034109,homotypic cell-cell adhesion,3/57,103/18860,0.029126213592233,9.63719979560552,4.83941731507807,0.00373752210289784,0.0315317854569351,0.0216083297640153,PLAUR/PDIA3/IL6,3,up_DEPs,GO_BP,,
GO:1900368,regulation of post-transcriptional gene silencing by regulatory ncRNA,2/57,31/18860,0.0645161290322581,21.3469156762875,6.24236256539151,0.00394469840089659,0.0329469477589937,0.0225781224113188,ELOB/IL6,2,up_DEPs,GO_BP,,
GO:0070664,negative regulation of leukocyte proliferation,3/57,105/18860,0.0285714285714286,9.45363408521303,4.78258553365395,0.00394491131410334,0.0329469477589937,0.0225781224113188,LILRB4/LGALS9/IL2RA,3,up_DEPs,GO_BP,,
GO:0032496,response to lipopolysaccharide,5/57,350/18860,0.0142857142857143,4.72681704260652,3.87482480017057,0.00406516626746303,0.0337815316826178,0.0231500521126052,LGALS9/ACP5/TREM2/CX3CL1/IL6,5,up_DEPs,GO_BP,,
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,4/57,217/18860,0.0184331797235023,6.09911876465357,4.15958764463382,0.00418121187847859,0.0345526992276293,0.0236785233797548,MERTK/TREM2/CX3CL1/THPO,4,up_DEPs,GO_BP,,
GO:0060147,regulation of post-transcriptional gene silencing,2/57,32/18860,0.0625,20.6798245614035,6.13447360212246,0.00419954587483822,0.0345526992276293,0.0236785233797548,ELOB/IL6,2,up_DEPs,GO_BP,,
GO:0001960,negative regulation of cytokine-mediated signaling pathway,3/57,108/18860,0.0277777777777778,9.19103313840156,4.70013084882323,0.00426894077561239,0.034609656434477,0.0237175554259954,TREM2/MMP12/IL6,3,up_DEPs,GO_BP,,
GO:0010586,miRNA metabolic process,3/57,108/18860,0.0277777777777778,9.19103313840156,4.70013084882323,0.00426894077561239,0.034609656434477,0.0237175554259954,LILRB4/ELOB/IL6,3,up_DEPs,GO_BP,,
GO:0050764,regulation of phagocytosis,3/57,108/18860,0.0277777777777778,9.19103313840156,4.70013084882323,0.00426894077561239,0.034609656434477,0.0237175554259954,MERTK/IL15/TREM2,3,up_DEPs,GO_BP,,
GO:0050829,defense response to Gram-negative bacterium,3/57,109/18860,0.0275229357798165,9.1067117334621,4.67335688258998,0.00438043681363269,0.0353411940983375,0.0242188688418527,CHGA/TREM2/IL6,3,up_DEPs,GO_BP,,
GO:0048710,regulation of astrocyte differentiation,2/57,33/18860,0.0606060606060606,20.0531632110579,6.03137985888051,0.00446184576468278,0.0356518637543403,0.0244317667883946,TREM2/IL6,2,up_DEPs,GO_BP,,
GO:0060966,regulation of gene silencing by regulatory ncRNA,2/57,33/18860,0.0606060606060606,20.0531632110579,6.03137985888051,0.00446184576468278,0.0356518637543403,0.0244317667883946,ELOB/IL6,2,up_DEPs,GO_BP,,
GO:0014013,regulation of gliogenesis,3/57,110/18860,0.0272727272727273,9.02392344497608,4.646925053083,0.00449368979657258,0.0357345092914049,0.0244884027191717,GFAP/TREM2/IL6,3,up_DEPs,GO_BP,,
GO:0043367,"CD4-positive, alpha-beta T cell differentiation",3/57,111/18860,0.027027027027027,8.94262683736368,4.62082774077424,0.00460870784822437,0.0364746306845186,0.0249955984550314,LGALS9/CD83/IL6,3,up_DEPs,GO_BP,,
GO:0060761,negative regulation of response to cytokine stimulus,3/57,113/18860,0.0265486725663717,8.7843502561714,4.56960736638559,0.00484407106590476,0.0381556687750413,0.0261475923836815,TREM2/MMP12/IL6,3,up_DEPs,GO_BP,,
GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,2/57,35/18860,0.0571428571428571,18.9072681704261,5.83820112459929,0.00500861996662737,0.0385385480765495,0.0264099746778305,CTSF/TREM2,2,up_DEPs,GO_BP,,
GO:0002719,negative regulation of cytokine production involved in immune response,2/57,35/18860,0.0571428571428571,18.9072681704261,5.83820112459929,0.00500861996662737,0.0385385480765495,0.0264099746778305,LILRB4/ACP5,2,up_DEPs,GO_BP,,
GO:0032633,interleukin-4 production,2/57,35/18860,0.0571428571428571,18.9072681704261,5.83820112459929,0.00500861996662737,0.0385385480765495,0.0264099746778305,LGALS9/CD83,2,up_DEPs,GO_BP,,
GO:0032673,regulation of interleukin-4 production,2/57,35/18860,0.0571428571428571,18.9072681704261,5.83820112459929,0.00500861996662737,0.0385385480765495,0.0264099746778305,LGALS9/CD83,2,up_DEPs,GO_BP,,
GO:0071634,regulation of transforming growth factor beta production,2/57,35/18860,0.0571428571428571,18.9072681704261,5.83820112459929,0.00500861996662737,0.0385385480765495,0.0264099746778305,LGALS9/CX3CL1,2,up_DEPs,GO_BP,,
GO:0048872,homeostasis of number of cells,5/57,369/18860,0.013550135501355,4.48343079922027,3.72068887949627,0.00507830696729523,0.0388946828555054,0.0266540292923281,MERTK/LGALS9/IL2RA/TNFSF13/IL6,5,up_DEPs,GO_BP,,
GO:0032963,collagen metabolic process,3/57,116/18860,0.0258620689655172,8.55716878402904,4.49510834435116,0.00521055028456538,0.0395655519441194,0.0271137673085928,MMP1/MMP12/IL6,3,up_DEPs,GO_BP,,
GO:0001934,positive regulation of protein phosphorylation,4/57,231/18860,0.0173160173160173,5.72947520315941,3.98205593758512,0.00521351135725761,0.0395655519441194,0.0271137673085928,IL15/PLAUR/THPO/IL6,4,up_DEPs,GO_BP,,
GO:0030316,osteoclast differentiation,3/57,117/18860,0.0256410256410256,8.48403058929375,4.47087077458197,0.00533632281880284,0.0403134932947742,0.0276263219614578,LILRB4/OSCAR/TREM2,3,up_DEPs,GO_BP,,
GO:0002685,regulation of leukocyte migration,4/57,233/18860,0.0171673819742489,5.6802951584971,3.95788280724489,0.00537370737886423,0.0404122247224993,0.0276939813476118,LGALS9/TREM2/CX3CL1/IL6,4,up_DEPs,GO_BP,,
GO:0002237,response to molecule of bacterial origin,5/57,375/18860,0.0133333333333333,4.41169590643275,3.67417134588504,0.00543251260109555,0.0406116621943282,0.027830653299299,LGALS9/ACP5/TREM2/CX3CL1/IL6,5,up_DEPs,GO_BP,,
GO:0002444,myeloid leukocyte mediated immunity,3/57,118/18860,0.0254237288135593,8.4121320249777,4.44692052993368,0.00546391403936591,0.0406116621943282,0.027830653299299,CHGA/LGALS9/IL6,3,up_DEPs,GO_BP,,
GO:0002285,lymphocyte activation involved in immune response,4/57,235/18860,0.0170212765957447,5.63195222097798,3.93398814139606,0.0055371754474942,0.0406116621943282,0.027830653299299,LGALS9/TNFSF13/TREM2/IL6,4,up_DEPs,GO_BP,,
GO:0050769,positive regulation of neurogenesis,4/57,235/18860,0.0170212765957447,5.63195222097798,3.93398814139606,0.0055371754474942,0.0406116621943282,0.027830653299299,NEFL/GFAP/CX3CL1/IL6,4,up_DEPs,GO_BP,,
