analysis,analysis_label,cell_type,size,NES,ES,pval,padj,leading_edge,log2err
pre,Pre-onset vs HC,Smooth muscle,138,-0.951042272116648,-0.208885949390662,0.565749235474006,0.706930693069307,"RET,CD248,FAP,TFAP2A,TGFBI,ACHE,CDH15,IL34,CSPG4,CTF1,CORO6,NMRK2,AMIGO2,C1QTNF1,INPP5J,CRTAC1,PRELP,SFTPD,SCN4B,GLT8D2,GH1,NGFR,APOB,EGFLAM,DMP1,ENPP5,CES1,TNFRSF11B,FZD10,NXPH3,CASQ2,FAM20A,ASPN,MYL3,POSTN,HRC,EPHA2,MYOC,MFAP4,ITIH1,ITGB1BP2",0.0596037042575973
pre,Pre-onset vs HC,T-cells,156,-1.39331082962502,-0.301247184791237,0.0131335564083725,0.0295505019188381,"PTPRC,GZMA,KIR3DL1,CD8A,CTLA4,PGLYRP2,FASLG,ITGB2,KLRD1,NELL2,ITGAL,LY9,CRTAM,CD244,IRAG2,GZMH,KLRB1,KIR3DL2,ARHGAP25,FLI1,CSF2,FCRL6,KLRF1,IL7R,ITGB7,KLRK1,CRACR2A,DRAXIN,GATA3,CD48,PLSCR3,CD84,IL17A,TIGIT,FGFBP2,CD160,FLT3LG,IL16,IL12RB2,WAS,CA6,KIR2DL3,GNLY,TNFRSF13C,PLCB2,TXK,CD200R1,CD69,IPCEF1",0.380730400722792
pre,Pre-onset vs HC,dendritic cells,128,-1.02924527615144,-0.229368514634778,0.390551181102362,0.585826771653543,"PTPRC,GZMA,RET,DKK4,ITGB2,ADGRE2,ITGAL,LY9,TGFBI,SERPINF2,ADA,BLNK,GZMH,ZHX2,TCL1A,PROC,THBD,IL7R,ITGB7,CDH23,CD48,LILRB1,CD84,CLEC4A,SERPINB9,PADI4,SEMA7A,IL16,WAS,ICOSLG,GNLY,TNFRSF13C,ADA2,PLCB2",0.0795564677235957
pre,Pre-onset vs HC,granulocytes,121,0.999813041821579,0.206382820046941,0.445652173913043,0.617056856187291,"OSM,SFTPA2,IL5RA,CLC,KRT6C,LRRC25,RAB27B,CCL23,LY6D,CAMKK1,KLK13,TPSG1,CCL4,CD226,CD83,CSF1,SCG2,PRG2,CCN3,SPINK5,LAIR1,CHIT1,GMFG,ADAM8,DSG3,SFTPA1,TNF,VWA5A,PROCR,TPSD1,CD300C",0.103197466945307
pre,Pre-onset vs HC,monocytes,193,-1.0444634104475,-0.218749761606558,0.345588235294118,0.576601671309192,"PTPRC,CDA,GZMA,KYNU,CTLA4,PGLYRP2,ITGB2,KLRD1,ADGRE2,ITGAL,CR1,PCDH12,HMOX1,CRTAM,CD244,IRAG2,ITGAM,ADA,GZMH,CSF1R,CFD,FLI1,TLR2,IL7R,PLB1,CFP,ADAMTSL4,CD80,CDH23,CD33,CD48,CSF3R,CLEC7A,LILRB1,TLR4,SFTPD,SERPINA1,CLEC4A,CD163,SERPINB9,PADI4,CD86,TLR1,PECAM1,IL16,WAS,ICOSLG,ICAM4,GNLY,CXCL10,VNN2,ADA2,PLCB2",0.0824344091527096
post,Post-onset vs HC,Astrocytes,195,1.12220189756587,0.221253434536107,0.193236714975845,0.347826086956522,"NEFL,GFAP,IL17RB,FGF2,PTPRM,MERTK,FGFR2,ADAMTSL2,CDH2,MYBPC1,PLIN1,CDH4,PCDH17,PAMR1,GASK1A,GP6,ADAMTS13,SORBS1,MASP1,SERPINE2,GRIK2,LCAT,HEPH,BMPER,PLXNB3,CNTN3,LTA,KLKB1,PTH1R,GAS2,CSPG5,ENTPD2,PXDNL,NCS1,PRKCQ,AGT,SNED1,THBS4,NCAM1,PDE4D,GFRA1,PRTFDC1,C1QL2,ANGPT1,LAMA1,DCUN1D2,CACNA1C,MFAP3L",0.155241966228839
post,Post-onset vs HC,B-cells,122,1.07839758529911,0.228374527265798,0.262411347517731,0.429400386847195,"CLEC7A,CD83,CD80,IL2RA,SLAMF8,IL18BP,IFI30,TNFSF8,LAT2,CD22,SIGLEC10,CD84,EVI2B,FLI1,IL2RG,GRAP2,LTA,DAPP1,SIT1,RAB39B,CD86,CD200R1",0.129442887745046
post,Post-onset vs HC,Endothelial,260,0.922779520585207,0.176122584436234,0.703324808184143,0.744696855724387,"TEK,IL15,IL18R1,PLA2G4A,CEACAM1,KDR,IL1RL1,KYNU,CXCL10,FLT4,IGFBP3,BTC,ADGRF5,BHMT2,IL15RA,ICAM1,LRRC38,IL4R,GIMAP8,IL3RA,GP6,PTPRB,ADM,TIE1,GATA3,FLI1,CXCL3,CCL23,CXCL9,PCDH12,TNFRSF4,LTA,ACE,ICAM5,HS6ST2,TNFRSF11B,KRT8,ENTPD2,SEMA3F,MYOM3,ROBO4,TNFSF10,SCARF2,SNED1,RNASE10,HSD17B14",0.0741758965588009
post,Post-onset vs HC,Excitatory neurons,251,-1.37027440468781,-0.27356206393865,0.0112576795282444,0.0675460771694666,"OMG,BCAN,FAP,ITGA11,CRTAC1,AMY2B,EXTL1,THY1,CNTNAP4,PTPRN2,ENPP5,VGF,AMIGO1,NPTXR,NELL2,CACNB1,LRTM2,SNAP25,GPR158,DLG4,SCN4B,ADAMTS8,NRXN3,LRRN1,CNTN5,FGF12,TNR,PDZD2,PTPRR,PCDH7,VWC2L,FLRT2,NTRK3,VWC2,TAFA5,SUSD4,SYT1,ART3,CIT,MAP2,SCN2A,EPHB6,NCAN,SCG2,DIABLO,RAB6B,CA7,DPP6,CDH6,GABRA4",0.380730400722792
post,Post-onset vs HC,Fibroblasts,79,1.03280720018062,0.236128693606067,0.38963963963964,0.467567567567568,"FABP4,CES1,CXCL10,PAMR1,LRRC38,THPO,FOLR1,HSD11B1,KLK1,CILP,ITGBL1,SERPIND1,C7,CCL21,TNFRSF11B,ENTPD2,PDGFRA,LTBP2,C1S,CCL19,GFRA1,CPXM1,ANGPT1,LAMA1,ADH1B",0.0999276973731092
post,Post-onset vs HC,Inhibitory neurons,257,-1.25029538633897,-0.247844458677888,0.0608,0.156342857142857,"BCAN,CRTAC1,AMY2B,EXTL1,THY1,CNTNAP4,PTPRN2,VGF,AMIGO1,DNER,WIF1,NPTXR,NELL2,ZNF75D,LRTM2,FBN2,SNAP25,MEPE,GPR158,JAM2,SCN4B,NRXN3,LRRN1,CNTN5,FGF12,TNR,PDZD2,PTPRR,PCDH7,VWC2L,FLRT2,CRH,NTRK3,VWC2,TAFA5,SUSD4,SYT1,CIT,MAP2,SCN2A,NCAN,SCG2,DIABLO,RAB6B,DPP6,CDH6,GABRA4,CALB1,KIT",0.231126709673834
post,Post-onset vs HC,Macrophages,247,1.82193511618616,0.351221690846692,1.27842812504022e-06,1.60653707942491e-05,"TNFSF13,TREM2,CLEC7A,LILRB4,CD4,CD83,ACP5,IL1RN,CD80,IL2RA,MERTK,IL18R1,FABP4,CD33,SIGLEC1,CD163,OSCAR,SLAMF8,IL18BP,KYNU,CXCL10,IFI30,ASGR2,SELPLG,SIGLEC7,TNFSF8,LAT2,SH2B3,LILRA2,ADGRE1,SIGLEC10,OTOA,GIMAP8,CCL8,CCL7,SIGLEC8,AIF1,IL3RA,CD84,IL10,MILR1,PLA2G7,CSF2RA,HAVCR2,EVI2B,CD300C,LRRC25,FLI1,CXCL3,CSF1R,CXCL9,MARCO,ADA2,KRT6C,DAPP1,GFRA2,IL1R2,CD86,CD200R1,CD48,TNFRSF1B,SIGLEC9,SIRPB1,AGRP,PDGFB,VSTM1,CD28,CD300A,MMP1,CCL3,PDCD1LG2,FCER1A",0.643551836150722
post,Post-onset vs HC,Microglial cells,197,1.36959132634919,0.270314138645778,0.028644356000095,0.119756124105659,"NEFL,LILRB4,TEK,PTPRM,MERTK,FGF5,PLA2G4A,KIRREL1,CD33,ST6GAL1,ADAMTSL2,GGT5,CDH2,ADGRF5,CDH4,LILRA2,PAMR1,GASK1A,SIGLEC10,GIMAP8,SIGLEC8,PTPRB,ADAMTS13,SORBS1,HSD11B1,CD84,HAVCR1,MILR1,CSF2RA,HAVCR2,TIE1,GRIK2,FLI1,ITGBL1,ELAVL4,CSF1R,BMPER,C7,PCDH12",0.352487857583619
post,Post-onset vs HC,NK-cells,145,0.872601371656009,0.179053057776903,0.795724465558195,0.795724465558195,"IL2RA,IL18R1,F2R,FLT3LG,SELPLG,SIGLEC7,GHRL,TNFSF8,LAT2,NCR1,HAVCR2,EVI2B,B3GNT7,FLI1,SH2D1A,IL2RG,GRAP2,TNFRSF4,LTA,RAB39B,SKAP1,IL2RB,PRKCQ,CD48,TNFRSF1B,CD300A,CCL3,MYOM2,CD72",0.0643583367917361
post,Post-onset vs HC,Oligodendrocyte precursor cells,223,-1.17270486729318,-0.237599188709221,0.148397976391231,0.33389544688027,"OMG,BCAN,CRTAC1,AMY2B,EXTL1,SCRG1,CNTNAP4,PTPRN2,DNER,NPTXR,CHAD,NELL2,FBN2,SNAP25,GPR158,JAM2,NRXN3,LRRN1,CNTN5,FGF12,PZP,TNR,PDZD2,LAMA4,PCDH7,VWC2L,FLRT2,ZHX2,NTRK3,VWC2,TAFA5,SUSD4,CIT,MAP2,SCN2A,NCAN,SCG2,ADGRG2,DPP6,CDH6",0.147331213699377
post,Post-onset vs HC,Oligodendrocytes,168,-1.0580181894425,-0.222834211704235,0.331623931623932,0.448787061994609,"OMG,CA14,AMY2B,SCRG1,CNTNAP4,DNER,ITGA2,KLK6,ZNF75D,TF,DAPK2,LAYN,SNAP25,GPR158,DIPK2B,NRXN3,CNTN5,PZP,PDZD2,ZHX2,TAFA5,EDA2R,AMPD3,DIABLO,ADGRG2,DPP6,RASSF2,LRIG1,GPIHBP1",0.0931454575337804
post,Post-onset vs HC,Pericytes,91,1.07269998964715,0.239432436113825,0.297539149888143,0.446308724832215,"FABP4,SSC5D,PLIN1,ADGRF5,SUSD2,PAMR1,THPO,ENPEP,ADAMTS16,SERPIND1,C7,GFRA2,KLKB1,PTH1R,ANPEP,GGT1,PXDNL,UPB1,SCARF2,KLHL41",0.116739204791222
post,Post-onset vs HC,Plasma cells,118,1.00900128593653,0.214280209456253,0.431603773584906,0.485554245283019,"LILRB4,MERTK,F2R,ST6GAL1,F9,SELPLG,TNFSF8,GPR101,IFNLR1,EVI2B,BTN1A1,FLI1,PGLYRP2,CLSPN,IL2RG,ADA2,TNFRSF4,DAPP1,SIT1,RAB39B,CD48,RRM2,CD28,CCL3",0.0965629554309422
post,Post-onset vs HC,Smooth muscle,138,-1.14951286549647,-0.248024769781182,0.170283806343907,0.340567612687813,"FAP,CRTAC1,ENPP5,IL34,CALCB,MYOC,SMOC2,TGM2,SLC51B,CD248,SOD3,CA9,SCN4B,GMPR,CD177,CALCA,OBP2B,ACHE,HSPG2,ADAMTSL5,RBPMS2,LMOD1,ART3,NGFR,GABRA4,SRPX,HTR1B,PGR,NCR3LG1,FNDC1,WFDC1,COL28A1,CSPG4,DMP1",0.135740943810425
post,Post-onset vs HC,T-cells,156,1.03716999143921,0.21158697316809,0.349056603773585,0.448787061994609,"CD4,IL2RA,IL18R1,F2R,FLT3LG,SELPLG,TNFSF8,LAT2,NCR1,TPSAB1,CD84,IL10,EVI2B,GATA3,FLI1,PGLYRP2,SH2D1A,IL2RG,GRAP2,TNFRSF4,LTA,SIT1,RAB39B,CD200R1,SKAP1,IL2,IL2RB,PRKCQ,CD48,TNFRSF1B,CD28,CD300A",0.109684061970549
post,Post-onset vs HC,dendritic cells,128,1.29028842728721,0.271453704109422,0.0598086124401914,0.156342857142857,"LILRB4,CD4,CD83,HS3ST3B1,IL18R1,IL18BP,SELPLG,AMN,GHRL,TNFSF8,SH2B3,PROC,SERPINF2,IL3RA,CD84,MILR1,CSF2RA,IFNLR1,EVI2B,UPK3A,CD300C,LRRC25,IL2RG,ADA2,LTA,SIT1,CD48,TNFRSF1B,SIRPB1,PDGFB,CD28,CD300A,FCER1A,CD72,IGLON5",0.287857117255149
