gene,Microglial cells,Astrocytes,Oligodendrocytes,Oligodendrocyte precursor cells,Excitatory neurons,Inhibitory neurons,T-cells,B-cells,NK-cells,monocytes,dendritic cells,Macrophages,Plasma cells,granulocytes,logFC,direction
IL15,0.083011583011583,,,0.0501930501930502,0.0347490347490348,0.0849420849420849,0.0868725868725869,0.166023166023166,0.148648648648649,1,0.0193050193050193,0.301158301158301,0.162162162162162,,0.0824486371536118,Up in MS
MMP12,,,,,,,,,,,,1,,,0.0811059359925805,Up in MS
TGFA,0.11310592459605,,0.603231597845602,1,,0.0610412926391382,0.0287253141831239,,0.0394973070017953,,,0.0789946140035907,,0.156193895870736,0.0802867277725989,Up in MS
AMN,,,,,,,0.0371428571428571,0.114285714285714,,,1,0.0171428571428571,0.0619047619047619,0.0638095238095238,0.0740815960290156,Up in MS
MERTK,0.771576898118105,1,,0.063595068137573,0.0304996755353666,0.0428293316028553,0.00584036340038936,0.018170019467878,,0.199221284879948,,0.401687216093446,0.172615184944841,0.0214146658014276,0.0728882224358866,Up in MS
CD302,,,,,,,0.0215336134453781,0.0346638655462185,0.0115546218487395,0.955357142857143,0.320903361344538,1,0.0362394957983193,0.13813025210084,0.0721445932797536,Up in MS
CTSC,0.0810885481420086,,,0.0171294377676475,0.00359165630611963,0.0103605470368835,0.242574941290233,0.0708661417322835,0.437905788092278,1,0.587512087304876,0.64235391628678,0.112722751761293,0.163144080674126,0.0703908719938579,Up in MS
LTO1,0,0.528846153846154,1,0.163461538461539,0.865384615384616,0.615384615384615,0.278846153846154,0.384615384615385,0.509615384615385,0.375,0.317307692307692,0.240384615384616,0.461538461538462,0.0576923076923078,0.0684033071979107,Up in MS
LGALS9,0.107400722021661,0.00676895306859206,,0.013086642599278,,,0.0699458483754513,0.203519855595668,0.120487364620939,1,0.134476534296029,0.72202166064982,0.0103790613718412,0.110559566787004,0.0668662546313438,Up in MS
IL2RA,0.0714285714285714,,,,,,1,0.48015873015873,0.484126984126984,,,0.464285714285714,,0.857142857142857,0.0664472379646929,Up in MS
