cell_type,n_universe,n_markers,n_DEPs,n_DEP_markers,odds_ratio,p_overrep,p_twosided,overlap_genes,p_adj,analysis,analysis_label,direction,fdr_threshold,log2_OR
Oligodendrocyte precursor cells,2911,1015,22,5,0.547276986484182,0.927404713307166,0.268778224550485,"CRKL,LIFR,NEFL,SMAD1,TEK",0.687592593100049,post,Post-onset vs HC,up,0.05,-0.86965690375985
Smooth muscle,2911,724,22,3,0.474850246052651,0.938451509793724,0.321858697224946,"CD4,DBNL,IL6",0.687592593100049,post,Post-onset vs HC,up,0.05,-1.07445549374155
Plasma cells,2911,1224,22,6,0.514581929053854,0.951272168744565,0.195522429049616,"CD83,CRKL,DBNL,LILRB4,LTO1,TPP1",0.687592593100049,post,Post-onset vs HC,up,0.05,-0.958527301092289
T-cells,2911,1271,22,6,0.481540256239009,0.96470847862575,0.135166846389498,"CD4,CD83,CRKL,DBNL,LGALS9,TPP1",0.687592593100049,post,Post-onset vs HC,up,0.05,-1.05427168404872
Fibroblasts,2911,173,17,2,2.12240044400857,0.267980826207025,0.267980826207025,"ITGA11,MXRA8",0.500918334984889,post,Post-onset vs HC,down,0.05,1.08569688249271
Pericytes,2911,321,17,3,1.73543974289041,0.286871281881027,0.423283622004409,"GPC1,MXRA8,PRR4",0.586085015083028,post,Post-onset vs HC,down,0.05,0.795301273468268
Excitatory neurons,2911,1114,17,8,1.43678339510594,0.304807808414493,0.462556371285345,"BCAN,CRTAC1,FAP,GPC1,ITGA11,ITGAV,OMG,SEZ6L2",0.594715334509729,post,Post-onset vs HC,down,0.05,0.522842582073137
Microglial cells,2911,1150,17,7,1.07232690525015,0.535603952547106,1,"COL15A1,FAP,HPGDS,ITGA11,ITGAM,ITGAV,ITGB2",1,post,Post-onset vs HC,down,0.05,0.100744787033695
Inhibitory neurons,2911,1145,17,6,0.840523418286881,0.717969314982299,0.808148757386719,"BCAN,CRTAC1,GPC1,ITGAV,OMG,SEZ6L2",0.855686919585938,post,Post-onset vs HC,down,0.05,-0.250640079143126
Oligodendrocyte precursor cells,2911,1015,17,5,0.777272878111124,0.762380665575814,0.800401245762061,"BCAN,CRTAC1,GPC1,ITGAV,OMG",0.855686919585938,post,Post-onset vs HC,down,0.05,-0.36350691866781
Smooth muscle,2911,724,17,3,0.645934936541325,0.834135630417607,0.778153525873409,"GPC1,ITGAV,MXRA8",0.855686919585938,post,Post-onset vs HC,down,0.05,-0.630539241820328
Macrophages,2911,1416,17,6,0.574190203045321,0.91223978377806,0.333945556656593,"CA6,HPGDS,ITGAM,ITGAV,ITGB2,PRR4",0.500918334984889,post,Post-onset vs HC,down,0.05,-0.800399379700173
Oligodendrocytes,2911,1062,17,4,0.534057577618573,0.918365079937337,0.320803889097445,"CA14,ITGAV,OMG,SEZ6L2",0.500918334984889,post,Post-onset vs HC,down,0.05,-0.904932805283842
Astrocytes,2911,1116,17,4,0.493190577691167,0.939236286276509,0.316828340825943,"BCAN,GPC1,ITGAV,OMG",0.500918334984889,post,Post-onset vs HC,down,0.05,-1.01978285728789
granulocytes,2911,1277,17,4,0.391926323816437,0.977299830835624,0.139229023446788,"HPGDS,ITGAM,ITGAV,ITGB2",0.313265302755274,post,Post-onset vs HC,down,0.05,-1.35134561976804
monocytes,2911,1227,17,3,0.292472851803907,0.992348823451749,0.0480901850358714,"ITGAM,ITGAV,ITGB2",0.123660475806527,post,Post-onset vs HC,down,0.05,-1.7736253792019
Endothelial,2911,1019,17,2,0.246175972862895,0.993423315753089,0.0441512273844885,"ITGAV,PRR4",0.123660475806527,post,Post-onset vs HC,down,0.05,-2.02223813535221
T-cells,2911,1271,17,3,0.274891673345317,0.994545151755062,0.0464836898192554,"CA6,ITGAM,ITGB2",0.123660475806527,post,Post-onset vs HC,down,0.05,-1.86306488758308
NK-cells,2911,1142,17,2,0.205228505785801,0.997537542296019,0.0229104222045591,"ITGAM,ITGB2",0.103096899920516,post,Post-onset vs HC,down,0.05,-2.2846969628723
B-cells,2911,1205,17,2,0.187500226228228,0.998559551420989,0.0125621743779012,"CA6,ITGB2",0.075373046267407,post,Post-onset vs HC,down,0.05,-2.4150357585954
Plasma cells,2911,1224,17,2,0.182512350864678,0.998780331387777,0.0120056475193268,"CA6,ITGB2",0.075373046267407,post,Post-onset vs HC,down,0.05,-2.45393399841084
dendritic cells,2911,1115,17,1,0.0999067197168619,0.999735861968676,0.00461439571610422,ITGB2,0.075373046267407,post,Post-onset vs HC,down,0.05,-3.32327447295663
granulocytes,2912,1277,3,1,0.639985441361987,0.823140078113991,1,CLC,1,preVsPost,Pre vs post-onset,up,0.05,-0.643889008389976
Macrophages,2912,1416,3,1,0.528028804695958,0.864544445450678,1,CLEC5A,1,preVsPost,Pre vs post-onset,up,0.05,-0.921311462162512
Endothelial,2912,1019,3,0,0,1,0.556145507792699,"",0.772889301250816,preVsPost,Pre vs post-onset,up,0.05,-6.64385618977472
Pericytes,2912,321,3,0,0,1,1,"",1,preVsPost,Pre vs post-onset,up,0.05,-6.64385618977472
Smooth muscle,2912,724,3,0,0,1,1,"",1,preVsPost,Pre vs post-onset,up,0.05,-6.64385618977472
Fibroblasts,2912,173,3,0,0,1,1,"",1,preVsPost,Pre vs post-onset,up,0.05,-6.64385618977472
Microglial cells,2912,1150,3,0,0,1,0.282880679952133,"",0.524045869966515,preVsPost,Pre vs post-onset,up,0.05,-6.64385618977472
Astrocytes,2912,1116,3,0,0,1,0.29065386691632,"",0.524045869966515,preVsPost,Pre vs post-onset,up,0.05,-6.64385618977472
Oligodendrocytes,2912,1062,3,0,0,1,0.558197828681145,"",0.772889301250816,preVsPost,Pre vs post-onset,up,0.05,-6.64385618977472
Oligodendrocyte precursor cells,2912,1015,3,0,0,1,0.556016944396695,"",0.772889301250816,preVsPost,Pre vs post-onset,up,0.05,-6.64385618977472
Excitatory neurons,2912,1114,3,0,0,1,0.291136594425842,"",0.524045869966515,preVsPost,Pre vs post-onset,up,0.05,-6.64385618977472
Inhibitory neurons,2912,1145,3,0,0,1,0.283972479341339,"",0.524045869966515,preVsPost,Pre vs post-onset,up,0.05,-6.64385618977472
T-cells,2912,1271,3,0,0,1,0.261854782541402,"",0.524045869966515,preVsPost,Pre vs post-onset,up,0.05,-6.64385618977472
B-cells,2912,1205,3,0,0,1,0.272038775806811,"",0.524045869966515,preVsPost,Pre vs post-onset,up,0.05,-6.64385618977472
NK-cells,2912,1142,3,0,0,1,0.284636052714033,"",0.524045869966515,preVsPost,Pre vs post-onset,up,0.05,-6.64385618977472
monocytes,2912,1227,3,0,0,1,0.268301530571798,"",0.524045869966515,preVsPost,Pre vs post-onset,up,0.05,-6.64385618977472
dendritic cells,2912,1115,3,0,0,1,0.290894876765282,"",0.524045869966515,preVsPost,Pre vs post-onset,up,0.05,-6.64385618977472
Plasma cells,2912,1224,3,0,0,1,0.268790982291498,"",0.524045869966515,preVsPost,Pre vs post-onset,up,0.05,-6.64385618977472
