ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set
GO:0050870,positive regulation of T cell activation,5/36,267/18860,0.0187265917602996,9.81065334997919,6.34079385499488,0.000144194817093411,0.00616691490613479,0.00407667684023038,LILRB4/LGALS9/IL15/IGFBP2/IL2RA,5,up_DEPs
GO:0045621,positive regulation of lymphocyte differentiation,4/36,141/18860,0.0283687943262411,14.8620961386919,7.22523145987039,0.000146421973882521,0.00616691490613479,0.00407667684023038,LILRB4/LGALS9/IL15/IL2RA,4,up_DEPs
GO:0032692,negative regulation of interleukin-1 production,3/36,54/18860,0.0555555555555556,29.1049382716049,9.04452832820623,0.000148169455076975,0.00616691490613479,0.00407667684023038,LILRB4/ACP5/CX3CL1,3,up_DEPs
GO:0030098,lymphocyte differentiation,6/36,441/18860,0.0136054421768707,7.12773998488284,5.69431152875033,0.00016969993046484,0.00682759386903538,0.00451342271201223,LILRB4/MERTK/LGALS9/IL15/CTSL/IL2RA,6,up_DEPs
GO:0070663,regulation of leukocyte proliferation,5/36,284/18860,0.0176056338028169,9.22339593114241,6.10645123262292,0.000192236590162713,0.00706177815072424,0.00466823166463086,LILRB4/LGALS9/IL15/IGFBP2/IL2RA,5,up_DEPs
GO:0050671,positive regulation of lymphocyte proliferation,4/36,153/18860,0.0261437908496732,13.6964415395788,6.89573055033969,0.000200402251038038,0.00706177815072424,0.00466823166463086,LGALS9/IL15/IGFBP2/IL2RA,4,up_DEPs
GO:0031102,neuron projection regeneration,3/36,60/18860,0.05,26.1944444444444,8.54783460792769,0.000202816415639691,0.00706177815072424,0.00466823166463086,NEFL/GFAP/PTPRF,3,up_DEPs
GO:0031960,response to corticosteroid,4/36,154/18860,0.025974025974026,13.6075036075036,6.86995069325357,0.000205467576589422,0.00706177815072424,0.00466823166463086,NEFL/IGFBP2/IL1RN/GLB1,4,up_DEPs
GO:1903039,positive regulation of leukocyte cell-cell adhesion,5/36,289/18860,0.0173010380622837,9.0638216070742,6.04125004536296,0.000208458919110075,0.00706177815072424,0.00466823166463086,LILRB4/LGALS9/IL15/IGFBP2/IL2RA,5,up_DEPs
GO:0032946,positive regulation of mononuclear cell proliferation,4/36,155/18860,0.0258064516129032,13.5197132616487,6.84440970987604,0.000210624700435851,0.00706177815072424,0.00466823166463086,LGALS9/IL15/IGFBP2/IL2RA,4,up_DEPs
GO:0019065,receptor-mediated endocytosis of virus by host cell,2/36,12/18860,0.166666666666667,87.3148148148148,13.0797051242513,0.000231011462064517,0.00753596850572626,0.00498169810085074,SIGLEC1/CTSL,2,up_DEPs
GO:0046651,lymphocyte proliferation,5/36,312/18860,0.016025641025641,8.39565527065527,5.7604980825085,0.000296970205851454,0.00942907408197937,0.00623314712784229,LILRB4/LGALS9/IL15/IGFBP2/IL2RA,5,up_DEPs
GO:0002664,regulation of T cell tolerance induction,2/36,14/18860,0.142857142857143,74.8412698412698,12.0867128534538,0.000317751464965839,0.00942907408197937,0.00623314712784229,LILRB4/IL2RA,2,up_DEPs
GO:0075509,endocytosis involved in viral entry into host cell,2/36,14/18860,0.142857142857143,74.8412698412698,12.0867128534538,0.000317751464965839,0.00942907408197937,0.00623314712784229,SIGLEC1/CTSL,2,up_DEPs
GO:0070665,positive regulation of leukocyte proliferation,4/36,173/18860,0.023121387283237,12.1130378933847,6.42156196340783,0.000320291663099548,0.00942907408197937,0.00623314712784229,LGALS9/IL15/IGFBP2/IL2RA,4,up_DEPs
GO:0032943,mononuclear cell proliferation,5/36,319/18860,0.0156739811912226,8.21142459073493,5.68073400890399,0.000328873534370879,0.0094511989520393,0.00624777290859965,LILRB4/LGALS9/IL15/IGFBP2/IL2RA,5,up_DEPs
GO:0007162,negative regulation of cell adhesion,5/36,326/18860,0.0153374233128834,8.03510565780504,5.60337216719917,0.000363317051996597,0.0100454278128821,0.00664059153374146,LILRB4/LGALS9/IL1RN/IL2RA/CX3CL1,5,up_DEPs
GO:0032736,positive regulation of interleukin-13 production,2/36,15/18860,0.133333333333333,69.8518518518519,11.6658881395413,0.000366196208588909,0.0100454278128821,0.00664059153374146,LGALS9/IL17RB,2,up_DEPs
GO:0030217,T cell differentiation,5/36,330/18860,0.0151515151515152,7.93771043771044,5.56019539064508,0.00038418993193302,0.0103048277298479,0.00681206943637963,LILRB4/LGALS9/IL15/CTSL/IL2RA,5,up_DEPs
GO:0051250,negative regulation of lymphocyte activation,4/36,183/18860,0.0218579234972678,11.4511232544019,6.21283154956784,0.000396382469848565,0.0104007313284178,0.00687546709714445,LILRB4/MERTK/LGALS9/IL2RA,4,up_DEPs
GO:0002517,T cell tolerance induction,2/36,16/18860,0.125,65.4861111111111,11.2848100775865,0.000418007644302828,0.0105111505556982,0.00694846040310403,LILRB4/IL2RA,2,up_DEPs
GO:0046007,negative regulation of activated T cell proliferation,2/36,16/18860,0.125,65.4861111111111,11.2848100775865,0.000418007644302828,0.0105111505556982,0.00694846040310403,LILRB4/LGALS9,2,up_DEPs
GO:0042130,negative regulation of T cell proliferation,3/36,79/18860,0.0379746835443038,19.8945147679325,7.35943639319634,0.000457172567080906,0.0112613732340133,0.00744439969596836,LILRB4/LGALS9/IL2RA,3,up_DEPs
GO:0051251,positive regulation of lymphocyte activation,5/36,346/18860,0.0144508670520231,7.57064868336545,5.39449494405731,0.000476906092725239,0.0115125130783873,0.00761041722706803,LILRB4/LGALS9/IL15/IGFBP2/IL2RA,5,up_DEPs
GO:0045580,regulation of T cell differentiation,4/36,194/18860,0.0206185567010309,10.8018327605956,6.00118680996014,0.000494153641020216,0.0116949695041451,0.00773103116394889,LILRB4/LGALS9/IL15/IL2RA,4,up_DEPs
GO:0032640,tumor necrosis factor production,4/36,196/18860,0.0204081632653061,10.6916099773243,5.96452996415847,0.000513619375690596,0.0116969544614821,0.00773234333214443,LILRB4/LGALS9/ACP5/CX3CL1,4,up_DEPs
GO:0032680,regulation of tumor necrosis factor production,4/36,196/18860,0.0204081632653061,10.6916099773243,5.96452996415847,0.000513619375690596,0.0116969544614821,0.00773234333214443,LILRB4/LGALS9/ACP5/CX3CL1,4,up_DEPs
GO:1902107,positive regulation of leukocyte differentiation,4/36,199/18860,0.0201005025125628,10.5304299274149,5.9105268950318,0.000543835166146321,0.0119347099188838,0.00788951303232366,LILRB4/LGALS9/IL15/IL2RA,4,up_DEPs
GO:1903708,positive regulation of hemopoiesis,4/36,199/18860,0.0201005025125628,10.5304299274149,5.9105268950318,0.000543835166146321,0.0119347099188838,0.00788951303232366,LILRB4/LGALS9/IL15/IL2RA,4,up_DEPs
GO:0071706,tumor necrosis factor superfamily cytokine production,4/36,201/18860,0.0199004975124378,10.4256495301271,5.87516079921259,0.000564669666503315,0.0119571278503421,0.00790433254311197,LILRB4/LGALS9/ACP5/CX3CL1,4,up_DEPs
