protein,metric,metric_type,int_beta,int_se,int_pval,fdr,main_beta_hc,n_total,n_ms
CD34,md_posterior_thalamic_radiation_left,md,2.67020455143989e-05,4.39230637436754e-06,1.29297887031738e-09,1.81185129097575e-05,-6.2676261659032e-07,5226,124
CR1,md_inferior_longitudinal_fasciculus_right,md,-1.76549799484355e-05,3.25873840458888e-06,6.40971122581518e-08,0.000310562309627078,-1.18250585501224e-06,3812,115
CD8A,md_inferior_longitudinal_fasciculus_right,md,-1.8031353784273e-05,3.3341050190121e-06,6.64873281154095e-08,0.000310562309627078,-1.73667819337797e-07,5274,124
PRR4,md_posterior_thalamic_radiation_right,md,2.55596457077288e-05,4.82634343067173e-06,1.25347581608954e-07,0.000439123915271568,9.40922988398433e-07,3710,110
CD8A,md_posterior_thalamic_radiation_right,md,-2.41725948586964e-05,4.6764627845933e-06,2.44051074931217e-07,0.00068397754260223,2.9761010528236e-07,5274,124
CD34,md_inferior_longitudinal_fasciculus_left,md,1.6729078093679e-05,3.31672382145728e-06,4.71686730588126e-07,0.00110162435928857,4.4405588276338e-07,5226,124
CD8A,md_posterior_thalamic_radiation_left,md,-2.35009572528261e-05,4.73232694090938e-06,7.0488019716129e-07,0.00141106945754588,-3.17774386132906e-08,5274,124
CR1,md_inferior_longitudinal_fasciculus_left,md,-1.7396354893743e-05,3.55962746344488e-06,1.06535126403686e-06,0.00185927424169,-1.50156747154495e-07,3812,115
CR1,icvf_inferior_longitudinal_fasciculus_right,icvf,0.0151623384833984,0.00311696098900472,1.1941388835517e-06,0.00185927424169,0.000831282547321153,3812,115
VGF,md_posterior_thalamic_radiation_left,md,2.42008259919945e-05,5.02201650585611e-06,1.49926629574175e-06,0.00200057568063337,7.42245122924287e-07,3827,115
PLXDC1,md_inferior_fronto_occipital_fasciculus_left,md,-1.72750776118717e-05,3.59319071040716e-06,1.57042264232977e-06,0.00200057568063337,2.08950080563429e-08,5108,117
TNR,md_inferior_longitudinal_fasciculus_right,md,-1.55146780599974e-05,3.25576822235544e-06,1.93741198498463e-06,0.0022624128454658,-1.50145663204318e-06,5182,119
PRR4,fa_posterior_thalamic_radiation_right,fa,-0.0111761360756564,0.00238975142380445,3.01937844134065e-06,0.00303291526684219,0.00039705902203265,3710,110
PLXDC1,md_inferior_longitudinal_fasciculus_left,md,-1.65699423589952e-05,3.5459936175059e-06,3.04670008965513e-06,0.00303291526684219,1.5218864796461e-07,5108,117
PRR4,md_posterior_thalamic_radiation_left,md,2.27484477427268e-05,4.87985847123102e-06,3.24653742971761e-06,0.00303291526684219,1.6527020580661e-06,3710,110
CR1,md_inferior_fronto_occipital_fasciculus_right,md,-1.5357293425699e-05,3.38861696673824e-06,6.02157526617064e-06,0.00525026065846922,-2.26223128254915e-07,3812,115
MOG,md_inferior_longitudinal_fasciculus_right,md,1.52433405480267e-05,3.37365947899921e-06,6.36940206907705e-06,0.00525026065846922,3.21998727371369e-07,5255,124
CR1,icvf_inferior_longitudinal_fasciculus_left,icvf,0.014453735721626,0.00321473130515783,7.1274428237559e-06,0.00553781053014269,0.000654432379864648,3812,115
MOG,md_posterior_thalamic_radiation_left,md,2.149121021935e-05,4.79368652591861e-06,7.50862770803619e-06,0.00553781053014269,-2.18771331246787e-07,5255,124
PRR4,md_inferior_longitudinal_fasciculus_left,md,1.61918733467716e-05,3.66236313455202e-06,1.00991089598338e-05,0.00707594069270755,1.62720788006427e-06,3710,110
MOG,md_inferior_longitudinal_fasciculus_left,md,1.5786550837919e-05,3.60168744253355e-06,1.19286765919428e-05,0.00779914196675039,6.97899729706765e-07,5255,124
CR1,icvf_posterior_thalamic_radiation_right,icvf,0.0146080103482711,0.00334029883811732,1.25677578605995e-05,0.00779914196675039,0.000820783775838066,3812,115
TNR,md_inferior_longitudinal_fasciculus_left,md,-1.5222515855565e-05,3.49746132130009e-06,1.37220159667343e-05,0.00779914196675039,-1.22838517262025e-06,5182,119
IGSF21,md_inferior_longitudinal_fasciculus_right,md,-1.70838100587306e-05,3.93076090824731e-06,1.42222847437877e-05,0.00779914196675039,-4.79485441713587e-07,3733,110
TNR,md_superior_longitudinal_fasciculus_left,md,-1.41054276167924e-05,3.25278799541292e-06,1.47578734775667e-05,0.00779914196675039,-1.2697282327621e-06,5182,119
CR1,icvf_inferior_fronto_occipital_fasciculus_right,icvf,0.0144465353541535,0.00333170969169901,1.48806556261608e-05,0.00779914196675039,0.000905614317221617,3812,115
TNR,md_superior_longitudinal_fasciculus_right,md,-1.35886550083677e-05,3.13650629938693e-06,1.50272484908485e-05,0.00779914196675039,-1.6036914196372e-06,5182,119
MOG,md_posterior_thalamic_radiation_right,md,2.0373836364909e-05,4.74320407803709e-06,1.77548189364562e-05,0.00887461196891953,-4.26852021367009e-07,5255,124
TNR,md_posterior_thalamic_radiation_left,md,-1.98991706754646e-05,4.64078501464038e-06,1.83660705843621e-05,0.00887461196891953,-1.22343084340419e-06,5182,119
CR1,md_posterior_thalamic_radiation_right,md,-1.97135076246849e-05,4.6706056248453e-06,2.49162328467862e-05,0.0116383723627338,-1.89171722942286e-06,3812,115
PLXDC1,md_inferior_longitudinal_fasciculus_right,md,-1.39434077854269e-05,3.31738910793075e-06,2.67753626548086e-05,0.0120807107029011,2.99274582237951e-07,5108,117
PRR4,md_inferior_longitudinal_fasciculus_right,md,1.41535233174164e-05,3.37166759374699e-06,2.75874361302244e-05,0.0120807107029011,9.33981453170343e-07,3710,110
VGF,md_posterior_thalamic_radiation_right,md,2.0642493603558e-05,4.94949765790392e-06,3.10511934474879e-05,0.0131854658721106,1.19140433370609e-07,3827,115
CD34,md_posterior_thalamic_radiation_right,md,1.80737329868841e-05,4.35184494485952e-06,3.33207571979456e-05,0.0137330520769062,-1.98533435154632e-07,5226,124
CR1,icvf_inferior_fronto_occipital_fasciculus_left,icvf,0.0140129088901755,0.00338974983657388,3.64334495305272e-05,0.0143953373642504,0.000445033045488785,3812,115
PRR4,fa_inferior_longitudinal_fasciculus_right,fa,-0.00788157674788042,0.00190809938227672,3.69822411412984e-05,0.0143953373642504,-0.000253750105201467,3710,110
LTO1,md_posterior_thalamic_radiation_left,md,-1.46425223445814e-05,3.58537147723888e-06,4.49525906689326e-05,0.017024882514696,3.9628841421632e-07,5106,120
TNR,md_inferior_fronto_occipital_fasciculus_right,md,-1.3647137585763e-05,3.34970372281214e-06,4.68769968339932e-05,0.0172865093851249,-1.35103207315469e-06,5182,119
MOG,md_inferior_fronto_occipital_fasciculus_left,md,1.45913861737578e-05,3.65006984965362e-06,6.48758843329682e-05,0.02327109554247,-1.08584178547652e-07,5255,124
PLXDC1,md_posterior_thalamic_radiation_left,md,-1.88247491774065e-05,4.71557081850588e-06,6.64271620423035e-05,0.02327109554247,-5.05468130972989e-07,5108,117
CD8A,md_inferior_longitudinal_fasciculus_left,md,-1.42173463082928e-05,3.56702226261917e-06,6.81695863620547e-05,0.0232990344802798,-2.37905926088406e-07,5274,124
TNR,md_inferior_fronto_occipital_fasciculus_left,md,-1.40033006446424e-05,3.54421872884391e-06,7.88524737584669e-05,0.0261521805309173,-1.74340429814092e-06,5182,119
CD8A,md_inferior_fronto_occipital_fasciculus_right,md,-1.35017768007686e-05,3.42098424279752e-06,8.0250036596692e-05,0.0261521805309173,2.74480324573751e-07,5274,124
PLXDC1,icvf_inferior_fronto_occipital_fasciculus_left,icvf,0.0135348407768052,0.00344405368799613,8.609989899358e-05,0.026897592627094,-0.000615622578598827,5108,117
PRR4,icvf_posterior_thalamic_radiation_left,icvf,-0.0129987721949925,0.00330729260735088,8.63763411274695e-05,0.026897592627094,-0.000518481006206865,3710,110
CD34,md_inferior_fronto_occipital_fasciculus_left,md,1.31008998879877e-05,3.36486316634533e-06,0.000100065253851445,0.0304829217873978,1.45147348706266e-07,5226,124
PLXDC1,icvf_inferior_longitudinal_fasciculus_left,icvf,0.0127674102795161,0.00329216540495009,0.000106591410986404,0.0317801157904783,-0.000517953771869064,5108,117
PLXDC1,md_inferior_fronto_occipital_fasciculus_right,md,-1.31047895704992e-05,3.39512708066833e-06,0.000114843727297116,0.0335271906378018,1.56927671542068e-07,5108,117
IGSF3,md_inferior_fronto_occipital_fasciculus_left,md,-1.67442483788828e-05,4.38391707805083e-06,0.000135297530132486,0.0386923324438065,-8.02264552294888e-07,5200,121
CR1,md_inferior_fronto_occipital_fasciculus_left,md,-1.38680350394444e-05,3.64692651051101e-06,0.000145392636575512,0.0407477403266529,-8.20163131714147e-08,3812,115
TNR,md_superior_thalamic_radiation_left,md,-1.14823440672492e-05,3.02531067525999e-06,0.00014907428360763,0.040960351690073,-1.38030674355639e-06,5182,119
PRR4,icvf_posterior_thalamic_radiation_right,icvf,-0.0131125776493712,0.00346818228403871,0.000158775661430509,0.041589658842598,-0.00015509769269043,3710,110
PLXDC1,icvf_posterior_thalamic_radiation_left,icvf,0.0123521764862601,0.00327084306492135,0.000160889055250915,0.041589658842598,-0.000351248080688097,5108,117
PLXDC1,fa_inferior_longitudinal_fasciculus_left,fa,0.00798024168658153,0.00211427048360605,0.000162171546339332,0.041589658842598,-0.000255554040559124,5108,117
CD8A,icvf_inferior_longitudinal_fasciculus_right,icvf,0.0122394212167946,0.00324417245270855,0.000163236368824869,0.041589658842598,-0.000264948324663622,5274,124
CR1,icvf_uncinate_fasciculus_left,icvf,0.010585016436211,0.00281765030486531,0.000174758629390168,0.0437302263150791,0.000388266516378824,3812,115
TNR,md_posterior_thalamic_radiation_right,md,-1.70744385579332e-05,4.58615288799752e-06,0.000198928638426908,0.0481137207698867,-1.65044577502986e-06,5182,119
IGSF21,icvf_inferior_longitudinal_fasciculus_left,icvf,0.0143695557183649,0.00385883478733272,0.000199143352933235,0.0481137207698867,0.000697118990838527,3733,110
RET,md_superior_thalamic_radiation_right,md,1.15308486732485e-05,3.10126911760566e-06,0.000202836615998387,0.0481754152539898,-4.1219490498951e-07,5200,121
SCRG1,md_posterior_thalamic_radiation_right,md,1.6922622636784e-05,4.56212429347637e-06,0.000210719096751647,0.0492134450463471,1.45519355807847e-06,3836,114
CR1,md_posterior_thalamic_radiation_left,md,-1.74653995781195e-05,4.76049068318064e-06,0.000247005268187801,0.0567423741494371,-4.70286236707307e-07,3812,115
IGSF21,md_posterior_thalamic_radiation_left,md,-2.10050440348528e-05,5.74199564167091e-06,0.000257562074898564,0.05821318315409,3.20024565623698e-07,3733,110
TNR,icvf_inferior_longitudinal_fasciculus_left,icvf,0.0118162847129968,0.00324577200730383,0.000274749499220068,0.0597275500527291,0.0013755016290977,5182,119
IGSF21,icvf_inferior_longitudinal_fasciculus_right,icvf,0.0136451171886418,0.00374849252547045,0.000276166029257925,0.0597275500527291,0.000364894456017064,3733,110
PHYKPL,md_posterior_thalamic_radiation_left,md,-1.9371115723207e-05,5.32270999842553e-06,0.000277049222395447,0.0597275500527291,5.03905116331437e-07,3736,110
CD8A,md_superior_thalamic_radiation_right,md,-1.12841383933643e-05,3.11353219418388e-06,0.000292564600838615,0.0607330902324322,1.81731900777977e-07,5274,124
CR1,icvf_parahippocampal_cingulum_left,icvf,0.00981853517823391,0.00270933443732043,0.000293912033664871,0.0607330902324322,0.000634137269123559,3812,115
PRR4,icvf_forceps_major,icvf,-0.0129984578811247,0.00359066642661712,0.000298465245249756,0.0607330902324322,-0.000322315081353775,3710,110
PRR4,icvf_inferior_longitudinal_fasciculus_left,icvf,-0.0120340516652893,0.00332472745821733,0.000299049684295856,0.0607330902324322,-0.000690930053958199,3710,110
IGSF21,md_inferior_longitudinal_fasciculus_left,md,-1.54753500409832e-05,4.28420976254082e-06,0.000307633736350472,0.0610256210494737,6.90347360230464e-08,3733,110
TNR,icvf_inferior_longitudinal_fasciculus_right,icvf,0.0114622993989782,0.00317523047099109,0.000309199963927255,0.0610256210494737,0.00131733566597568,5182,119
VGF,md_inferior_longitudinal_fasciculus_left,md,1.35613420223135e-05,3.76908800055137e-06,0.000324683063668794,0.0622408405143379,2.9498249607368e-07,3827,115
CR1,icvf_posterior_thalamic_radiation_left,icvf,0.0115189353177044,0.00320246033732906,0.000326122006204576,0.0622408405143379,0.000359970383400446,3812,115
IGSF21,fa_inferior_longitudinal_fasciculus_right,fa,0.00797484835935169,0.00221836037197462,0.000328682095058945,0.0622408405143379,3.55583752241807e-05,3733,110
PRR4,md_parahippocampal_cingulum_left,md,2.51382242065246e-05,7.02310245160542e-06,0.000348850243715048,0.0651791795357195,2.60894662617986e-06,3710,110
MOG,icvf_posterior_thalamic_radiation_left,icvf,-0.0118747094302534,0.0033257575797517,0.000359452267324889,0.0657754685294163,0.000243407195821971,5255,124
HRG,md_inferior_longitudinal_fasciculus_right,md,-1.08778154984585e-05,3.04702730651622e-06,0.000361429463838225,0.0657754685294163,-5.3545419549218e-07,3807,112
CD8A,md_superior_longitudinal_fasciculus_right,md,-1.14166144373485e-05,3.2056181351081e-06,0.000372086048689323,0.0660093063956349,3.3327971317674e-07,5274,124
IGSF3,icvf_inferior_fronto_occipital_fasciculus_left,icvf,0.0149954862445653,0.00421051536802264,0.000372135531667391,0.0660093063956349,-0.000270044642982784,5200,121
ADAM23,md_posterior_thalamic_radiation_left,md,-1.36492798878949e-05,3.846849075502e-06,0.000391303777458953,0.0685417479191538,4.79498288344317e-07,5261,125
PLXDC1,icvf_posterior_thalamic_radiation_right,icvf,0.0117405663695092,0.00332915982950481,0.000424657038425586,0.0729324663908992,-0.000386580466149724,5108,117
LPO,md_inferior_longitudinal_fasciculus_right,md,1.18405147599575e-05,3.35872630699526e-06,0.000426779579251676,0.0729324663908992,1.41140973717646e-06,5027,116
CD34,md_uncinate_fasciculus_left,md,1.229836030404e-05,3.49521017689152e-06,0.00043747357628726,0.0738592436688359,-4.3133330384507e-07,5226,124
CD8A,icvf_inferior_longitudinal_fasciculus_left,icvf,0.0116119633896159,0.00330884071407013,0.000452916300311447,0.0755561442412417,-0.000357264212763079,5274,124
IGSF21,icvf_posterior_thalamic_radiation_left,icvf,0.0134663609935099,0.00384338549896492,0.000464106054152587,0.0759909937854908,0.000780004229885881,3733,110
PLXDC1,icvf_inferior_fronto_occipital_fasciculus_right,icvf,0.0119217281428994,0.00340717364344095,0.000470979923832776,0.0759909937854908,-0.000595771691477086,5108,117
PRR4,fa_posterior_thalamic_radiation_left,fa,-0.00831540590927517,0.00237623485176046,0.000471791654844623,0.0759909937854908,0.000127765255358997,3710,110
TF,icvf_uncinate_fasciculus_left,icvf,0.00996344426766674,0.0028536129522119,0.000485717625270963,0.0764097437165686,-0.00128953767413462,3828,113
IGSF21,md_inferior_fronto_occipital_fasciculus_right,md,-1.42319148832209e-05,4.0810883140154e-06,0.000493590493701495,0.0764097437165686,-7.98635135884104e-08,3733,110
CR1,fa_inferior_longitudinal_fasciculus_right,fa,0.00642616015247265,0.00184300425549992,0.000494391539261468,0.0764097437165686,0.000382067876365364,3812,115
PRR4,md_inferior_fronto_occipital_fasciculus_left,md,1.3085371294035e-05,3.75425775073387e-06,0.000496964794597188,0.0764097437165686,1.07521642465895e-06,3710,110
PRR4,fa_inferior_longitudinal_fasciculus_left,fa,-0.00756779415502323,0.00217301333536383,0.000502264227123598,0.0764097437165686,-0.000352991273290345,3710,110
CR1,fa_inferior_fronto_occipital_fasciculus_right,fa,0.00725997467661267,0.00208700730810692,0.000509589062492884,0.0764097437165686,2.40813860356895e-05,3812,115
PTPRR,md_inferior_longitudinal_fasciculus_left,md,1.43094566229424e-05,4.11536675515499e-06,0.000512560901260076,0.0764097437165686,-1.50195731825911e-07,3825,115
CD8A,fa_posterior_thalamic_radiation_right,fa,0.00805596725419914,0.00232221840164481,0.000526420913777428,0.077649855418559,-0.000402499605063619,5274,124
PPP3R1,md_inferior_longitudinal_fasciculus_left,md,1.05515175154182e-05,3.05079174418348e-06,0.000547333756056598,0.079356955979229,6.75879447437433e-07,5182,119
HPGDS,md_forceps_major,md,-2.10959293382728e-05,6.10119941086512e-06,0.000549320254762379,0.079356955979229,2.25886881796251e-07,5108,117
PLXDC1,icvf_inferior_longitudinal_fasciculus_right,icvf,0.0111246152639928,0.0032220918603019,0.000559708194754503,0.0800325605417842,-0.000563932084742472,5108,117
PPP3R1,md_posterior_thalamic_radiation_left,md,1.3899343833836e-05,4.04702939030804e-06,0.000598406018912846,0.0842677727981511,7.27898475277584e-07,5182,119
MOG,md_inferior_fronto_occipital_fasciculus_right,md,1.18831120304037e-05,3.46134482965738e-06,0.000601354262457369,0.0842677727981511,-5.52316588276118e-07,5255,124
HRG,md_inferior_fronto_occipital_fasciculus_right,md,-1.08296217200858e-05,3.16175007105808e-06,0.000620857925717141,0.0861394268621218,-4.93899097798972e-07,3807,112
BLMH,md_inferior_longitudinal_fasciculus_right,md,1.05294778859693e-05,3.08927481632046e-06,0.000658360885788116,0.0904471675740085,2.86332285856421e-07,5267,123
CKB,md_inferior_longitudinal_fasciculus_right,md,-1.08826023707644e-05,3.19738825171407e-06,0.000671902807330541,0.0913228198592779,2.70597451319728e-06,3829,115
CD8A,icvf_posterior_thalamic_radiation_left,icvf,0.0111875045058281,0.00329001421802289,0.000677768733701912,0.0913228198592779,-0.000600499467206997,5274,124
CLEC10A,icvf_parahippocampal_cingulum_right,icvf,0.00891608029378897,0.00262538251140713,0.000688661996143772,0.0919068623996446,3.76715042979414e-05,5182,119
TNR,md_superior_thalamic_radiation_right,md,-1.03218010241614e-05,3.05902332700238e-06,0.000745707104803035,0.0985810722604239,-8.40075023486654e-07,5182,119
PLXDC1,md_posterior_thalamic_radiation_right,md,-1.51645349286797e-05,4.49773012160216e-06,0.000752892609806702,0.0986007863665543,-6.97333659567264e-07,5108,117
RET,md_superior_longitudinal_fasciculus_right,md,1.07365504037532e-05,3.19752816312035e-06,0.000791403031065771,0.102684543280784,-8.76493278543676e-07,5200,121
CA6,icvf_inferior_longitudinal_fasciculus_left,icvf,-0.0115653684021789,0.00345228674553667,0.00081368471037149,0.102691427151467,0.000351750828826584,5215,121
IGSF3,icvf_uncinate_fasciculus_left,icvf,0.0119470890867498,0.0035674546843104,0.000817075718359679,0.102691427151467,0.000662749091789443,5200,121
CD34,fa_posterior_thalamic_radiation_left,fa,-0.00725513677156752,0.00216665412234989,0.000818127987232238,0.102691427151467,0.000664687434307507,5226,124
IL6,fa_uncinate_fasciculus_right,fa,0.00615148291337253,0.00183754784022696,0.000820769274314159,0.102691427151467,-0.000364592872420403,5200,121
SSBP1,md_posterior_thalamic_radiation_left,md,-1.15342403838848e-05,3.44868928891754e-06,0.00083241664274028,0.103227030218757,-8.25804027260977e-08,3713,110
SERPIND1,fa_acoustic_radiation_right,fa,0.00794849429643085,0.00238114004934078,0.000851601223253165,0.104679718784619,5.9425324900287e-05,3824,113
MOG,icvf_inferior_longitudinal_fasciculus_left,icvf,-0.0111488498547589,0.00334719243471587,0.000871928800730089,0.105426615123895,8.70092423298435e-05,5255,124
IGSF21,md_posterior_thalamic_radiation_right,md,-1.88259918751446e-05,5.65118551683957e-06,0.000872724424061361,0.105426615123895,-1.42131846147681e-07,3733,110
BLMH,md_posterior_thalamic_radiation_right,md,1.44499454967269e-05,4.3454862724071e-06,0.0008893564672316,0.106517539959969,5.43280302083269e-07,5267,123
CD34,icvf_inferior_longitudinal_fasciculus_left,icvf,-0.0102249082910399,0.00307809554547788,0.000900442364331267,0.106618623852364,1.20037498741702e-05,5226,124
FCRL6,md_posterior_thalamic_radiation_right,md,-1.36602545835225e-05,4.11416402372469e-06,0.000905417557869926,0.106618623852364,7.51214788025573e-07,5197,123
CBLN4,icvf_forceps_major,icvf,-0.0132082860426359,0.00398492778470939,0.000924096823889563,0.107911406609704,0.00150925938852966,5255,124
IGFBP2,md_inferior_longitudinal_fasciculus_right,md,-9.74590762114503e-06,2.94504846842217e-06,0.000941756663890324,0.108636163153897,2.63216380432975e-06,5260,123
IGSF21,md_superior_longitudinal_fasciculus_left,md,-1.32815194708931e-05,4.01397777225532e-06,0.000945808314049488,0.108636163153897,-1.23434220837887e-07,3733,110
CD8A,fa_inferior_longitudinal_fasciculus_right,fa,0.00626986152997954,0.00189899864442872,0.000967521991982815,0.10868881153196,-8.9947540351185e-07,5274,124
CNTN5,md_posterior_thalamic_radiation_right,md,-1.68150137448477e-05,5.0943118346253e-06,0.000970809706850271,0.10868881153196,-5.95496725095042e-07,5192,123
LTO1,fa_posterior_thalamic_radiation_left,fa,0.00582136356525082,0.00176391587117628,0.00097262281398225,0.10868881153196,9.76352559037468e-06,5106,120
PRR4,icvf_inferior_longitudinal_fasciculus_right,icvf,-0.0106681377441334,0.00323313442239757,0.000977291818527583,0.10868881153196,-0.000614181709343641,3710,110
IGSF21,icvf_superior_longitudinal_fasciculus_left,icvf,0.0143380503883043,0.0043500342721942,0.000989629559685053,0.108781886673187,0.000625900349117239,3733,110
SERPIND1,icvf_inferior_longitudinal_fasciculus_left,icvf,0.0108153160605359,0.00328379507262249,0.00099835277397573,0.108781886673187,-0.000669442026352267,3824,113
PLXDC1,fa_inferior_fronto_occipital_fasciculus_left,fa,0.0077099567003657,0.00234211775602188,0.00100199155217501,0.108781886673187,-0.000354705863937141,5108,117
VGF,md_inferior_fronto_occipital_fasciculus_left,md,1.27015463805751e-05,3.86006888787081e-06,0.0010091804230011,0.108781886673187,-3.22294751695563e-07,3827,115
CD34,md_inferior_longitudinal_fasciculus_right,md,1.01499087014246e-05,3.10526570094733e-06,0.0010877628204119,0.116357407652152,1.97310839951966e-07,5226,124
PTPRR,md_posterior_thalamic_radiation_left,md,1.79035419773507e-05,5.48705428141911e-06,0.00111260868364826,0.11811352639366,-7.32427696476794e-07,3825,115
IGSF21,icvf_inferior_fronto_occipital_fasciculus_right,icvf,0.0130373161053173,0.00400347191477067,0.001138037862445,0.119701373169923,0.000619323344284807,3733,110
MANSC1,fa_superior_longitudinal_fasciculus_right,fa,0.00556290281343369,0.00170949597604011,0.00114465025367656,0.119701373169923,0.00021194970287769,5257,123
CNTN5,md_inferior_longitudinal_fasciculus_right,md,-1.18075121246941e-05,3.63292605122006e-06,0.00116085162802377,0.120496398988867,-5.07565476419678e-07,5192,123
CD8A,md_inferior_fronto_occipital_fasciculus_left,md,-1.17371502914206e-05,3.61601900084866e-06,0.00117821874170382,0.121399847260997,6.08524853442777e-07,5274,124
PRR4,fa_inferior_fronto_occipital_fasciculus_left,fa,-0.00781452177170818,0.00241468529257442,0.00122177998664197,0.12496936461908,-8.53818154481276e-05,3710,110
RNASET2,md_acoustic_radiation_right,md,-1.21849908274801e-05,3.77195548342319e-06,0.00124374956262538,0.12546226148483,-2.46739924913682e-07,5233,122
WIF1,fa_forceps_major,fa,-0.00911021133816642,0.00282029278315779,0.00124450541257343,0.12546226148483,-7.25947132198532e-06,5255,124
CR1,icvf_superior_thalamic_radiation_right,icvf,0.00952000101335924,0.00295376674563562,0.0012792422914616,0.128043015930368,0.00037003630065431,3812,115
CBLN4,fa_inferior_longitudinal_fasciculus_right,fa,-0.00691896171102147,0.0021533171501373,0.00132074768434268,0.131259839012014,0.000657933498942278,5255,124
BLMH,md_posterior_thalamic_radiation_left,md,1.41358185630134e-05,4.40504543638111e-06,0.00133994049362236,0.132229479838945,-1.35824117214997e-08,5267,123
IGSF21,icvf_inferior_fronto_occipital_fasciculus_left,icvf,0.0129820688900814,0.00406687779765009,0.0014239408067578,0.139536241434245,0.0007491596642829,3733,110
VGF,md_inferior_longitudinal_fasciculus_right,md,1.1016000673369e-05,3.46046786116918e-06,0.00146732685647981,0.142789244721191,5.55772219130507e-08,3827,115
LTO1,md_inferior_longitudinal_fasciculus_left,md,-8.59298315430352e-06,2.70379146246129e-06,0.00149117279203773,0.143429087945161,1.63314893934605e-07,5106,120
IGSF21,icvf_superior_thalamic_radiation_right,icvf,0.0112976230163008,0.00355479402279782,0.00149437285663266,0.143429087945161,4.14481626410829e-05,3733,110
MOG,fa_inferior_longitudinal_fasciculus_left,fa,-0.00681209091681265,0.00214881310237266,0.00153228957895903,0.145079486198456,0.00056069942852055,5255,124
SERPIND1,icvf_inferior_fronto_occipital_fasciculus_left,icvf,0.010960567622808,0.00345964101197509,0.0015463775224828,0.145079486198456,-0.000753418192169922,3824,113
IL6,icvf_superior_thalamic_radiation_right,icvf,0.00861634404092961,0.00272069762627558,0.00154932876470291,0.145079486198456,-0.00148128020038686,5200,121
MOG,icvf_inferior_longitudinal_fasciculus_right,icvf,-0.0103826766353641,0.00328097679784036,0.00156233127398538,0.145079486198456,-0.000257848187871714,5255,124
CD8A,icvf_posterior_thalamic_radiation_right,icvf,0.0108358339730443,0.00342438569722814,0.00156333421936537,0.145079486198456,-0.000603009304591842,5274,124
ADGRE2,md_superior_thalamic_radiation_right,md,-9.0034793092717e-06,2.85617127041238e-06,0.00162913934027917,0.150191641942974,1.58886724860347e-07,5221,120
ADAM23,md_forceps_minor,md,-9.23407669891816e-06,2.93704618169396e-06,0.00167583398807985,0.152058585651548,5.3629982612814e-07,5261,125
IGSF3,md_inferior_longitudinal_fasciculus_left,md,-1.36057376352504e-05,4.32844596487095e-06,0.00167977914893007,0.152058585651548,-1.089212461537e-06,5200,121
ADGRE2,md_superior_longitudinal_fasciculus_right,md,-9.24786254950858e-06,2.94241805951838e-06,0.00168194396460358,0.152058585651548,1.13616296944742e-07,5221,120
IGSF3,md_uncinate_fasciculus_left,md,-1.42782886723723e-05,4.56249230916891e-06,0.00176078674238696,0.158166055263259,3.28365132902426e-07,5200,121
CBLN4,fa_posterior_thalamic_radiation_right,fa,-0.00824334990489567,0.00263651366946921,0.00177800908535659,0.158695804542051,0.000733245743854032,5255,124
HRG,md_posterior_thalamic_radiation_right,md,-1.36199439230617e-05,4.36317262101013e-06,0.00181240719568272,0.160223439575455,-8.02318410720604e-08,3807,112
PLXDC1,fa_inferior_longitudinal_fasciculus_right,fa,0.00587640913843086,0.00188340475437894,0.00181799235656157,0.160223439575455,-0.000177149217480892,5108,117
CD8A,icvf_superior_thalamic_radiation_right,icvf,0.00928787177916338,0.00297931626282256,0.00183405235728575,0.160628598016533,-0.000635216985272343,5274,124
LTBP2,md_superior_longitudinal_fasciculus_right,md,-1.02196130264959e-05,3.28118879628601e-06,0.00185180587473823,0.161176122501284,5.34966001236006e-07,5267,123
IGSF21,md_superior_thalamic_radiation_right,md,-1.18015860789026e-05,3.80358033588489e-06,0.00193162677072675,0.165814131938998,5.40187643964106e-07,3733,110
MOG,icvf_posterior_thalamic_radiation_right,icvf,-0.0107351381196867,0.00346184818299043,0.00193901094396727,0.165814131938998,0.000290473607179965,5255,124
CR1,icvf_superior_longitudinal_fasciculus_right,icvf,0.010625483493058,0.00342840429055695,0.00195427708176082,0.165814131938998,0.000992860622932954,3812,115
CD8A,fa_posterior_thalamic_radiation_left,fa,0.0072219832275943,0.00233272702698459,0.00197220400452117,0.165814131938998,-0.000412309645360307,5274,124
GPC1,md_posterior_thalamic_radiation_right,md,1.47924838739131e-05,4.78007313308317e-06,0.00198105987613781,0.165814131938998,-1.30295566028299e-06,5255,124
PLXDC1,fa_posterior_thalamic_radiation_left,fa,0.00718717774471067,0.00232281311808066,0.00198432759021252,0.165814131938998,2.0605267343492e-05,5108,117
SSBP1,md_inferior_fronto_occipital_fasciculus_left,md,-8.20923018394648e-06,2.65448276565075e-06,0.00199893209881773,0.165814131938998,8.74897141583728e-07,3713,110
MOG,icvf_inferior_fronto_occipital_fasciculus_left,icvf,-0.0108575504631781,0.00351227016517843,0.00200313512789383,0.165814131938998,0.000303648263330784,5255,124
CD34,icvf_inferior_fronto_occipital_fasciculus_left,icvf,-0.00998499648570014,0.00323131150119437,0.00201158941194816,0.165814131938998,6.03796359686543e-06,5226,124
IGSF21,fa_inferior_fronto_occipital_fasciculus_right,fa,0.00774760680144432,0.00250952298573502,0.00203480540610931,0.166114971634488,0.000136680322191175,3733,110
