ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set,contrast,cluster
GO:0033627,cell adhesion mediated by integrin,5/51,76/18860,0.0657894736842105,24.3292053663571,10.6114386527459,1.88996885283203e-06,0.00230576200045508,0.00193970487527498,CCL21/LIF/RET/ITGB2/ITGBL1,5,up_DEPs,C1_vs_None,C1
GO:0048245,eosinophil chemotaxis,3/51,21/18860,0.142857142857143,52.8291316526611,12.3741741003762,2.39389157995463e-05,0.0045565249650432,0.00383314222684825,CCL21/LGALS3/CCL7,3,up_DEPs,C1_vs_None,C1
GO:0033630,positive regulation of cell adhesion mediated by integrin,3/51,22/18860,0.136363636363636,50.427807486631,12.0788852567823,2.76659083104761e-05,0.0045565249650432,0.00383314222684825,CCL21/LIF/RET,3,up_DEPs,C1_vs_None,C1
GO:0060326,cell chemotaxis,7/51,330/18860,0.0212121212121212,7.84432560903149,6.53147829040597,2.81664174800426e-05,0.0045565249650432,0.00383314222684825,CCL21/LGALS3/CCL17/VEGFB/CXCL1/ITGB2/CCL7,7,up_DEPs,C1_vs_None,C1
GO:0031640,killing of cells of another organism,5/51,135/18860,0.037037037037037,13.6964415395788,7.70902676416281,3.14598737526067e-05,0.0045565249650432,0.00383314222684825,CCL21/LGALS3/CCL17/CXCL1/FCN1,5,up_DEPs,C1_vs_None,C1
GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,5/51,135/18860,0.037037037037037,13.6964415395788,7.70902676416281,3.14598737526067e-05,0.0045565249650432,0.00383314222684825,CCL21/LGALS3/CCL17/CXCL1/CCL7,5,up_DEPs,C1_vs_None,C1
GO:0141061,disruption of cell in another organism,5/51,135/18860,0.037037037037037,13.6964415395788,7.70902676416281,3.14598737526067e-05,0.0045565249650432,0.00383314222684825,CCL21/LGALS3/CCL17/CXCL1/FCN1,5,up_DEPs,C1_vs_None,C1
GO:0141060,disruption of anatomical structure in another organism,5/51,139/18860,0.0359712230215827,13.302299337001,7.58037574889015,3.61893073978843e-05,0.0045565249650432,0.00383314222684825,CCL21/LGALS3/CCL17/CXCL1/FCN1,5,up_DEPs,C1_vs_None,C1
GO:0006935,chemotaxis,8/51,474/18860,0.0168776371308017,6.24141639778274,6.01804971453207,3.69839386527763e-05,0.0045565249650432,0.00383314222684825,CCL21/LGALS3/CCL17/VEGFB/CXCL1/ITGB2/ENPP2/CCL7,8,up_DEPs,C1_vs_None,C1
GO:0042330,taxis,8/51,476/18860,0.0168067226890756,6.2151919591366,6.00088541596541,3.8104123098039e-05,0.0045565249650432,0.00383314222684825,CCL21/LGALS3/CCL17/VEGFB/CXCL1/ITGB2/ENPP2/CCL7,8,up_DEPs,C1_vs_None,C1
