cell_type,n_universe,n_markers,n_DEPs,n_DEP_markers,odds_ratio,p_overrep,p_twosided,overlap_genes,p_adj,direction,contrast,cluster
Oligodendrocytes,2915,1062,195,47,0.533557474053515,0.999949781450641,0.000201725869792387,"ADGRE2,AGRN,ANGPTL2,ATP5IF1,ATRN,AZI2,CAMLG,CD99L2,COL18A1,CPXM2,CTSF,CYB5A,DNER,GALNT10,GAS2,HEG1,IL10RB,IL3RA,ITGB5,LGALS1,LGMN,LRRFIP1,LTBP3,MAMDC2,MATN2,MPRIP,MTSS1,NEK7,NEXN,P4HB,PCNA,PHLDB1,PNMA2,PPP1R12B,PTGR1,PXDNL,REPS1,RNASE1,ROBO1,SFRP1,SIRPA,SLMAP,STX7,TAFA5,THBS2,THRAP3,VEGFB",0.00102206449317844,up,C2_vs_None,C2
Inhibitory neurons,2915,1145,195,52,0.541404736838926,0.999951672131733,0.000185313589780199,"ATP5IF1,ATRN,AZI2,C2CD2L,CAMLG,CD99L2,COL18A1,CTSF,CYB5A,DNER,FABP3,FBN2,FLT1,FSTL1,GALNT10,GAS2,GAS6,GRIN2B,HEG1,HGF,IGSF3,IL10RB,IL3RA,ITGB5,JAM2,LGMN,LRRFIP1,LTBP3,MAMDC2,MATN2,MPRIP,MTSS1,NEK7,NEXN,P4HB,PNMA2,PPP1R12B,PTGR1,PXDNL,REPS1,ROBO1,SCG3,SFRP1,SHISA5,SIRPA,SLMAP,SPON1,STX7,TAFA5,THRAP3,TIMP3,VEGFB",0.00102206449317844,up,C2_vs_None,C2
Astrocytes,2915,1116,67,11,0.309945416536856,0.999978456813388,0.000111188225752074,"ALMS1,APOE,CA11,GTF2IRD1,LSM8,LTA4H,MN1,PTGR1,RBKS,SNU13,VEGFB",0.00200138806353733,up,C0_vs_None,C0
B-cells,2915,1205,195,60,0.611453341520533,0.99937078414549,0.00196979865667648,"AREG,ATP5IF1,AZI2,BTN2A1,CAMLG,CCL17,CCL22,CCL3,CCL4,CD40,CD74,CD83,CLEC10A,CSF2RA,CXCL16,CYB5A,EPS8L2,F11R,FGL1,GADD45B,GALNT10,GAS6,HTRA2,ICAM3,IL10RA,IL10RB,IL3RA,IL4R,ITGB7,KLK1,LGALS1,LGALS9,LGMN,LILRB1,LRRFIP1,LTBP3,LY96,MPRIP,MTSS1,NEK7,P4HB,PCNA,PECAM1,PLAUR,PTPRC,REPS1,RNASE1,SHISA5,SIT1,SLMAP,SPON1,STX7,TGFB1,TGFBR2,THRAP3,TIMP3,TNFRSF10B,TNFRSF14,TNFRSF1B,VEGFB",0.00506519654573953,up,C2_vs_None,C2
Plasma cells,2915,1224,195,62,0.625128701481297,0.999038052309278,0.00264924470015413,"AREG,ATP5IF1,ATRN,AZI2,BOLA1,BTN2A1,CAMLG,CCL21,CCL3,CCL4,CD40,CD74,CD83,CD99L2,COL3A1,COL6A3,CTSF,CYB5A,EPS8L2,F11R,FGL1,FKBP7,GADD45B,GAS6,GAST,HTRA2,ICAM3,IL10RA,IL10RB,ITGB7,KRT19,LGALS1,LGMN,LILRB1,LRRFIP1,LTBP3,LY96,MDK,MPRIP,NEK7,P4HB,PCNA,PECAM1,PLAUR,PTPRC,REPS1,RNASE1,SFRP1,SHISA5,SIT1,SLMAP,SPON2,STX7,TCN2,TGFB1,TGFBR2,THRAP3,TIMP3,TNFRSF12A,TNFRSF14,TNFRSF1B,VEGFB",0.00596080057534679,up,C2_vs_None,C2
Oligodendrocyte precursor cells,2915,1015,195,50,0.62721565734039,0.99827354191552,0.00504274074427543,"ADGRG1,AGRN,ANGPTL2,ATP5IF1,ATRN,AZI2,CAMLG,CD99L2,CHRDL1,CTSF,CYB5A,DNER,FBLN2,FBN2,GALNT10,GAS2,GRIN2B,HEG1,IL10RB,ITGB5,JAM2,LAMA4,LRRFIP1,LTBP3,MAMDC2,MATN2,MPRIP,MTSS1,NEK7,NEXN,P4HB,PHLDB1,PNMA2,PPP1R12B,PTGR1,PXDNL,REPS1,ROBO1,SCG3,SIRPA,SLMAP,SPON1,STX7,TAFA5,THBS2,THRAP3,TIMP3,TNFRSF10B,TNFRSF1A,VEGFB",0.00907693333969577,up,C2_vs_None,C2
Astrocytes,2915,1116,195,56,0.6310166189371,0.998517914798901,0.00467568934839719,"ADGRG1,AGRN,ATP5IF1,ATRN,AZI2,CAMLG,CD99L2,CHRDL1,COLEC12,CTSF,CYB5A,DNER,EFEMP1,FGL1,FSTL1,GADD45B,GALNT10,GAS2,GAS6,GRIN2B,HEG1,HGF,IL10RB,IL3RA,ITGB5,JAM2,LAMA4,LGALS1,LRRFIP1,LTBP3,MAMDC2,MATN2,MPRIP,MTSS1,NEK7,NEXN,P4HB,PHLDB1,PNMA2,PPP1R12B,PTGR1,PXDNL,REPS1,ROBO1,SCG3,SHISA5,SIRPA,SLMAP,SPON1,STX7,TAFA5,THRAP3,TIMP3,TNC,TNFRSF1A,VEGFB",0.00907693333969577,up,C2_vs_None,C2
monocytes,2915,1227,195,65,0.670486039122162,0.996176180088085,0.0106224539740173,"ADGRE2,AREG,ATP5IF1,AZI2,BTN2A1,C2CD2L,CAMLG,CCL3,CCL4,CD40,CD74,CD83,CLEC10A,CSF2RA,CXCL16,CYB5A,F11R,FLT1,GADD45B,GALNT10,GZMH,HEG1,HGF,ICAM3,IL10RA,IL10RB,IL15,IL18,IL3RA,IL4R,ITGA5,LGALS1,LGALS9,LGMN,LILRA2,LILRB1,LILRB2,LRRFIP1,LTBR,LY96,MPRIP,MTSS1,NEK7,P4HB,PCNA,PECAM1,PLAUR,PTPRC,REPS1,RNASE1,SHISA5,SIRPA,SIRPB1,SLMAP,SPON2,STX7,TCN2,TGFB1,TGFBR2,THRAP3,TNFRSF10B,TNFRSF14,TNFRSF1A,TNFRSF1B,VNN2",0.0173821974120282,up,C2_vs_None,C2
dendritic cells,2915,1115,195,58,0.666166483953131,0.99590575213009,0.0117406044298325,"ADGRE2,AREG,ATP5IF1,AZI2,BTN2A1,CAMLG,CCL3,CCL4,CD74,CD83,CSF2RA,CXCL16,CYB5A,EPS8L2,F11R,GADD45B,GALNT10,GAS6,GZMH,HTRA2,ICAM3,IL10RA,IL10RB,IL18,IL3RA,IL4R,ITGB7,LGALS1,LGALS9,LGMN,LILRB1,LILRB2,LRRFIP1,LTBP3,LTBR,LY96,MPRIP,NEK7,P4HB,PCNA,PECAM1,PLAUR,PTPRC,REPS1,RET,SHISA5,SIRPB1,SIT1,SLMAP,SPON2,STX7,TGFB1,TGFBR2,THRAP3,TNFRSF14,TNFRSF1A,TNFRSF1B,VEGFB",0.0176109066447488,up,C2_vs_None,C2
Fibroblasts,2915,173,195,20,1.91694391915253,0.00991943189587053,0.0170826475243937,"C1QTNF1,COL18A1,COL3A1,COL6A3,COLEC12,EFEMP1,FBLN2,FBN2,FSTL1,HGF,LAMA4,MDK,NEXN,SFRP1,SMOC2,SPON2,THBS2,TIMP3,TNFRSF12A,TNXB",0.0236528965722375,up,C2_vs_None,C2
Excitatory neurons,2915,1114,67,14,0.419870433836458,0.999331299812586,0.00315941559632567,"ALMS1,ARMCX2,BLOC1S2,CA11,FTCD,GTF2IRD1,LSM8,LTA4H,MORN4,NMNAT1,PTGR1,QSOX1,RBKS,SNU13",0.028434740366931,up,C0_vs_None,C0
dendritic cells,2915,1115,67,16,0.499385948918871,0.996030450959682,0.0152600342333342,"ALMS1,BLOC1S2,BST2,CA11,CD83,COQ7,CST7,EDEM2,FUOM,ICAM1,IFI30,LCP1,LSM8,LTA4H,SNU13,VEGFB",0.0343350770250019,up,C0_vs_None,C0
Endothelial,2915,1019,67,14,0.484514237752851,0.99621769839978,0.0137167162575629,"BLOC1S2,BST2,CD83,COQ7,FUOM,ICAM1,IL6,LSM8,LTA4H,PTGR1,QSOX1,SNU13,TNFRSF10A,TNFRSF10B",0.0343350770250019,up,C0_vs_None,C0
T-cells,2915,1271,67,19,0.50470935482708,0.996783195046339,0.0122473336036987,"APOE,BLOC1S2,BST2,CD83,COQ7,CST7,EDEM2,FLT3LG,FUOM,ICAM1,KLRF1,LCP1,LSM8,LTA4H,QSOX1,SNU13,TNFRSF10A,TNFRSF10B,VEGFB",0.0343350770250019,up,C0_vs_None,C0
NK-cells,2915,1142,67,16,0.479893400817552,0.997499829353405,0.010811172206757,"BLOC1S2,BST2,CD83,COQ7,CST7,EDEM2,FLT3LG,FUOM,ICAM1,KLRF1,LCP1,LSM8,LTA4H,QSOX1,SNU13,VEGFB",0.0343350770250019,up,C0_vs_None,C0
Inhibitory neurons,2915,1145,67,16,0.477785116070107,0.997627830600588,0.0108148503161779,"ALMS1,ARMCX2,BLOC1S2,CA11,GTF2IRD1,IGLON5,KIRREL1,LSM8,LTA4H,MORN4,NMNAT1,PTGR1,QSOX1,RBKS,SNU13,VEGFB",0.0343350770250019,up,C0_vs_None,C0
Oligodendrocytes,2915,1062,67,14,0.45380267365156,0.998223188989667,0.00682453597718579,"ALMS1,ARMCX2,BLOC1S2,FTCD,GTF2IRD1,LSM8,LTA4H,NMNAT1,PTGR1,QSOX1,SNU13,SOWAHA,TSPAN8,VEGFB",0.0343350770250019,up,C0_vs_None,C0
Endothelial,2915,1019,90,21,0.557259346178326,0.994341235019187,0.01834668000041,"ACTA2,AKAP12,ARL2BP,CDC123,CHM,CLEC1A,CSDE1,FES,GABARAP,GNPDA2,HDGF,LPP,MCTS1,MYL6B,NAPRT,PDGFRB,PEAR1,RAP1A,SNX2,TTN,WASL",0.0366933600008199,down,C0_vs_None,C0
Microglial cells,2915,1150,90,25,0.581298803252583,0.993045271365211,0.0214442427841545,"ACTA2,AKAP12,CDC123,CHM,CLEC1A,CSDE1,CYTL1,DKK3,DTNB,FAM171B,GABARAP,HDGF,IGSF21,KIAA1549L,LPP,PCDH7,PDGFRB,PEAR1,RAP1A,SNAP25,SNX2,TLR4,TTN,VGF,WASL",0.0385996370114782,down,C0_vs_None,C0
Oligodendrocyte precursor cells,2915,1015,67,15,0.533180140210391,0.990949319625107,0.0370789557576955,"ALMS1,APOE,ARMCX2,BLOC1S2,GPNMB,GTF2IRD1,LSM8,LTA4H,MN1,MORN4,PTGR1,QSOX1,RBKS,TNFRSF10B,VEGFB",0.0741579115153909,up,C0_vs_None,C0
Inhibitory neurons,2915,1145,54,11,0.389697191550197,0.99917164242464,0.00445732597579061,"COCH,CTSL,DCC,GHR,NPTN,PALLD,PDXDC1,RBM25,SUMF1,TIMP3,VEGFB",0.0802318675642311,up,C1_vs_None,C1
granulocytes,2915,1277,67,21,0.578753006745747,0.987315125578589,0.0455802565519467,"APOE,BLOC1S2,BST2,C1R,CD83,COQ7,CST7,EDEM2,FUOM,GPNMB,ICAM1,LCP1,LSM8,LTA4H,PTGR1,QSOX1,RBKS,SNU13,TNFRSF10A,TNFRSF10B,VEGFB",0.082044461793504,up,C0_vs_None,C0
Excitatory neurons,2915,1114,54,12,0.456163934304156,0.996281659696294,0.0157001557946759,"COCH,CTSL,DCC,EXTL1,FTCD,GHR,NPTN,PALLD,PDXDC1,RBM25,SUMF1,TIMP3",0.0942009347680554,up,C1_vs_None,C1
Astrocytes,2915,1116,54,12,0.45482026644326,0.996392043100399,0.015662661699864,"CTSL,GHR,KIAA2013,LGALS3,LRIG3,NPTN,PALLD,PDXDC1,RBM25,SUMF1,TIMP3,VEGFB",0.0942009347680554,up,C1_vs_None,C1
B-cells,2915,1205,67,20,0.597282444450698,0.981668374412192,0.0596147043519574,"APOE,BLOC1S2,BST2,C1S,CD83,COQ7,CST7,EDEM2,FGA,FUOM,ICAM1,IFI30,IL6,LCP1,LSM8,LTA4H,SNU13,TNFRSF10A,TNFRSF10B,VEGFB",0.0975513343941122,up,C0_vs_None,C0
Pericytes,2915,321,67,12,1.79231672952778,0.0586016034089939,0.0750940165601798,"APOE,ARMCX2,BST2,C1R,C1S,CD83,FUOM,FZD10,KIRREL1,PTGR1,SOD3,TSPAN8",0.10251720194367,up,C0_vs_None,C0
