cell_type,NGenes,direction,pval,padj,contrast,cluster
Macrophages,247,Up,0.00382086872467361,0.0393013647399743,C2_vs_None,C2
monocytes,193,Up,0.00436681830444159,0.0393013647399743,C2_vs_None,C2
NK-cells,145,Up,0.057109178493147,0.285507356523306,C2_vs_None,C2
dendritic cells,128,Up,0.0653036758715123,0.285507356523306,C2_vs_None,C2
T-cells,156,Up,0.0793075990342517,0.285507356523306,C2_vs_None,C2
Fibroblasts,79,Up,0.133492606160859,0.400477818482578,C2_vs_None,C2
granulocytes,121,Up,0.185342669653111,0.441925681800581,C2_vs_None,C2
Microglial cells,197,Up,0.196411414133591,0.441925681800581,C2_vs_None,C2
B-cells,122,Up,0.239242896550156,0.478485793100312,C2_vs_None,C2
Inhibitory neurons,257,Down,0.343617994198645,0.618512389557561,C2_vs_None,C2
Plasma cells,118,Up,0.495410530491945,0.801238303074517,C2_vs_None,C2
Endothelial,260,Up,0.545543917234187,0.801238303074517,C2_vs_None,C2
Excitatory neurons,251,Down,0.616412810598841,0.801238303074517,C2_vs_None,C2
Smooth muscle,138,Down,0.623185346835735,0.801238303074517,C2_vs_None,C2
Astrocytes,195,Down,0.757140412865583,0.901120233146443,C2_vs_None,C2
Pericytes,91,Up,0.840489716869128,0.901120233146443,C2_vs_None,C2
Oligodendrocytes,168,Up,0.871565994925945,0.901120233146443,C2_vs_None,C2
Oligodendrocyte precursor cells,223,Up,0.901120233146443,0.901120233146443,C2_vs_None,C2
