cell_type,n_universe,n_markers,n_DEPs,n_DEP_markers,odds_ratio,p_overrep,p_twosided,overlap_genes,p_adj,direction,contrast,cluster
Fibroblasts,2915,173,54,5,1.63533890581306,0.214317803921993,0.249924904856292,"CTHRC1,ITGBL1,PALLD,RBP1,TIMP3",0.336650257875202,up,C1_vs_None,C1
Pericytes,2915,321,54,6,1.01031453744042,0.556034758230758,1,"COCH,CTSL,ENPP2,LGALS3,S100A11,TIMP3",1,up,C1_vs_None,C1
Macrophages,2915,1416,54,23,0.781948936532072,0.847452198661651,0.411266715241591,"CCL17,CCL7,CST7,CTSL,CXCL1,ENPP2,ERN1,FCN1,ITGAL,ITGB2,KIAA2013,KRT6C,LGALS3,LY96,NPTN,PALLD,PDXDC1,RBM25,RBP1,S100A11,SUMF1,TIMP3,VEGFB",0.435458874961684,up,C1_vs_None,C1
Plasma cells,2915,1224,54,19,0.74610791974236,0.877999300402151,0.332650949157144,"CCL21,COCH,CST7,CTHRC1,CTSL,ERN1,GAST,ITGAL,ITGB2,KIAA2013,LGALS3,LY96,NPTN,PDXDC1,RBM25,RBP1,S100A11,TIMP3,VEGFB",0.374232317801787,up,C1_vs_None,C1
Oligodendrocytes,2915,1062,54,16,0.730677943001337,0.884476059604927,0.320932941263233,"COCH,CTSL,DCC,ENPP2,FTCD,KIAA2013,LRIG3,MYH7B,NPTN,PDXDC1,RBM25,RBP1,SETMAR,SOWAHA,SUMF1,VEGFB",0.374232317801787,up,C1_vs_None,C1
Microglial cells,2915,1150,54,17,0.700828900303311,0.913098819015658,0.26183908945849,"CTSL,DCC,ERN1,GHR,ITGAL,ITGB2,ITGBL1,LGALS3,LY96,NPTN,PALLD,PDXDC1,RBM25,S100A11,SUMF1,TIMP3,VEGFB",0.336650257875202,up,C1_vs_None,C1
granulocytes,2915,1277,54,19,0.691818860251635,0.924459145179461,0.214850393368491,"CST7,CTSL,CXCL1,ENPP2,ERN1,ITGB2,KIAA2013,KRT6C,LGALS3,LIF,LY96,NPTN,PALLD,PDXDC1,RBM25,RBP1,S100A11,TIMP3,VEGFB",0.322275590052737,up,C1_vs_None,C1
dendritic cells,2915,1115,54,16,0.67514999413345,0.929553265152449,0.205686377386363,"CD3G,CST7,ENPP2,ERN1,FCN1,ITGAL,ITGB2,KIAA2013,LY96,NPTN,PDXDC1,RBM25,RET,S100A11,SUMF1,VEGFB",0.322275590052737,up,C1_vs_None,C1
Smooth muscle,2915,724,54,9,0.600399945376591,0.946208146734906,0.202870447631536,"A1BG,CTSL,LGALS3,NPTN,PALLD,PDXDC1,S100A11,TIMP3,VEGFB",0.322275590052737,up,C1_vs_None,C1
B-cells,2915,1205,54,17,0.647126220417446,0.949677969261862,0.163129160405867,"CCL17,COCH,CST7,CXCL1,ERN1,ITGAL,ITGB2,KIAA2013,LGALS3,LY96,NPTN,PDXDC1,RBM25,S100A11,SUMF1,TIMP3,VEGFB",0.322275590052737,up,C1_vs_None,C1
T-cells,2915,1271,54,18,0.641755046576735,0.954479204489931,0.130076291217418,"CD3G,CST7,CTSL,ERN1,ITGAL,ITGB2,KIAA2013,KRT6C,LGALS3,LY96,NPTN,PDXDC1,RBM25,RBP1,S100A11,SUMF1,TIMP3,VEGFB",0.292671655239191,up,C1_vs_None,C1
Endothelial,2915,1019,54,12,0.52613570706645,0.985844770330163,0.0600219724966822,"CTHRC1,CXCL1,ENPP2,KIAA2013,LGALS3,LY96,NPTN,PDXDC1,RBM25,RBP1,S100A11,TIMP3",0.154342214991468,up,C1_vs_None,C1
NK-cells,2915,1142,54,14,0.537827910133263,0.98631295526851,0.0486665069786158,"CD3G,CST7,ERN1,ITGAL,ITGB2,KIAA2013,LGALS3,NPTN,PALLD,PDXDC1,RBM25,S100A11,SUMF1,VEGFB",0.145999520935847,up,C1_vs_None,C1
monocytes,2915,1227,54,15,0.52340411661975,0.990306357053044,0.0363199545961586,"CST7,CTSL,CXCL1,ERN1,FCN1,ITGAL,ITGB2,KIAA2013,LGALS3,LY96,NPTN,PDXDC1,RBM25,S100A11,SUMF1",0.130751836546171,up,C1_vs_None,C1
Oligodendrocyte precursor cells,2915,1015,54,11,0.473260002651744,0.993616717662841,0.0295555772210389,"CTSL,DCC,ENPP2,GHR,NPTN,PALLD,PDXDC1,RBM25,SUMF1,TIMP3,VEGFB",0.130751836546171,up,C1_vs_None,C1
Excitatory neurons,2915,1114,54,12,0.456163934304156,0.996281659696294,0.0157001557946759,"COCH,CTSL,DCC,EXTL1,FTCD,GHR,NPTN,PALLD,PDXDC1,RBM25,SUMF1,TIMP3",0.0942009347680554,up,C1_vs_None,C1
Astrocytes,2915,1116,54,12,0.45482026644326,0.996392043100399,0.015662661699864,"CTSL,GHR,KIAA2013,LGALS3,LRIG3,NPTN,PALLD,PDXDC1,RBM25,SUMF1,TIMP3,VEGFB",0.0942009347680554,up,C1_vs_None,C1
Inhibitory neurons,2915,1145,54,11,0.389697191550197,0.99917164242464,0.00445732597579061,"COCH,CTSL,DCC,GHR,NPTN,PALLD,PDXDC1,RBM25,SUMF1,TIMP3,VEGFB",0.0802318675642311,up,C1_vs_None,C1
