cell_type,size,NES,ES,pval,padj,leading_edge,log2err,contrast,cluster
Astrocytes,195,1.0320820565474,0.279234234850012,0.421,0.541285714285714,"ADAMTSL2,CHRDL1,PNMA2,PXDNL,DNER,TNC,SPON1,GAS2,JAM2,TAFA5,HGF,SCG3,EFEMP1,ROBO1,CD109,RAB11FIP3,DPP10,THBS4,PRSS53,MYBPC1,PALM,ANGPTL4,MFAP3L,RTN4R,NELL2,CDH2,SCRG1,PRKCQ,PTPRM,COL28A1,FLRT2,MAP1LC3B2,TMPRSS5,GFRA1,FUT8,DPP6,IL17D,DIPK1C,PRKG1,ARHGEF10,NCAM2,CD38,PON1,LRRC37A2,ADAM23,NRGN,PRTFDC1,EPHA4,ENTPD2,GP6,SYTL4,SNED1,PAMR1,WIF1,MASP1,NFASC,ARSB,KIAA1549L,ADGRB3,ADAMTS13",0.0535669384770951,C2_vs_None,C2
B-cells,122,1.17695287470577,0.327450605779201,0.16148445336008,0.264247287316495,"IL10RA,CCL22,CCL17,CD83,CD207,ITGB7,LILRB1,PTPRC,CLEC10A,SIT1,IL2RA,CD48,MZB1,EVI2B,ITGB2,CORO1A,SLAMF7,TNFRSF13B,ADAM8,LY9,CD27,IFI30,CD5,DIABLO,CD200R1,LCP1,CD84,IL12RB1,WAS,CD70,INPP5D,IL18BP,CD6,IGLC2,CD69,SERPINB9,FCER2,TLR1,CR1,GRAP2,BANK1,TCL1A,CHIT1,RNASE6,RAB39B,CD79B,ICOSLG",0.104343952581949,C2_vs_None,C2
Endothelial,260,1.18524084223421,0.317304097235176,0.069,0.138,"VWF,ITGA5,CCN3,IL4R,WNT9A,ABO,FBLN2,GAST,LY96,XG,EPS8L2,ICAM5,DOC2B,TCN2,PECAM1,LGALS4,VSIG2,TNXB,VTCN1,IL3RA,KRT19,EFEMP1,IL15,MATN2,DKKL1,FLT1,TNFRSF11B,CD109,CCL28,BMP6,STC1,IL1R1,HSPG2,GIPC2,CD300LG,SPINK8,KRT18,IL32,PTPRB,GCNT1,TACSTD2,ICAM1,LAYN,NID2,SCGB3A1,CDH5,AHSP,MYOC,NCR3LG1,ACVRL1,ACTN2,ULBP2,RARRES1,ESM1,CCL23,EFNA1,WFDC1,CLEC14A,CXCL3,RBP5,TEK,TNFRSF9,MIA,RNASE10,CFB,TNFRSF10C,PI16,CD34,CFI,PLA2G4A,IL18R1,CLEC1A,ARHGEF5,ENTPD2,GP6,SYTL4,SNED1,ADGRF5,DIPK2B,ISM1,THBD,OMD,LRG1,TNFRSF4,ITGB6,CD93,KDR,EPHA2,GBP6,PRTG,TGM2,TDGF1,SCARF2,ICA1",0.16823816568964,C2_vs_None,C2
Excitatory neurons,251,0.964472034146088,0.258451631235125,0.61038961038961,0.646294881588999,"ADAMTSL2,PNMA2,FGF5,PXDNL,ADAMTS16,MAMDC2,ICAM5,HAVCR1,GAS2,TAFA5,SCG3,FAP,ROBO1,GRIN2B,CHGA,ITGA11,RAB11FIP3,DPP10,PRSS53,PGLYRP1,SCG2,COL24A1,JAM3,DTNB,SPINK8,PTPRB,L1CAM,CNTN2,RAB27B,RTN4R,NELL2,CDH2,NCR3LG1,PRKCQ,COL28A1,LRP11,ACTN2,EGF,FLRT2,DIABLO,PDE5A,CNTNAP2,KAZN,CD200R1,TMPRSS5,RBFOX3,FUT8,DPP6,IL17D,PRKG1,PDE1C,MANEAL,CDON,NCAM2,NPTX1,VSTM2B,LRRC37A2,ADAM23,NRGN,CDH22,CLIP2,SDK2,PRTFDC1,EPHA4,GP6,SNED1,PAMR1,NFASC,ARSB,KIAA1549L,ADGRB3,ADAMTS13,CA7",0.0364548541965309,C2_vs_None,C2
Fibroblasts,79,1.4856538485811,0.42942849397629,0.00612782196632451,0.0220601590787682,"CCL21,FBLN2,COL15A1,COL6A3,SCARA5,MME,CPXM2,KLK1,FBN2,EFEMP1,MATN2,WFIKKN2,FAP,TNFRSF11B,OGN,KRT18,AKR1B10,FNDC1,ITGBL1,SFRP4,ESM1,NTF3,PDGFRA,ASPN,GFRA1,ADAMTS15,COL1A1,LTBP2,NGFR,RBP5,MFAP4",0.407017918923954,C2_vs_None,C2
Inhibitory neurons,257,0.903658089619585,0.241928667553362,0.77,0.77,"PNMA2,PXDNL,DNER,MAMDC2,ICAM5,HAVCR1,GAS2,JAM2,TAFA5,RET,HGF,SCG3,FBN2,ROBO1,GRIN2B,RAB11FIP3,DPP10,PRSS53,BMP6,PGLYRP1,SCG2,COL24A1,CRHBP,DTNB,SPINK8,PTPRB,L1CAM,RGS8,CNTN2,NELL2,CDH2,NCR3LG1,PRKCQ,PTPRM,COL28A1,LRP11,EGF,FLRT2,MAP1LC3B2,DIABLO,PDE5A,CNTNAP2,KAZN,MEGF11,RBFOX3,FUT8,DPP6,IL17D,SEMA6C,PRKG1,PDE1C,MANEAL,CDON,NCAM2,NPTX1,VSTM2B,LRRC37A2,ADAM23,CDH22,CLIP2,SDK2,PRTFDC1,EPHA4,GP6,SNED1,ISM1,WIF1,NFASC,ARSB,KIAA1549L,ADGRB3,ADAMTS13",0.0249900772245545,C2_vs_None,C2
Macrophages,247,1.58729446369698,0.42527422255797,5.40659583288872e-07,9.7318724991997e-06,"CCL3,ITGA5,CCL4,IL10RA,CCL22,CST5,CXCL16,CSF2RA,LILRA2,LY96,TNFSF13,VNN2,LYVE1,COLEC12,TNFRSF1B,ADGRE2,MRC1,CCL17,CD83,CD209,LILRB2,PECAM1,CD207,IL3RA,ITGB7,MMP8,SIRPB1,HGF,LILRB1,PTPRC,TREM2,CLEC10A,MMP9,IL2RA,CD48,CLEC4D,ITGAM,FYB1,HAVCR2,BIN2,EVI2B,LILRA5,ITGB2,CD5L,TNFSF13B,CLEC5A,VMO1,RELT,CORO1A,CD36,SLAMF7,OSM,CD300A,LRRC25,ADAM8,PLTP,CTLA4,EREG,VCAN,IFI30,MMP12,VSIG4,IL1B,OLR1,LAIR1,CD200R1,ITGAL,SELPLG,TLR2,MSR1,BST1,HPSE,CXCL3,CD300E,LCP1,CD84,CRTAM,CST7,CD163,IL12RB1,ADGRE1,MCEMP1,WAS,CLEC4A,SIGLEC1,TNFSF14,INPP5D,IL18BP,PDGFB,IL1RN,CSF1R,IGLC2,SIGLEC8,SERPINB9",0.659444398037935,C2_vs_None,C2
Microglial cells,197,1.42211836712891,0.384397384323296,0.00186842672700572,0.00840792027152573,"VWF,ADAMTSL2,FGF5,PXDNL,CSF2RA,MAMDC2,LILRA2,COL15A1,COLEC12,MRC1,HAVCR1,LAMA4,JAM2,LILRB1,PTPRC,FAP,EDA2R,FLT1,ITGA11,ITGAM,FYB1,HAVCR2,DPP10,BMP6,COL24A1,CXCL12,DTNB,CLEC5A,PTPRB,FNDC1,NID2,CDH5,PLXDC1,GGT5,CDH2,ITGBL1,PTPRM,FLRT2,PDE5A,ASPN,CNTNAP2,OLR1,CD200R1,TLR2,MSR1,LTBP2,CD84,PRKG1,TEK,ARHGEF10,ST6GAL1,INPP5D,ADGRD1,CSF1R,CD34,SIGLEC8,PLA2G4A,LRRC37A2,NRGN,CDH22,CLIP2,CLEC1A,LAT,EPHA4,SNED1,PAMR1,ADGRF5,DIPK2B,ISM1,TLR1,PAG1,PILRA,ARSB,KIAA1549L,ADGRB3,ADAMTS13,PRTG,PEAR1,ROBO2,IGDCC4",0.45505986738723,C2_vs_None,C2
NK-cells,145,1.35414776504278,0.37282625838888,0.0141378757624736,0.037161099874449,"CCL3,CCL4,IL10RA,VNN2,TNFRSF1B,GZMH,ITGB7,SPON2,FLT3LG,LILRB1,PTPRC,IL2RA,CD48,ITGAM,FYB1,HAVCR2,BIN2,LAIR2,EVI2B,ITGB2,F2R,CORO1A,SLAMF7,CD300A,ADAM8,PRKCQ,LY9,CD27,ULBP2,CD5,B3GNT7,LAIR1,ITGAL,SELPLG,LCP1,CRTAM,FCRL6,CST7,IL12RB1,WAS,TNFRSF9,FGFBP2,BATF,TNFSF14,INPP5D,CRACR2A,CD6,IFNG,CD69,CD38,DRAXIN,IL18R1,LAT,KIR3DL2,CD8A,GRAP2,TNFRSF4,CD40LG,KIR2DS4,RAB39B,DOK2,FCRLB,CD226,CD79B",0.380730400722792,C2_vs_None,C2
Oligodendrocyte precursor cells,223,0.997159709642326,0.268153545407664,0.513,0.6156,"THBS2,PNMA2,ANGPTL2,PXDNL,DNER,SPON1,LAMA4,OPTC,JAM2,TAFA5,SCG3,FBN2,ROBO1,GRIN2B,RAB11FIP3,DPP10,THBS4,SCG2,COL24A1,TNFSF13B,JAM3,DTNB,SPINK8,CNTN2,RAB27B,MFAP3L,NELL2,CDH2,SCRG1,PRKCQ,PTPRM,COL28A1,VCAN,ACTN2,FLRT2,PDE5A,PDGFRA,CNTNAP2,KAZN,WFDC1,GFRA1,MEGF11,FUT8,DPP6,IL17D,DIPK1C,PDE1C,TEK,ARHGEF10,MANEAL,CA13,ST6GAL1,TGFA,NCAM2,VSTM2B,LRRC37A2,ADAM23,CDH22,CLIP2,BCHE",0.0445070537769277,C2_vs_None,C2
