cell_type,NGenes,direction,pval,padj,contrast,cluster
monocytes,193,Up,0.000327142841195884,0.00450770656793925,C0_vs_None,C0
Macrophages,247,Up,0.000500856285326583,0.00450770656793925,C0_vs_None,C0
Excitatory neurons,251,Down,0.00531777556980994,0.027491008399768,C0_vs_None,C0
Inhibitory neurons,257,Down,0.00611224290271147,0.027491008399768,C0_vs_None,C0
B-cells,122,Up,0.00763639122215778,0.027491008399768,C0_vs_None,C0
dendritic cells,128,Up,0.0220542284252598,0.0661626852757793,C0_vs_None,C0
Oligodendrocyte precursor cells,223,Down,0.034310163723518,0.0882261352890463,C0_vs_None,C0
NK-cells,145,Up,0.0709542764376275,0.14088679480809,C0_vs_None,C0
Oligodendrocytes,168,Down,0.0751005434490231,0.14088679480809,C0_vs_None,C0
Plasma cells,118,Up,0.0793539528727084,0.14088679480809,C0_vs_None,C0
Smooth muscle,138,Down,0.0902291328080139,0.14088679480809,C0_vs_None,C0
Astrocytes,195,Down,0.09392452987206,0.14088679480809,C0_vs_None,C0
T-cells,156,Up,0.105785990174686,0.146472909472643,C0_vs_None,C0
Microglial cells,197,Down,0.279625540440261,0.359518551994621,C0_vs_None,C0
Fibroblasts,79,Up,0.318134783097584,0.369666286271157,C0_vs_None,C0
granulocytes,121,Up,0.32859225446325,0.369666286271157,C0_vs_None,C0
Endothelial,260,Up,0.752697589202355,0.796973917978964,C0_vs_None,C0
Pericytes,91,Down,0.861994994662401,0.861994994662401,C0_vs_None,C0
