cell_type,n_universe,n_markers,n_DEPs,n_DEP_markers,odds_ratio,p_overrep,p_twosided,overlap_genes,p_adj,direction,contrast,cluster
Fibroblasts,2915,173,195,20,1.91694391915253,0.00991943189587053,0.0170826475243937,"C1QTNF1,COL18A1,COL3A1,COL6A3,COLEC12,EFEMP1,FBLN2,FBN2,FSTL1,HGF,LAMA4,MDK,NEXN,SFRP1,SMOC2,SPON2,THBS2,TIMP3,TNFRSF12A,TNXB",0.0236528965722375,up,C2_vs_None,C2
Pericytes,2915,321,195,26,1.26455631793156,0.169324228590894,0.286227153568574,"ABO,AGRN,C1QTNF1,CCL3,CCL4,CD40,CD83,COL3A1,COLEC12,CTSF,FKBP7,FSTL1,IL10RB,ITGB5,LAMA4,LGALS1,LTBR,NEXN,PHLDB1,PTGR1,SMOC2,TGFBR2,TIMP3,TNFRSF14,TNFRSF1A,TNFRSF1B",0.343472584282288,up,C2_vs_None,C2
Microglial cells,2915,1150,195,81,1.09732429384568,0.292985695290826,0.544664343266988,"ADAMTSL2,ADGRG1,AGRN,ATP5IF1,ATRN,AZI2,CD40,CD74,CD83,CD99L2,COL15A1,COL18A1,COL3A1,COL6A3,COLEC12,CSF2RA,CTSF,CXCL16,FAP,FBLN2,FGL1,FLT1,FSTL1,GALNT10,GAS6,GRIN2B,HEG1,IL10RA,IL10RB,IL18,IL3RA,IL4R,ITGA5,ITGB5,JAM2,LAMA4,LGALS1,LGALS9,LGMN,LILRB1,LRRFIP1,LTBP3,LTBR,LY96,LYVE1,MAMDC2,MATN2,MPRIP,MRC1,MTSS1,NEK7,NEXN,OCLN,P4HB,PECAM1,PHLDB1,PNMA2,PPP1R12B,PTGR1,PTPRC,PXDNL,REPS1,RNASE1,ROBO1,SHISA5,SIRPA,SLMAP,SPON1,STX7,TGFB1,TGFBR2,THRAP3,TIMP3,TNFRSF10B,TNFRSF14,TNFRSF1A,TNFRSF1B,TNXB,TREM2,VEGFB,VWF",0.576703422282693,up,C2_vs_None,C2
Macrophages,2915,1416,195,93,0.96276570396306,0.628998860224513,0.824150103885024,"ADGRE2,ADGRG1,AREG,ATP5IF1,ATRN,AZI2,BTN2A1,C2CD2L,CAMLG,CCL17,CCL22,CCL3,CCL4,CD207,CD209,CD40,CD74,CD83,CDCP1,CLEC10A,COL3A1,COLEC12,CSF2RA,CTSF,CXCL16,CYB5A,F11R,FABP3,FLT1,GADD45B,GALNT10,GAS6,GDF15,HGF,HTRA2,ICAM3,IL10RA,IL10RB,IL15,IL18,IL3RA,IL4R,ITGA5,ITGB5,ITGB7,KRT19,LGALS1,LGALS9,LGMN,LILRA2,LILRB1,LILRB2,LRRFIP1,LTBP3,LTBR,LY96,LYVE1,MAMDC2,MDK,MMP9,MPRIP,MRC1,MTSS1,NEK7,P4HB,PCNA,PECAM1,PLA2G15,PLAUR,PTGR1,PTPRC,REPS1,RNASE1,SHISA5,SIRPA,SIRPB1,SLMAP,STX7,TCN2,TGFB1,TGFBR2,THRAP3,TIMP3,TNFRSF10B,TNFRSF11A,TNFRSF12A,TNFRSF14,TNFRSF1A,TNFRSF1B,TNFSF13,TREM2,VEGFB,VNN2",0.824150103885024,up,C2_vs_None,C2
Endothelial,2915,1019,195,64,0.902939569197614,0.76489773275543,0.535042325241219,"ADGRG1,AGRN,ATP5IF1,AZI2,BTN2A1,CAMLG,CCL3,CCL4,CD40,CD74,CD83,COL18A1,COLEC12,CYB5A,F11R,FBLN2,FLT1,FSTL1,GADD45B,GAS6,HEG1,HTRA2,IL10RB,IL3RA,IL4R,ITGA5,ITGB5,JAM2,KRT19,LAMA4,LGALS1,LGALS9,LGMN,LRRFIP1,LTBP3,LTBR,LY96,MDK,MPRIP,MTSS1,NEK7,OCLN,P4HB,PCNA,PECAM1,PHLDB1,PLAUR,PTGR1,PTPRC,RNASE1,SHISA5,SLMAP,STX7,TCN2,TGFB1,TGFBR2,THRAP3,TIMP3,TNFRSF10B,TNFRSF14,TNFRSF1A,TNFRSF1B,TNXB,VWF",0.576703422282693,up,C2_vs_None,C2
Smooth muscle,2915,724,195,40,0.768238100873552,0.939622446387509,0.169588583093081,"AGRN,AOC3,AZI2,BTN2A1,C1QTNF1,CAMLG,CD40,COL18A1,COL3A1,FABP3,FSTL1,GADD45B,GAS6,HGF,HTRA2,IL4R,ITGB5,LAMA4,LGALS1,LGMN,LRRFIP1,LTBP3,LTBR,MPRIP,NEK7,NEXN,P4HB,PLAUR,PPP1R12B,PTGR1,SHISA5,SLMAP,SMOC2,TGFB1,TGFBR2,THRAP3,TIMP3,TNFRSF12A,TNFRSF1A,VEGFB",0.218042463976818,up,C2_vs_None,C2
dendritic cells,2915,1115,195,58,0.666166483953131,0.99590575213009,0.0117406044298325,"ADGRE2,AREG,ATP5IF1,AZI2,BTN2A1,CAMLG,CCL3,CCL4,CD74,CD83,CSF2RA,CXCL16,CYB5A,EPS8L2,F11R,GADD45B,GALNT10,GAS6,GZMH,HTRA2,ICAM3,IL10RA,IL10RB,IL18,IL3RA,IL4R,ITGB7,LGALS1,LGALS9,LGMN,LILRB1,LILRB2,LRRFIP1,LTBP3,LTBR,LY96,MPRIP,NEK7,P4HB,PCNA,PECAM1,PLAUR,PTPRC,REPS1,RET,SHISA5,SIRPB1,SIT1,SLMAP,SPON2,STX7,TGFB1,TGFBR2,THRAP3,TNFRSF14,TNFRSF1A,TNFRSF1B,VEGFB",0.0176109066447488,up,C2_vs_None,C2
monocytes,2915,1227,195,65,0.670486039122162,0.996176180088085,0.0106224539740173,"ADGRE2,AREG,ATP5IF1,AZI2,BTN2A1,C2CD2L,CAMLG,CCL3,CCL4,CD40,CD74,CD83,CLEC10A,CSF2RA,CXCL16,CYB5A,F11R,FLT1,GADD45B,GALNT10,GZMH,HEG1,HGF,ICAM3,IL10RA,IL10RB,IL15,IL18,IL3RA,IL4R,ITGA5,LGALS1,LGALS9,LGMN,LILRA2,LILRB1,LILRB2,LRRFIP1,LTBR,LY96,MPRIP,MTSS1,NEK7,P4HB,PCNA,PECAM1,PLAUR,PTPRC,REPS1,RNASE1,SHISA5,SIRPA,SIRPB1,SLMAP,SPON2,STX7,TCN2,TGFB1,TGFBR2,THRAP3,TNFRSF10B,TNFRSF14,TNFRSF1A,TNFRSF1B,VNN2",0.0173821974120282,up,C2_vs_None,C2
Oligodendrocyte precursor cells,2915,1015,195,50,0.62721565734039,0.99827354191552,0.00504274074427543,"ADGRG1,AGRN,ANGPTL2,ATP5IF1,ATRN,AZI2,CAMLG,CD99L2,CHRDL1,CTSF,CYB5A,DNER,FBLN2,FBN2,GALNT10,GAS2,GRIN2B,HEG1,IL10RB,ITGB5,JAM2,LAMA4,LRRFIP1,LTBP3,MAMDC2,MATN2,MPRIP,MTSS1,NEK7,NEXN,P4HB,PHLDB1,PNMA2,PPP1R12B,PTGR1,PXDNL,REPS1,ROBO1,SCG3,SIRPA,SLMAP,SPON1,STX7,TAFA5,THBS2,THRAP3,TIMP3,TNFRSF10B,TNFRSF1A,VEGFB",0.00907693333969577,up,C2_vs_None,C2
Astrocytes,2915,1116,195,56,0.6310166189371,0.998517914798901,0.00467568934839719,"ADGRG1,AGRN,ATP5IF1,ATRN,AZI2,CAMLG,CD99L2,CHRDL1,COLEC12,CTSF,CYB5A,DNER,EFEMP1,FGL1,FSTL1,GADD45B,GALNT10,GAS2,GAS6,GRIN2B,HEG1,HGF,IL10RB,IL3RA,ITGB5,JAM2,LAMA4,LGALS1,LRRFIP1,LTBP3,MAMDC2,MATN2,MPRIP,MTSS1,NEK7,NEXN,P4HB,PHLDB1,PNMA2,PPP1R12B,PTGR1,PXDNL,REPS1,ROBO1,SCG3,SHISA5,SIRPA,SLMAP,SPON1,STX7,TAFA5,THRAP3,TIMP3,TNC,TNFRSF1A,VEGFB",0.00907693333969577,up,C2_vs_None,C2
