cell_type,n_universe,n_markers,n_DEPs,n_DEP_markers,odds_ratio,p_overrep,p_twosided,overlap_genes,p_adj,direction,contrast,cluster
Fibroblasts,2915,173,33,2,1.0228223835676,0.592203881688528,1,"HSD11B1,TGFBR3",1,down,C1_vs_None,C1
Pericytes,2915,321,33,3,0.806363665661731,0.721359231890446,1,"CPQ,GLO1,TGFBR3",1,down,C1_vs_None,C1
Astrocytes,2915,1116,33,11,0.804148292991112,0.776954908552068,0.594740519865584,"COPB2,CPQ,GLO1,MMUT,PON3,RNF43,SCG2,SLC39A14,SNED1,SOX9,TGFBR3",0.669083084848782,down,C1_vs_None,C1
granulocytes,2915,1277,33,12,0.730512423575506,0.851773490130748,0.481128779322478,"COPB2,CPQ,GLO1,MMP7,MMUT,RPS10,SCG2,SERPINB5,SLC39A14,SMPDL3A,SPINK5,ZBTB17",0.577354535186974,down,C1_vs_None,C1
Oligodendrocyte precursor cells,2915,1015,33,8,0.595925890333023,0.932501687121319,0.269798721877063,"COPB2,CPQ,GLO1,MMUT,PON3,SCG2,SMPDL3A,SNED1",0.346884070984795,down,C1_vs_None,C1
dendritic cells,2915,1115,33,9,0.6022678606374,0.934241777392762,0.211967983806568,"CD2,COPB2,CPQ,DSG2,GLO1,ITGB7,LILRA4,RPS10,TGFBR3",0.293494131424479,down,C1_vs_None,C1
Inhibitory neurons,2915,1145,33,9,0.576466338277458,0.948210051277183,0.208941520551702,"COPB2,CPQ,GLO1,MMUT,SCG2,SLC39A14,SMPDL3A,SNED1,TGFBR3",0.293494131424479,down,C1_vs_None,C1
Oligodendrocytes,2915,1062,33,8,0.555092555916989,0.953903539360604,0.201852127113978,"COPB2,CPQ,GLO1,HSD11B1,MMUT,SMPDL3A,SOX9,ZBTB17",0.293494131424479,down,C1_vs_None,C1
Plasma cells,2915,1224,33,9,0.514617702833998,0.973809933965364,0.109485837423309,"CD2,COPB2,CPQ,GLO1,ITGB7,MMP7,MMUT,RPS10,SLC39A14",0.197074507361957,down,C1_vs_None,C1
monocytes,2915,1227,33,9,0.512427164153057,0.974518576568302,0.109394410790382,"CD2,COPB2,CPQ,GLO1,MMUT,RPS10,SMPDL3A,SNED1,ZBTB17",0.197074507361957,down,C1_vs_None,C1
Microglial cells,2915,1150,33,8,0.487675546072387,0.978981483588629,0.0757373631977584,"COPB2,CPQ,GLO1,HSD11B1,MMUT,SMPDL3A,SNED1,TGFBR3",0.171241492806728,down,C1_vs_None,C1
T-cells,2915,1271,33,9,0.481496245149314,0.983182303158668,0.0761073301363234,"CD2,COPB2,CPQ,GLO1,ITGB7,RPS10,SPINK5,TGFBR3,ZBTB17",0.171241492806728,down,C1_vs_None,C1
Excitatory neurons,2915,1114,33,7,0.431803144072551,0.988931861140245,0.0474961543666586,"COPB2,CPQ,GLO1,MMUT,SCG2,SLC39A14,SNED1",0.142488463099976,down,C1_vs_None,C1
Macrophages,2915,1416,33,10,0.456570433280732,0.98983606509307,0.0364651885095546,"CD2,COPB2,CPQ,GLO1,ITGB7,MMP7,MMUT,RPS10,SMPDL3A,SPINK5",0.142488463099976,down,C1_vs_None,C1
Endothelial,2915,1019,33,6,0.410109048664282,0.990006869908354,0.0439032339934301,"COPB2,EDN1,GLO1,RPS10,SNED1,TGFBR3",0.142488463099976,down,C1_vs_None,C1
NK-cells,2915,1142,33,7,0.414512787297765,0.991746546451631,0.0467393330352921,"CD2,COPB2,CPQ,GLO1,ITGB7,RPS10,TGFBR3",0.142488463099976,down,C1_vs_None,C1
Smooth muscle,2915,724,33,3,0.299798438232293,0.994565128352903,0.040611538400518,"COPB2,CPQ,RPS10",0.142488463099976,down,C1_vs_None,C1
B-cells,2915,1205,33,7,0.378564908885126,0.995882461556106,0.0200467602333996,"COPB2,CPQ,GLO1,ITGB7,LILRA4,RPS10,ZBTB17",0.142488463099976,down,C1_vs_None,C1
